LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,aka
BLACAT1,Prostate Cancer,"RT-PCR, Western blotting, Luciferase Assays, RIP",down-regulated,31957820,Also Known As: BLACAT1; LINC00912; linc-UBC1; onco-lncRNA-30,1,NR_103783.1,21,21,0,0,VALIDATED,BLACAT1 overlapping LEMD1 locus;linc-UBC1;LINC00912;onco-lncRNA-30;long intergenic noncoding RNA up-regulated in bladder cancer;long intergenic non-protein coding RNA 912;bladder cancer associated transcript 1 (non-protein coding);bladder cancer associated transcript 1;NONHSAG004054.2;HSALNG0009941;BLACAT1;Bladder cancer-associated transcript 1
"BRE-AS1 ",Prostate Cancer,qPCR,down-regulated,30833361,Also Known As: BABAM2-AS1; BRE-AS1,1 (BABAM2-AS1),BABAM2-AS1 (NR_028308.1),16 (BABAM2-AS1),12,4,0,VALIDATED (BABAM2-AS1),BRE-AS1; BABAM2-AS1
CASC15,Prostate Cancer,"qPCR, Luciferase reporter assay, in vitro knockdown",up-regulated,31646560,Also Known As: CACS15 [mentioned in title of paper (PubMed-31665008) refereed in NR_015410.2]; CASC15; CANT; LINC00340; lnc-SOX4-1,1,NR_015410.2,18,18,0,0,REVIEWED,CANT; LINC00340; lnc-SOX4-1
CASC2,Prostate Cancer,"qPCR, Luciferase reporter assay, in vitro knockdown",down-regulated,29373811,Also Known As: C10orf5,3,"NR_026939.1, NR_026940.1, NR_026941.1","17, 17, 9","15,15,7","2,2,2","0,0,0",VALIDATED,C10orf5
CCAT1,Prostate Cancer,"qRT-PCR, Western blot",up-regulated,32089062,"Also Known As: CARLO5; CARLo-5; onco-lncRNA-40

Some (older-not checked for PQS) colon cancer associated transcript 1 (CCAT1) RNA ""other"" ncRNA (RNA, complete sequence - HM358356.1) was also there in result.",1,NR_108049.1,9,9,0,0,REVIEWED,CARLO5; CARLo-5; onco-lncRNA-40
CCAT1,Prostate Cancer,"qPCR, Western blot, in vitro knockdown",up-regulated,29863242,"Also Known As: CARLO5; CARLo-5; onco-lncRNA-40

Some (older-not checked for PQS) colon cancer associated transcript 1 (CCAT1) RNA ""other"" ncRNA (RNA, complete sequence - HM358356.1) was also there in result.",1,NR_108049.1,9,9,0,0,REVIEWED,CARLO5; CARLo-5; onco-lncRNA-40
CCAT1,Prostate Cancer,"qPCR, Western blot, Luciferase reporter assay, other",up-regulated,30221381,"Also Known As: CARLO5; CARLo-5; onco-lncRNA-40

Some (older-not checked for PQS) colon cancer associated transcript 1 (CCAT1) RNA ""other"" ncRNA (RNA, complete sequence - HM358356.1) was also there in result.",1,NR_108049.1,9,9,0,0,REVIEWED,CARLO5; CARLo-5; onco-lncRNA-40
CCAT1,Prostate Cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP",up-regulated,31387890,"Also Known As: CARLO5; CARLo-5; onco-lncRNA-40

Some (older-not checked for PQS) colon cancer associated transcript 1 (CCAT1) RNA ""other"" ncRNA (RNA, complete sequence - HM358356.1) was also there in result.",1,NR_108049.1,9,9,0,0,REVIEWED,CARLO5; CARLo-5; onco-lncRNA-40
CCAT1,Prostate Cancer,qPCR etc.,up-regulated,28945760,"Also Known As: CARLO5; CARLo-5; onco-lncRNA-40

Some (older-not checked for PQS) colon cancer associated transcript 1 (CCAT1) RNA ""other"" ncRNA (RNA, complete sequence - HM358356.1) was also there in result.",1,NR_108049.1,9,9,0,0,REVIEWED,CARLO5; CARLo-5; onco-lncRNA-40
CCAT1,Prostate Cancer,qPCR etc.,up-regulated,29863242,"Also Known As: CARLO5; CARLo-5; onco-lncRNA-40

Some (older-not checked for PQS) colon cancer associated transcript 1 (CCAT1) RNA ""other"" ncRNA (RNA, complete sequence - HM358356.1) was also there in result.",1,NR_108049.1,9,9,0,0,REVIEWED,CARLO5; CARLo-5; onco-lncRNA-40
CCAT2,Prostate Cancer,"qPCR, RNAi, Western blot, Cell proliferation assay etc.",up-regulated,27558961,"Also Known As: NCCP1; LINC00873

Some (older-not checked for PQS) CCAT2 short and long variants ncRNA; ""other"" ncRNA (complete sequence - GQ911591.1 and GQ911592.1 respectively) were also there in result.",1,NR_109834.1,6,6,0,0,REVIEWED,NCCP1; LINC00873
CRNDE,Prostate Cancer,"qPCR, Luciferase reporter assay etc",up-regulated,32182608,Also Known As: CRNDEP; PNAS-108; lincIRX5; LINC00180; NCRNA00180,5,"NR_034105.4, NR_034106.3, NR_110453.2, NR_110454.2, NR_170995.1","5, 9, 5, 9, 9","5,7,5,7,7","0,2,0,2,2","0,0,0,0,0",VALIDATED,CRNDEP; PNAS-108; lincIRX5; LINC00180; NCRNA00180
CTBP1-AS,Prostate Cancer,"qPCR, Western blot, Northern blot, RIP etc.",up-regulated,23644382,Also Known As:  PCAT10,1,NR_104331.1,52,46,6,0,VALIDATED,PCAT10
DANCR,Prostate Cancer,"qPCR, Western blot, Luciferase reporter assay, etc.",up-regulated,31486484,"Also Known As: AGU2; ANCR; DANCR; SNHG13; KIAA0114; lncRNA-ANCR

Some (older) transcribed RNA, ANCR, Variant 1, 2 and 3 ""lncRNA"" ncRNA (complete sequence-LC128577.1, LC128578.1 and LC128579.1 respectively) with PQS- 7, 7, 7 respectively, were also there in result. ",3,"NR_024031.2, NR_145129.1, NR_145130.1","6, 7, 7","5,6,6","1,1,1","0,0,0",REVIEWED,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,Prostate Cancer,"qPCR, RNAi, Western blot, ChIP etc.",up-regulated,27191265,"Also Known As: AGU2; ANCR; DANCR; SNHG13; KIAA0114; lncRNA-ANCR

Some (older) transcribed RNA, ANCR, Variant 1, 2 and 3 ""lncRNA"" ncRNA (complete sequence-LC128577.1, LC128578.1 and LC128579.1 respectively) with PQS- 7, 7, 7 respectively, were also there in result. ",3,"NR_024031.2, NR_145129.1, NR_145130.1","6, 7, 7","5,6,6","1,1,1","0,0,0",REVIEWED,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,Prostate Cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",up-regulated,23728290,"Also Known As: AGU2; ANCR; DANCR; SNHG13; KIAA0114; lncRNA-ANCR

Some (older) transcribed RNA, ANCR, Variant 1, 2 and 3 ""lncRNA"" ncRNA (complete sequence-LC128577.1, LC128578.1 and LC128579.1 respectively) with PQS- 7, 7, 7 respectively, were also there in result. ",3,"NR_024031.2, NR_145129.1, NR_145130.1","6, 7, 7","5,6,6","1,1,1","0,0,0",REVIEWED,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DGCR5,Prostate Cancer,"RT-qPCR, Western-Blotting",down-regulated,31920375,"Also Known As: DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037

2 sequences for DGCR5 (NR_026651.1, NR_024159.1) without any mentioning of transcript variants, while 3 sequences of DGCR5 with clear mentioning of transcipt variants.

PREDICTED REFSEQ (NR_026651.1): This record has not been reviewed and the function is unknown. The reference sequence was derived from BU584104.1, AC000095.5, L77559.1 and BM681417.1.

All transcriprt variants of DGCR5 (NR_002733.2, NR_045121.1, NR_110533.1, NR_026651.1 and NR_024159.1) are reported (Gene Cards - GCID: GC22P019556)

PQS 2 obtained in DGCR5_Variant 2 (NR_045121.1) when search parameter was set to Min G-Group Size: 2 was replaced by another PQS of same score (by shifting G-Group/Quartet frame) when search parameter was set to Min G-Group Size: 3. Rest two PQS were same in both search parameters.
For further consideration, PQS when search parameter was set to Min G-Group Size: 3 was taken.","3 (DGCR5)
+
2 (DGCR5 unknown variants)
=5","DGCR5 (NR_002733.2, NR_045121.1, NR_110533.1)
+
DGCR5 unknown variants (NR_026651.1, NR_024159.1)","32, 32, 11 (DGCR5)
+
7, 28 (DGCR5 unknown variants)","29,29,11,5,25","3,3,0,2,3","0,0,0,0,0","VALIDATED (DGCR5)

PREDICTED (DGCR5 unknown variant-NR_026651.1)

VALIDATED (DGCR5 unknown variant-NR_024159.1)",DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037
DRAIC,Prostate Cancer,"qPCR, RIP",down-regulated,31900260,,1,NR_026979.1,10,10,0,0,VALIDATED,"downregulated RNA in cancer, inhibitor of cell invasion and migration;downregulated RNA in androgen independent cells;lnc-RPLP1-12;HSALNG0106873;HSALNG0106861;HSALNG0106864;HSALNG0106856;NONHSAG017288.2;NONHSAG017290.2;HSALNG0106871;NONHSAG017294.2;HSALNG0106875;HSALNG0106878;HSALNG0106865"
DRAIC,Prostate Cancer,"qPCR, Western blot etc.",down-regulated,25700553,,1,NR_026979.1,10,10,0,0,VALIDATED,"downregulated RNA in cancer, inhibitor of cell invasion and migration;downregulated RNA in androgen independent cells;lnc-RPLP1-12;HSALNG0106873;HSALNG0106861;HSALNG0106864;HSALNG0106856;NONHSAG017288.2;NONHSAG017290.2;HSALNG0106871;NONHSAG017294.2;HSALNG0106875;HSALNG0106878;HSALNG0106865"
DUXAP10,Prostate Cancer,"qRT-PCR , Western blot , in vitro knockdown etc.",down-regulated,31114994,"Homo sapiens double homeobox A pseudogene 10 (DUXAP10), non-coding RNA

transcribed RNA-misc_RNA (mentioned as lncRNA in title of paper; PubMed - 31576658)

Gene type - pseudo

Some LINC01297-DUXAP10-NBEAP6 readthrough (LINC01297-DUXAP10-NBEAP6), transcript variant 1, 2 and 3; ""lncRNA"" ncRNA (NR_164308.1, NR_164309.1 and NR_164310.1 respectively) with PQS-57, 29, 60 respectively were also there in result.

LINC01297-DUXAP10-NBEAP6 readthrough (This locus represents naturally occurring readthrough transcription between the neighboring LINC01297 (long intergenic non-protein coding RNA 1297), DUXAP10 (double homeobox A pseudogene 10) and NBEAP6 (neurobeachin pseudogene 6) genes on chromosome 14. The readthrough transcripts at this locus contain multiple, short ORFs and are unlikely to produce a protein product-provided by RefSeq, Sep 2019).",1,NR_110526.1,12,12,0,0,VALIDATED,double homeobox A pseudogene 10
EGOT,Prostate Cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",down-regulated,23728290,"Also Known As: EGO, NCRNA00190",1,NR_004428.1,10,9,1,0,VALIDATED,EGO; NCRNA00190
"FAL1 ",Prostate Cancer,"qPCR, RNA pull-down assay etc.",up-regulated,25203321,Also Known As: FALEC; FAL1; ncRNA-a1; LINC00568,1 (FALEC),FALEC (NR_051960.1),8 (FALEC),8,0,0,VALIDATED (FALEC),FAL1; ncRNA-a1; LINC00568; FALEC
FALEC,Prostate Cancer,"qPCR, Western blot, Luciferase reporter assay etc.",up-regulated,28585762,"Also Known As: FAL1, ncRNA-a1; LINC00568",1,NR_051960.1,8,8,0,0,VALIDATED,FAL1; ncRNA-a1; LINC00568
FENDRR,Neuroendocrine Prostate Cancer,"RNA-seq, Microarray, qPCR etc.",down-regulated,29757368,"Also Known As: FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21

Some (older) FENDRR transcript variant 3 lncRNA ""lncRNA"" ncRNA (complete sequence-MK522493.1) was also there in result.","2 (FENDRR_Variant 1 and 2)
+
1 [FENDRR_Variant 3 (older)]
=3","FENDRR_variant 1 and 2 (NR_033925.1, NR_036444.1)
+
FENDRR_variant 3 (older) MK522493.1","14, 24 (FENDRR_Variant 1 and 2)
+
26 [FENDRR_Variant 3 (older)]","14,23","0,1","0,0",REVIEWED (Variant 1 and 2),FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21
FENDRR,Prostate Cancer,"qPCR, Luciferase reporter assay, in vitro knockdown",down-regulated,29465000,"Also Known As: FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21

Some (older) FENDRR transcript variant 3 lncRNA ""lncRNA"" ncRNA (complete sequence-MK522493.1) was also there in result.","2 (FENDRR_Variant 1 and 2)
+
1 [FENDRR_Variant 3 (older)]
=3","FENDRR_variant 1 and 2 (NR_033925.1, NR_036444.1)
+
FENDRR_variant 3 (older) MK522493.1","14, 24 (FENDRR_Variant 1 and 2)
+
26 [FENDRR_Variant 3 (older)]","14,23","0,1","0,0",REVIEWED (Variant 1 and 2),FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21
FER1L4,Prostate Cancer,"RT-qPCR, Western blot",down-regulated,32140077,"Homo sapiens fer-1 like family member 4 (pseudogene) (FER1L4), non-coding RNA

Also Known As: C20orf124

transcribed RNA-misc_RNA (mentioned as lncRNA in title of papers; PubMed - 31473323 and 31115514)

Gene type - pseudo",1,NR_119376.1,85,83,2,0,VALIDATED,C20orf124
FEZF1-AS1,Prostate Cancer,"qPCR, Western blot etc",up-regulated,32196579,,1,NR_036484.1,22,21,1,0,VALIDATED,FEZF1 antisense RNA 1;FEZF1 antisense RNA 1 (non-protein coding);HSALNG0060982;FEZF1-AS1;NONHSAG048666.2
FEZF1-AS1,Prostate Cancer,"qPCR, Western blot",up-regulated,31298365,,1,NR_036484.1,22,21,1,0,VALIDATED,FEZF1 antisense RNA 1;FEZF1 antisense RNA 1 (non-protein coding);HSALNG0060982;FEZF1-AS1;NONHSAG048666.2
FOXC2-AS1,Prostate Cancer,"qPCR, Western blot, Luciferase reporter assay, other",up-regulated,30389560,Also known as: ODRUL,1,NR_125795.1,3,3,0,0,VALIDATED,ODRUL
FOXP4-AS1,Prostate Cancer,"qPCR, Western blot, Luciferase reporter assay, RIP",up-regulated,31209207,,3,"NR_126415.1, NR_126416.1, NR_126417.1","2, 2, 1","2,2,1","0,0,0","0,0,0",VALIDATED,FOXP4 antisense RNA 1;FOXP4-AS1;HSALNG0050030;NONHSAG043770.2;HSALNG0050034
GAS5,Prostate Cancer,"qPCR, other",down-regulated,31423164,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030
GAS5,Prostate Cancer,"qPCR, Western blot etc.",down-regulated,28396462,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030
GAS5,Prostate Cancer,qPCR etc.,down-regulated,27922078,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030
GAS5,Prostate Cancer,"qPCR, RNAi, Cell proliferation assay etc.",down-regulated,25650269,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030
GAS5,Prostate Cancer,"qPCR, RNAi etc.",up-regulated,23676682,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030
GAS5,Prostate Cancer,qPCR etc.,down-regulated,18836484,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030
GAS5,Prostate Cancer,"qPCR, RNAi, Western blot, Dual luciferase reporter assay, Cell proliferation assay, ISH etc.",down-regulated,27743383,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030
GAS5,Prostate Cancer,"qPCR, RNA interference and transient transfection etc.",up-regulated,28771526,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030
GAS5,Prostate Cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",up-regulated,23728290,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030
"GASL1 ",Prostate Cancer,"RT-qPCR, Western blotting  etc.",up-regulated,31186749,Also Known As: GASAL1; GASL1,1 (GASAL1),NR_149020.1 (GASAL1),45 (GASAL1),37,6,2,VALIDATED (GASAL1),GASL1; GASAL1
GHET1,Prostate Cancer,"qPCR, Western blot, in vitro knockdown, etc.",up-regulated,30609158,Also Known As: ncRNA-GHET1,1,NR_130107.1,10,9,1,0,REVIEWED,lncRNA-GHET1
