LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,aka
AKR7L,Gastric Cancer,"Microarray, qPCR, RNAi etc.",down-regulated,25765901,Also Known As: AFAR3; AKR7A4; AFB1-AR3; AFB1-AR 3,2,"NR_040288.2, NR_040289.2",,"18,15","1,0","0,0",REVIEWED,AFAR3; AKR7A4; AFB1-AR3; AFB1-AR 3
"ANCR",Gastric Cancer,"qRT-PCR, Western blot, RIP",up-regulated,31894487,"Also Known As: AGU2; ANCR; DANCR; SNHG13; KIAA0114; lncRNA-ANCR

Some (older) transcribed RNA, ANCR, Variant 1, 2 and 3 ""lncRNA"" ncRNA (complete sequence-LC128577.1, LC128578.1 and LC128579.1 respectively) with PQS- 7, 7, 7 respectively, were also there in result.",3 (DANCR),"DANCR (NR_024031.2, NR_145129.1, NR_145130.1)","6, 7, 7 (DANCR)","5,6,6","1,1,1","0,0,0",REVIEWED (DANCR),AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR; DANCR
"ANRIL",Gastric Cancer,"qPCR, Western blot",up-regulated,30156609,"Also Known As: ANRIL; p15AS; PCAT12; CDKN2B-AS1; CDKN2BAS; CDKN2B-AS; NCRNA00089

Some (older) ANRIL ncRNA for antisense noncoding RNA in the INK4 locus transcript ""antisense RNA"" ncRNA (AB548314.1) with PQS-15 was also there in result.

Some (older-not checked for PQS) antisense noncoding RNA in the INK4 locus splice variant (ANRIL) ""antisense RNA"" ncRNA (partial sequence, alternatively spliced-EU741058.1; note=""similar to GenBank Accession Number BF002632; contains exons 1, 5, 6, 7, and 13; alternatively spliced"") was also there in result.

Some (older-not checked for PQS) CDKNBAS ""antisense RNA"" ncRNA [TPA(CDKN2B-AS1 gene): HG975381.1] and ""antisense RNA: ncRNA alternatively spliced variants (complete sequnece-GQ495918.1, GQ495919.1, GQ495920.1, GQ495921.1, GQ495922.1, GQ495923.1, GQ495924.1, GQ495925.1, GQ495926.1) were also there in result.",14 (CDKN2B-AS1),"CDKN2B-AS1 (NR_003529.3, NR_047532.1, NR_047543.1, NR_047534.1, NR_047535.1, NR_047536.1, NR_047537.1, NR_047538.1, NR_047539.1, NR_047540.1, NR_047541.1, NR_047542.1, NR_047533.1, NR_120536.1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","21,16,10,10,9,7,9,7,17,10,10,8,6,6","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","REVIEWED (CDKN2B-AS1)
",ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Gastric Cancer,"qPCR, Western blot, other",up-regulated,30431129,"Also Known As: ANRIL; p15AS; PCAT12; CDKN2B-AS1; CDKN2BAS; CDKN2B-AS; NCRNA00089

Some (older) ANRIL ncRNA for antisense noncoding RNA in the INK4 locus transcript ""antisense RNA"" ncRNA (AB548314.1) with PQS-15 was also there in result.

Some (older-not checked for PQS) antisense noncoding RNA in the INK4 locus splice variant (ANRIL) ""antisense RNA"" ncRNA (partial sequence, alternatively spliced-EU741058.1; note=""similar to GenBank Accession Number BF002632; contains exons 1, 5, 6, 7, and 13; alternatively spliced"") was also there in result.

Some (older-not checked for PQS) CDKNBAS ""antisense RNA"" ncRNA [TPA(CDKN2B-AS1 gene): HG975381.1] and ""antisense RNA: ncRNA alternatively spliced variants (complete sequnece-GQ495918.1, GQ495919.1, GQ495920.1, GQ495921.1, GQ495922.1, GQ495923.1, GQ495924.1, GQ495925.1, GQ495926.1) were also there in result.",14 (CDKN2B-AS1),"CDKN2B-AS1 (NR_003529.3, NR_047532.1, NR_047543.1, NR_047534.1, NR_047535.1, NR_047536.1, NR_047537.1, NR_047538.1, NR_047539.1, NR_047540.1, NR_047541.1, NR_047542.1, NR_047533.1, NR_120536.1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","21,16,10,10,9,7,9,7,17,10,10,8,6,6","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","REVIEWED (CDKN2B-AS1)
",ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Gastric Cancer,"qPCR, Western blot",up-regulated,31242038,"Also Known As: ANRIL; p15AS; PCAT12; CDKN2B-AS1; CDKN2BAS; CDKN2B-AS; NCRNA00089

Some (older) ANRIL ncRNA for antisense noncoding RNA in the INK4 locus transcript ""antisense RNA"" ncRNA (AB548314.1) with PQS-15 was also there in result.

Some (older-not checked for PQS) antisense noncoding RNA in the INK4 locus splice variant (ANRIL) ""antisense RNA"" ncRNA (partial sequence, alternatively spliced-EU741058.1; note=""similar to GenBank Accession Number BF002632; contains exons 1, 5, 6, 7, and 13; alternatively spliced"") was also there in result.

Some (older-not checked for PQS) CDKNBAS ""antisense RNA"" ncRNA [TPA(CDKN2B-AS1 gene): HG975381.1] and ""antisense RNA: ncRNA alternatively spliced variants (complete sequnece-GQ495918.1, GQ495919.1, GQ495920.1, GQ495921.1, GQ495922.1, GQ495923.1, GQ495924.1, GQ495925.1, GQ495926.1) were also there in result.",14 (CDKN2B-AS1),"CDKN2B-AS1 (NR_003529.3, NR_047532.1, NR_047543.1, NR_047534.1, NR_047535.1, NR_047536.1, NR_047537.1, NR_047538.1, NR_047539.1, NR_047540.1, NR_047541.1, NR_047542.1, NR_047533.1, NR_120536.1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","21,16,10,10,9,7,9,7,17,10,10,8,6,6","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","REVIEWED (CDKN2B-AS1)
",ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Gastric Cancer,"qPCR, RNAi, Western blot, RIP etc.",up-regulated,24810364,"Also Known As: ANRIL; p15AS; PCAT12; CDKN2B-AS1; CDKN2BAS; CDKN2B-AS; NCRNA00089

Some (older) ANRIL ncRNA for antisense noncoding RNA in the INK4 locus transcript ""antisense RNA"" ncRNA (AB548314.1) with PQS-15 was also there in result.

Some (older-not checked for PQS) antisense noncoding RNA in the INK4 locus splice variant (ANRIL) ""antisense RNA"" ncRNA (partial sequence, alternatively spliced-EU741058.1; note=""similar to GenBank Accession Number BF002632; contains exons 1, 5, 6, 7, and 13; alternatively spliced"") was also there in result.

Some (older-not checked for PQS) CDKNBAS ""antisense RNA"" ncRNA [TPA(CDKN2B-AS1 gene): HG975381.1] and ""antisense RNA: ncRNA alternatively spliced variants (complete sequnece-GQ495918.1, GQ495919.1, GQ495920.1, GQ495921.1, GQ495922.1, GQ495923.1, GQ495924.1, GQ495925.1, GQ495926.1) were also there in result.",14 (CDKN2B-AS1),"CDKN2B-AS1 (NR_003529.3, NR_047532.1, NR_047543.1, NR_047534.1, NR_047535.1, NR_047536.1, NR_047537.1, NR_047538.1, NR_047539.1, NR_047540.1, NR_047541.1, NR_047542.1, NR_047533.1, NR_120536.1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","21,16,10,10,9,7,9,7,17,10,10,8,6,6","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","REVIEWED (CDKN2B-AS1)
",ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Gastric Cancer,"qPCR, RNAi, Western blot, Luciferase reporter assay, Cell proliferation assay etc.",up-regulated,27027260,"Also Known As: ANRIL; p15AS; PCAT12; CDKN2B-AS1; CDKN2BAS; CDKN2B-AS; NCRNA00089

Some (older) ANRIL ncRNA for antisense noncoding RNA in the INK4 locus transcript ""antisense RNA"" ncRNA (AB548314.1) with PQS-15 was also there in result.

Some (older-not checked for PQS) antisense noncoding RNA in the INK4 locus splice variant (ANRIL) ""antisense RNA"" ncRNA (partial sequence, alternatively spliced-EU741058.1; note=""similar to GenBank Accession Number BF002632; contains exons 1, 5, 6, 7, and 13; alternatively spliced"") was also there in result.

Some (older-not checked for PQS) CDKNBAS ""antisense RNA"" ncRNA [TPA(CDKN2B-AS1 gene): HG975381.1] and ""antisense RNA: ncRNA alternatively spliced variants (complete sequnece-GQ495918.1, GQ495919.1, GQ495920.1, GQ495921.1, GQ495922.1, GQ495923.1, GQ495924.1, GQ495925.1, GQ495926.1) were also there in result.",14 (CDKN2B-AS1),"CDKN2B-AS1 (NR_003529.3, NR_047532.1, NR_047543.1, NR_047534.1, NR_047535.1, NR_047536.1, NR_047537.1, NR_047538.1, NR_047539.1, NR_047540.1, NR_047541.1, NR_047542.1, NR_047533.1, NR_120536.1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","21,16,10,10,9,7,9,7,17,10,10,8,6,6","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","REVIEWED (CDKN2B-AS1)
",ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
"ANRIL",Gastric Cancer,"qPCR, RNAi etc.",up-regulated,27121324,"Also Known As: ANRIL; p15AS; PCAT12; CDKN2B-AS1; CDKN2BAS; CDKN2B-AS; NCRNA00089

Some (older) ANRIL ncRNA for antisense noncoding RNA in the INK4 locus transcript ""antisense RNA"" ncRNA (AB548314.1) with PQS-15 was also there in result.

Some (older-not checked for PQS) antisense noncoding RNA in the INK4 locus splice variant (ANRIL) ""antisense RNA"" ncRNA (partial sequence, alternatively spliced-EU741058.1; note=""similar to GenBank Accession Number BF002632; contains exons 1, 5, 6, 7, and 13; alternatively spliced"") was also there in result.

Some (older-not checked for PQS) CDKNBAS ""antisense RNA"" ncRNA [TPA(CDKN2B-AS1 gene): HG975381.1] and ""antisense RNA: ncRNA alternatively spliced variants (complete sequnece-GQ495918.1, GQ495919.1, GQ495920.1, GQ495921.1, GQ495922.1, GQ495923.1, GQ495924.1, GQ495925.1, GQ495926.1) were also there in result.",14 (CDKN2B-AS1),"CDKN2B-AS1 (NR_003529.3, NR_047532.1, NR_047543.1, NR_047534.1, NR_047535.1, NR_047536.1, NR_047537.1, NR_047538.1, NR_047539.1, NR_047540.1, NR_047541.1, NR_047542.1, NR_047533.1, NR_120536.1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","21,16,10,10,9,7,9,7,17,10,10,8,6,6","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","REVIEWED (CDKN2B-AS1)
",ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089; CDKN2B-AS1
AP5M1,Gastric Cancer,"qPCR, RNAi etc.",up-regulated,29719612,Also Known As: Mu5; MuD; MUDENG; C14orf108,"1
(1st variant is mRNA)
(Total=2)","_____, NR_026895.2 ",,20,0,0,VALIDATED,Mu5; MuD; MUDENG; C14orf108
ARAP1-AS1,Gastric Cancer,RT-PCR,up-regulated,32141550,Also Known As: CENTD2,"1
(1st, 3rd, 4th and 5th variants are mRNA)
(2nd variant sequence not available)
(Total=6)","_____, _____, _____, _____, _____, NR_161388.1",,58,3,0,REVIEWED,CENTD2; cnt-d2
ARHGAP27P1,Gastric Cancer,"RT-qPCR, Western blot, RIP",down-regulated,31665700,,1,NR_027487.2,,28,7,0,VALIDATED,Rho GTPase activating protein 27 pseudogene 1;loc146880;SH3 domain containing 20 pseudogene
ARHGAP5-AS1,Gastric Cancer,"qRT-PCR, RIP etc.",up-regulated,31097692,Also Known As: C14orf128,1,NR_027263.1,6,5,1,0,VALIDATED,C14orf128
AWPPH,Gastric Cancer,"qPCR, Western blot, Luciferase reporter assay, etc.",down-regulated,31489578,"Also Known As: MIR4435-2HG; AGD2; 
MORRBID; LINC00978; MIR4435-1HG; 
lncRNA-AWPPH",8 (MIR4435-2HG),"MIR4435-2HG (NR_015395.2, 
NR_024373.2, NR_136161.1, 
NR_136162.1, NR_136163.1, 
NR_136164.1, NR_136165.1, 
NR_136166.1)","23, 5, 10, 24, 15, 10, 
8, 21 (MIR4435-2HG)","23,5,10,24,15,10,8,21","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","VALIDATED (MIR4435-
2HG)",AGD2; MORRBID; LINC00978; MIR4435-1HG; lncRNA-AWPPH
B3GALT5-AS1,Gastric Cancer,qPCR,up-regulated,31338903,Also Known As: C21orf88,2,"NR_026542.1, NR_026543.1","16, 11","15,11","1,0","0,0",VALIDATED,C21orf88
BANCR,Gastric Adenocarcinoma,"qPCR, RNAi, Western blot, MTT assay etc.",up-regulated,26248136,Also Known As: LINC00586,1,NR_047671.2,4,4,0,0,REVIEWED,LINC00586
BANCR,Gastric Cancer,"RNA-seq, Microarray, RT-qPCR, Western blot, Luciferase reporter assay, in vitro knockdown",up-regulated,29483646,Also Known As: LINC00586,1,NR_047671.2,4,4,0,0,REVIEWED,LINC00586
BANCR,Gastric Cancer,qPCR etc.,up-regulated,26054683,Also Known As: LINC00586,1,NR_047671.2,4,4,0,0,REVIEWED,LINC00586
BANCR,Gastric Cancer,"Microarray, qPCR etc.",up-regulated,28042329,Also Known As: LINC00586,1,NR_047671.2,4,4,0,0,REVIEWED,LINC00586
BCAR4,Gastric Cancer,"qPCR, Western blot etc",up-regulated,32329841,,5,"NR_024049.1, NR_024050.1, NR_131216.1, NR_131217.1, NR_131222.1","5, 2, 1, 2, 2","5,2,1,2,2","0,0,0,0,0","0,0,0,0,0",VALIDATED,"breast cancer anti-estrogen resistance 4;breast cancer anti-estrogen resistance 4 (non-protein coding);breast cancer antiestrogen resistance 4 protein;BCAR4;HSALNG0109621;NONHSAG018621.2;Breast cancer antiestrogen resistance 4 protein;HCG1814062, isoform CRA_a"
BCAR4,Gastric Cancer,Western blot,up-regulated,29028095,,5,"NR_024049.1, NR_024050.1, NR_131216.1, NR_131217.1, NR_131222.1","5, 2, 1, 2, 2","5,2,1,2,2","0,0,0,0,0","0,0,0,0,0",VALIDATED,"breast cancer anti-estrogen resistance 4;breast cancer anti-estrogen resistance 4 (non-protein coding);breast cancer antiestrogen resistance 4 protein;BCAR4;HSALNG0109621;NONHSAG018621.2;Breast cancer antiestrogen resistance 4 protein;HCG1814062, isoform CRA_a"
BCYRN1,Gastric Cancer,"qPCR, Luciferase reporter assay, in vitro knockdown",up-regulated,31652309,Also Known As: BCYRN1; BC200; BC200a; LINC00004; NCRNA00004,1 (BCYRN),BCYRN (NR_001568.1),2 (BCYRN),2,0,0,VALIDATED,BC200; BC200a; LINC00004; NCRNA00004
BCYRN1,Gastric Cancer,"qPCR, Western blot",up-regulated,29435146,Also Known As: BCYRN1; BC200; BC200a; LINC00004; NCRNA00004,1 (BCYRN),BCYRN (NR_001568.1),2 (BCYRN),2,0,0,VALIDATED,BC200; BC200a; LINC00004; NCRNA00004
BLACAT1,Gastric Cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown etc.",up-regulated,29710482,Also Known As: BLACAT1; LINC00912; linc-UBC1; onco-lncRNA-30,1,NR_103783.1,21,21,0,0,VALIDATED,BLACAT1 overlapping LEMD1 locus;linc-UBC1;LINC00912;onco-lncRNA-30;long intergenic noncoding RNA up-regulated in bladder cancer;long intergenic non-protein coding RNA 912;bladder cancer associated transcript 1 (non-protein coding);bladder cancer associated transcript 1;NONHSAG004054.2;HSALNG0009941;BLACAT1;Bladder cancer-associated transcript 1
BLACAT2,Gastric Cancer,qPCR etc,up-regulated,32194743,"Also Known As: BLACAT2: LINC00958

Some (older) bladder associated transcript 2 variant 1, 2 and 3 lncRNA ""lncRNA"" ncRNA (complete sequence-MF435912.1, MF435913.1 and MF435914.1 respectively) with PQS- 4, 4, 5 respectively, were also there in result.",1 (LINC00958),LINC00958 (NR_038904.1),10 (LINC00958),10,0,0,VALIDATED (LINC00958),BLACAT2
BNC2-AS1,Gastric Cancer,"qPCR, RNAi, etc.",up-regulated,30549996,,1,NR_151723.1,4,4,0,0,VALIDATED,BNC2 antisense RNA 1;RP11-62F24.2;NONHSAG051833.2;BNC2-AS1;HSALNG0070213
C21orF96,Gastric Cancer,"Microarray, qPCR etc.",up-regulated,26567621,,1,NR_026812.1,10,9,1,0,VALIDATED,C21orf96
C5orf66-AS1,Gastric Cancer,qPCR etc.,down-regulated,32308414,Also known as: Epist,2,"NR_105049.1, NR_105050.1","9,9","8,8","1,1","0,0",VALIDATED,C5orf66-AS1
C5orf66-AS1,Gastric Cardia Cancer,"qPCR, Luciferase reporter assay etc.",down-regulated,29566283,Also known as: Epist,2,"NR_105049.1, NR_105050.1","9,9","8,8","1,1","0,0",VALIDATED,C5orf66-AS1
CARLo-5,Gastric Cancer,qPCR etc.,up-regulated,28239816,Also Known As: CARLO5; CCAT1; onco-lncRNA-40,1,NR_108049.1,9,9,0,0,REVIEWED,CARLO5; CARLo-5; onco-lncRNA-40
CASC11,Gastric Cancer,"qPCR, Western blot, Luciferase reporter assay, other",up-regulated,30200804,Also Known As: MYMLR; CARLO7; CARLo-7; LINC00990; TCONS_00014535,2,"NR_117101.1, NR_117102.1","3,3","3,3","0,0","0,0",VALIDATED,MYMLR; CARLO7; CARLo-7; LINC00990; TCONS_00014535
CASC15,Gastric Cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown",up-regulated,29956772,Also Known As: CACS15 [mentioned in title of paper (PubMed-31665008) refereed in NR_015410.2]; CASC15; CANT; LINC00340; lnc-SOX4-1,1 (CASC15),CASC15 (NR_015410.2),18 (CASC15),18,0,0,REVIEWED (CASC15),CANT; LINC00340; lnc-SOX4-1
CASC15,Gastric Cancer,"qPCR, Microarray",up-regulated,29272000,Also Known As: CACS15 [mentioned in title of paper (PubMed-31665008) refereed in NR_015410.2]; CASC15; CANT; LINC00340; lnc-SOX4-1,1 (CASC15),CASC15 (NR_015410.2),18 (CASC15),18,0,0,REVIEWED (CASC15),CANT; LINC00340; lnc-SOX4-1
CASC15,Gastric Cancer,"RNA-seq, RT-PCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP",up-regulated,29489064,Also Known As: CACS15 [mentioned in title of paper (PubMed-31665008) refereed in NR_015410.2]; CASC15; CANT; LINC00340; lnc-SOX4-1,1 (CASC15),CASC15 (NR_015410.2),18 (CASC15),18,0,0,REVIEWED (CASC15),CANT; LINC00340; lnc-SOX4-1
CASC19,Gastric Cancer,"qPCR, other",up-regulated,31422382,Also Known As: CARLO6; CARLo-6; LINC01245,1,NR_120364.1,2,2,0,0,VALIDATED,CARLO6; CARLo-6; LINC01245
CASC2,Gastric Cancer,"qPCR, Luciferase reporter assay, other",down-regulated,30372881,Also Known As: C10orf5,3,"NR_026939.1, NR_026940.1, NR_026941.1","17, 17, 9","15,15,7","2,2,2","0,0,0",VALIDATED,C10orf5
CASC2,Gastric Cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown",down-regulated,31301415,Also Known As: C10orf5,3,"NR_026939.1, NR_026940.1, NR_026941.1","17, 17, 9","15,15,7","2,2,2","0,0,0",VALIDATED,C10orf5
CASC2,Gastric Cancer,qPCR etc.,down-regulated,28849111,Also Known As: C10orf5,3,"NR_026939.1, NR_026940.1, NR_026941.1","17, 17, 9","15,15,7","2,2,2","0,0,0",VALIDATED,C10orf5
CASC2,Gastric Cancer,"qPCR, Cell transfection, Western blot etc.",up-regulated,27648142,Also Known As: C10orf5,3,"NR_026939.1, NR_026940.1, NR_026941.1","17, 17, 9","15,15,7","2,2,2","0,0,0",VALIDATED,C10orf5
CASC9,Gastric Cancer,"qPCR, Western blot, RIP",up-regulated,31642035,Also Known As: ESSCAL1; ESCCAL-1; LINC00981; linc-JPH1,3,"NR_103848.1, NR_103850.2, NR_103849.2","5,4,4","5,4,4","0,0,0","0,0,0",VALIDATED,ESSCAL1; ESCCAL-1; LINC00981; linc-JPH1
CASC9,Gastric Cancer,"qPCR, Cell transfection, Western blot, Cell proliferation assay etc.",up-regulated,28146436,Also Known As: ESSCAL1; ESCCAL-1; LINC00981; linc-JPH1,3,"NR_103848.1, NR_103850.2, NR_103849.2","5,4,4","5,4,4","0,0,0","0,0,0",VALIDATED,ESSCAL1; ESCCAL-1; LINC00981; linc-JPH1
CBR3-AS1,Gastric Cancer,qPCR etc.,up-regulated,26722487,Also Known As: PlncRNA1; PlncRNA-1,3,"NR_038892.1, NR_038893.1, 
NR_038894.1","10,9,6","10,9,6","0,0,0","0,0,0",VALIDATED,PlncRNA1; PlncRNA-1
CCAT1,Gastric Cancer,"qPCR, Western blot, in vitro knockdown",up-regulated,29940756,"Also Known As: CARLO5; CARLo-5; onco-lncRNA-40

Some (older-not checked for PQS) colon cancer associated transcript 1 (CCAT1) RNA ""other"" ncRNA (RNA, complete sequence - HM358356.1) was also there in result.",1,NR_108049.1,9,9,0,0,REVIEWED,CARLO5; CARLo-5; onco-lncRNA-40
CCAT1,Gastric Cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, etc.",up-regulated,31478245,"Also Known As: CARLO5; CARLo-5; onco-lncRNA-40

Some (older-not checked for PQS) colon cancer associated transcript 1 (CCAT1) RNA ""other"" ncRNA (RNA, complete sequence - HM358356.1) was also there in result.",1,NR_108049.1,9,9,0,0,REVIEWED,CARLO5; CARLo-5; onco-lncRNA-40
CCAT1,Gastric Cancer,"qPCR, Western blot, in vitro knockdown etc.",up-regulated,25674211,"Also Known As: CARLO5; CARLo-5; onco-lncRNA-40

Some (older-not checked for PQS) colon cancer associated transcript 1 (CCAT1) RNA ""other"" ncRNA (RNA, complete sequence - HM358356.1) was also there in result.",1,NR_108049.1,9,9,0,0,REVIEWED,CARLO5; CARLo-5; onco-lncRNA-40
CCAT1,Gastric Cancer,qPCR etc.,up-regulated,25561974,"Also Known As: CARLO5; CARLo-5; onco-lncRNA-40

Some (older-not checked for PQS) colon cancer associated transcript 1 (CCAT1) RNA ""other"" ncRNA (RNA, complete sequence - HM358356.1) was also there in result.",1,NR_108049.1,9,9,0,0,REVIEWED,CARLO5; CARLo-5; onco-lncRNA-40
CCAT1,Gastric Cancer,"qPCR, Luciferase reporter assay, Western blot",up-regulated,29231252,"Also Known As: CARLO5; CARLo-5; onco-lncRNA-40

Some (older-not checked for PQS) colon cancer associated transcript 1 (CCAT1) RNA ""other"" ncRNA (RNA, complete sequence - HM358356.1) was also there in result.",1,NR_108049.1,9,9,0,0,REVIEWED,CARLO5; CARLo-5; onco-lncRNA-40
CCAT1,Gastric Cancer,qPCR,down-regulated,28724210,"Also Known As: CARLO5; CARLo-5; onco-lncRNA-40

Some (older-not checked for PQS) colon cancer associated transcript 1 (CCAT1) RNA ""other"" ncRNA (RNA, complete sequence - HM358356.1) was also there in result.",1,NR_108049.1,9,9,0,0,REVIEWED,CARLO5; CARLo-5; onco-lncRNA-40
