LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Lnc Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,Total No. of PQS.1,G4Hunter Scores of PQS,Similarity between PQS from QGRS mapper vs PQS from G4 hunter,Total No. of PQS.2,G4Hunter Scores of PQS.1,Similarity between PQS from QGRS mapper vs PQS from G4 hunter.1,Unnamed: 19,aka
AFAP1-AS1,lung cancer,"RNA-seq, qPCR, Western blot etc.",up-regulated,26245991.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,"9 (1-3G,8-C-rich) ","['-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872(C-rich);  0.911 (3G)]",The 3G PQS of G4 Hunter and QGRS mapper is similar and the main G tract of both PQS is the same with additional nucleotides surrounding in the G4 hunter PQS,0,0,No PQS found in G4 hunter,,AFAP1AS; AFAP1-AS
AFAP1-AS1,non small cell lung cancer,qPCR etc.,up-regulated,26463625.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,"9 (1-3G,8-C-rich) ","['-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872(C-rich);  0.911 (3G)]",The 3G PQS of G4 Hunter and QGRS mapper is similar and the main G tract of both PQS is the same with additional nucleotides surrounding in the G4 hunter PQS,0,0,No PQS found in G4 hunter,,AFAP1AS; AFAP1-AS
AFAP1-AS1,lung adenocarcinoma,qPCR etc.,up-regulated,28670387.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,"9 (1-3G,8-C-rich) ","['-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872(C-rich);  0.911 (3G)]",The 3G PQS of G4 Hunter and QGRS mapper is similar and the main G tract of both PQS is the same with additional nucleotides surrounding in the G4 hunter PQS,0,0,No PQS found in G4 hunter,,AFAP1AS; AFAP1-AS
AFAP1-AS1,lung adenocarcinoma,"RNA-seq, qPCR etc.",up-regulated,27826625.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,"9 (1-3G,8-C-rich) ","['-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872(C-rich);  0.911 (3G)]",The 3G PQS of G4 Hunter and QGRS mapper is similar and the main G tract of both PQS is the same with additional nucleotides surrounding in the G4 hunter PQS,0,0,No PQS found in G4 hunter,,AFAP1AS; AFAP1-AS
AFAP1-AS1,lung cancer,"qPCR, Western blot",up-regulated,29212176.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,"9 (1-3G,8-C-rich) ","['-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872(C-rich);  0.911 (3G)]",The 3G PQS of G4 Hunter and QGRS mapper is similar and the main G tract of both PQS is the same with additional nucleotides surrounding in the G4 hunter PQS,0,0,No PQS found in G4 hunter,,AFAP1AS; AFAP1-AS
AFAP1-AS1,lung adenocarcinoma,"qPCR, RNAi, Cell proliferation assay etc.",up-regulated,27797003.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,"9 (1-3G,8-C-rich) ","['-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872(C-rich);  0.911 (3G)]",The 3G PQS of G4 Hunter and QGRS mapper is similar and the main G tract of both PQS is the same with additional nucleotides surrounding in the G4 hunter PQS,0,0,No PQS found in G4 hunter,,AFAP1AS; AFAP1-AS
AFAP1-AS1,non small cell lung cancer,"qPCR, Western blot, RIP etc.",up-regulated,29793547.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,"9 (1-3G,8-C-rich) ","['-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872(C-rich);  0.911 (3G)]",The 3G PQS of G4 Hunter and QGRS mapper is similar and the main G tract of both PQS is the same with additional nucleotides surrounding in the G4 hunter PQS,0,0,No PQS found in G4 hunter,,AFAP1AS; AFAP1-AS
AFAP1-AS1,non small cell lung cancer,"qPCR, etc.",up-regulated,29963138.0,"Also Known As: AFAP1-AS, AFAP1AS",1,NR_026892.1,37,36,1,0,VALIDATED,"9 (1-3G,8-C-rich) ","['-0.872, -0.898, -0.855, -0.894, -0.958, -0.796, -0.672, -0.872(C-rich);  0.911 (3G)]",The 3G PQS of G4 Hunter and QGRS mapper is similar and the main G tract of both PQS is the same with additional nucleotides surrounding in the G4 hunter PQS,0,0,No PQS found in G4 hunter,,AFAP1AS; AFAP1-AS
AGAP2-AS1,non small cell lung cancer,"qRT-PCR, Western blot",up-regulated,32015683.0,Also Known As: PUNISHER,1,NR_027032.1,16,12,4,0,VALIDATED,"14 (8-C-rich, 2-2G, 
4-3G)","[0.722, 1.089, 0.863, 0.836,
 0.877 (3G), 1.068, -0.911, 
-0.713, -0.845, -0.889, 
-0.8, -0.865, -0.911, -0.857 (C-rich)]","The PQS 1 (3G) of QGRS Mapper is similar to the PQS 1 (3G) of G4 Hunter. The G-tracts of both PQS are the same with a right frame shift in G4 hunter.
Similarly, the PQS 2 (3G) of QGRS  Mapper is similar to the PQS 2 (3G) of G4 Hunter. The G tracts of both PQS are the same with a right frame shift in G4 hunter.
Similarly, the PQS 3 (3G) of QGRS  Mapper is similar to the PQS 3 (3G) of G4 Hunter. The G tracts of both PQS are the same with a left frame shift in G4 hunter.
Similarly, the PQS 4 (3G) of QGRS  Mapper is similar to the PQS 4 (3G) of G4 Hunter. The G tracts of both PQS are the same with a right frame shift in G4 hunter.
","3 (1-C-rich, 2- 3G)","[1.438, 1.203 (3G); -1.538 
(C-rich)]","The PQS 2 (3G) of QGRS Mapper is similar to the PQS 1 (3G) of G4 Hunter. The G-tracts of both PQS are the same with a right frame shift in G4 hunter.
Similarly, the PQS 3 (3G) of QGRS  Mapper is similar to the PQS 2 (3G) of G4 Hunter. The G tracts of both PQS are the same with a right frame shift in G4 hunter.",,PUNISHER
AGAP2-AS1,non small cell lung cancer,qPCR,up-regulated,28617550.0,Also Known As: PUNISHER,1,NR_027032.1,16,12,4,0,VALIDATED,"14 (8-C-rich, 2-2G, 
4-3G)","[0.722, 1.089, 0.863, 0.836,
 0.877 (3G), 1.068, -0.911, 
-0.713, -0.845, -0.889, 
-0.8, -0.865, -0.911, -0.857 (C-rich)]","The PQS 1 (3G) of QGRS Mapper is similar to the PQS 1 (3G) of G4 Hunter. The G-tracts of both PQS are the same with a right frame shift in G4 hunter.
Similarly, the PQS 2 (3G) of QGRS  Mapper is similar to the PQS 2 (3G) of G4 Hunter. The G tracts of both PQS are the same with a right frame shift in G4 hunter.
Similarly, the PQS 3 (3G) of QGRS  Mapper is similar to the PQS 3 (3G) of G4 Hunter. The G tracts of both PQS are the same with a left frame shift in G4 hunter.
Similarly, the PQS 4 (3G) of QGRS  Mapper is similar to the PQS 4 (3G) of G4 Hunter. The G tracts of both PQS are the same with a right frame shift in G4 hunter.
","3 (1-C-rich, 2- 3G)","[1.438, 1.203 (3G); -1.538 
(C-rich)]","The PQS 2 (3G) of QGRS Mapper is similar to the PQS 1 (3G) of G4 Hunter. The G-tracts of both PQS are the same with a right frame shift in G4 hunter.
Similarly, the PQS 3 (3G) of QGRS  Mapper is similar to the PQS 2 (3G) of G4 Hunter. The G tracts of both PQS are the same with a right frame shift in G4 hunter.",,PUNISHER
AGAP2-AS1,non small cell lung cancer,"qPCR, RNAi, Western blot, Flow cytometry assay etc.",up-regulated,27195672.0,Also Known As: PUNISHER,1,NR_027032.1,16,12,4,0,VALIDATED,"14 (8-C-rich, 2-2G, 
4-3G)","[0.722, 1.089, 0.863, 0.836,
 0.877 (3G), 1.068, -0.911, 
-0.713, -0.845, -0.889, 
-0.8, -0.865, -0.911, -0.857 (C-rich)]","The PQS 1 (3G) of QGRS Mapper is similar to the PQS 1 (3G) of G4 Hunter. The G-tracts of both PQS are the same with a right frame shift in G4 hunter.
Similarly, the PQS 2 (3G) of QGRS  Mapper is similar to the PQS 2 (3G) of G4 Hunter. The G tracts of both PQS are the same with a right frame shift in G4 hunter.
Similarly, the PQS 3 (3G) of QGRS  Mapper is similar to the PQS 3 (3G) of G4 Hunter. The G tracts of both PQS are the same with a left frame shift in G4 hunter.
Similarly, the PQS 4 (3G) of QGRS  Mapper is similar to the PQS 4 (3G) of G4 Hunter. The G tracts of both PQS are the same with a right frame shift in G4 hunter.
","3 (1-C-rich, 2- 3G)","[1.438, 1.203 (3G); -1.538 
(C-rich)]","The PQS 2 (3G) of QGRS Mapper is similar to the PQS 1 (3G) of G4 Hunter. The G-tracts of both PQS are the same with a right frame shift in G4 hunter.
Similarly, the PQS 3 (3G) of QGRS  Mapper is similar to the PQS 2 (3G) of G4 Hunter. The G tracts of both PQS are the same with a right frame shift in G4 hunter.",,PUNISHER
"ANCR
DANCR",non small cell lung cancer,"qRT-PCR, RIP",up-regulated,32096155.0,"Also Known As: AGU2; ANCR; DANCR; SNHG13; KIAA0114; lncRNA-ANCR.Some (older) transcribed RNA, ANCR, Variant 1, 2 and 3 ""lncRNA"" ncRNA (complete sequence-LC128577.1, LC128578.1 and LC128579.1 respectively) with PQS- 7, 7, 7 respectively, were also there in result.",3 (DANCR),"DANCR (NR_024031.2, NR_145129.1, NR_145130.1)","6,7,7 (DANCR)","5,6,6","1,1,1","0,0,0",REVIEWED (DANCR),"3 (3-C-rich)
1 (C-rich)
1 (C-rich)","[-0.62, -0.921, -0.787 (C-rich)];

[-0.62(C-rich)] ;

[-0.62(C-rich)]",,"1(C-rich);
1(C-rich);
1(C-rich);

","[-1.444 (C-rich)] ;

[-1.444 (C-rich)] ;

[-1.444 (C-rich)]",No similarity to any PQS  from QGRS mapper,,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
"ANCR
DANCR",non small cell lung cancer,"qPCR, Western blot",down-regulated,30154397.0,"Also Known As: AGU2; ANCR; DANCR; SNHG13; KIAA0114; lncRNA-ANCR.Some (older) transcribed RNA, ANCR, Variant 1, 2 and 3 ""lncRNA"" ncRNA (complete sequence-LC128577.1, LC128578.1 and LC128579.1 respectively) with PQS- 7, 7, 7 respectively, were also there in result.",3 (DANCR),"DANCR (NR_024031.2, NR_145129.1, NR_145130.1)","6,7,7 (DANCR)","5,6,6","1,1,1","0,0,0",REVIEWED (DANCR),"3 (3-C-rich)
1 (C-rich)
1 (C-rich)","[-0.62, -0.921, -0.787 (C-rich)];

[-0.62(C-rich)] ;

[-0.62(C-rich)]",,"1(C-rich);
1(C-rich);
1(C-rich);

","[-1.444 (C-rich)] ;

[-1.444 (C-rich)] ;

[-1.444 (C-rich)]",No similarity to any PQS  from QGRS mapper,,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
ANRIL,lung cancer,"qPCR, RNAi, Western blot, Cell apoptosis assay etc.",up-regulated,25964559.0,"Also Known As: ANRIL; p15AS; PCAT12; CDKN2B-AS1; CDKN2BAS; CDKN2B-AS; NCRNA00089

Some (older) ANRIL ncRNA for antisense noncoding RNA in the INK4 locus transcript ""antisense RNA"" ncRNA (AB548314.1) with PQS-15 was also there in result.

Some (older-not checked for PQS) antisense noncoding RNA in the INK4 locus splice variant (ANRIL) ""antisense RNA"" ncRNA (partial sequence, alternatively spliced-EU741058.1; note=""similar to GenBank Accession Number BF002632; contains exons 1, 5, 6, 7, and 13; alternatively spliced"") was also there in result.

Some (older-not checked for PQS) CDKNBAS ""antisense RNA"" ncRNA [TPA(CDKN2B-AS1 gene): HG975381.1] and ""antisense RNA: ncRNA alternatively spliced variants (complete sequnece-GQ495918.1, GQ495919.1, GQ495920.1, GQ495921.1, GQ495922.1, GQ495923.1, GQ495924.1, GQ495925.1, GQ495926.1) were also there in result.",14 (CDKN2B-AS1),"CDKN2B-AS1 (NR_003529.3, NR_047532.1, NR_047543.1, NR_047534.1, NR_047535.1, NR_047536.1, NR_047537.1, NR_047538.1, NR_047539.1, NR_047540.1, NR_047541.1, NR_047542.1, NR_047533.1, NR_120536.1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","21,16,10,10,9,7,9,7,17,10,10,8,6,6","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,,,,,,,,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,lung adenocarcinoma,"qPCR, Western blot etc.",up-regulated,28402932.0,"Also Known As: ANRIL; p15AS; PCAT12; CDKN2B-AS1; CDKN2BAS; CDKN2B-AS; NCRNA00089

Some (older) ANRIL ncRNA for antisense noncoding RNA in the INK4 locus transcript ""antisense RNA"" ncRNA (AB548314.1) with PQS-15 was also there in result.

Some (older-not checked for PQS) antisense noncoding RNA in the INK4 locus splice variant (ANRIL) ""antisense RNA"" ncRNA (partial sequence, alternatively spliced-EU741058.1; note=""similar to GenBank Accession Number BF002632; contains exons 1, 5, 6, 7, and 13; alternatively spliced"") was also there in result.

Some (older-not checked for PQS) CDKNBAS ""antisense RNA"" ncRNA [TPA(CDKN2B-AS1 gene): HG975381.1] and ""antisense RNA: ncRNA alternatively spliced variants (complete sequnece-GQ495918.1, GQ495919.1, GQ495920.1, GQ495921.1, GQ495922.1, GQ495923.1, GQ495924.1, GQ495925.1, GQ495926.1) were also there in result.",14 (CDKN2B-AS1),"CDKN2B-AS1 (NR_003529.3, NR_047532.1, NR_047543.1, NR_047534.1, NR_047535.1, NR_047536.1, NR_047537.1, NR_047538.1, NR_047539.1, NR_047540.1, NR_047541.1, NR_047542.1, NR_047533.1, NR_120536.1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","21,16,10,10,9,7,9,7,17,10,10,8,6,6","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,,,,,,,,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,non small cell lung cancer,qPCR etc.,up-regulated,29504701.0,"Also Known As: ANRIL; p15AS; PCAT12; CDKN2B-AS1; CDKN2BAS; CDKN2B-AS; NCRNA00089

Some (older) ANRIL ncRNA for antisense noncoding RNA in the INK4 locus transcript ""antisense RNA"" ncRNA (AB548314.1) with PQS-15 was also there in result.

Some (older-not checked for PQS) antisense noncoding RNA in the INK4 locus splice variant (ANRIL) ""antisense RNA"" ncRNA (partial sequence, alternatively spliced-EU741058.1; note=""similar to GenBank Accession Number BF002632; contains exons 1, 5, 6, 7, and 13; alternatively spliced"") was also there in result.

Some (older-not checked for PQS) CDKNBAS ""antisense RNA"" ncRNA [TPA(CDKN2B-AS1 gene): HG975381.1] and ""antisense RNA: ncRNA alternatively spliced variants (complete sequnece-GQ495918.1, GQ495919.1, GQ495920.1, GQ495921.1, GQ495922.1, GQ495923.1, GQ495924.1, GQ495925.1, GQ495926.1) were also there in result.",14 (CDKN2B-AS1),"CDKN2B-AS1 (NR_003529.3, NR_047532.1, NR_047543.1, NR_047534.1, NR_047535.1, NR_047536.1, NR_047537.1, NR_047538.1, NR_047539.1, NR_047540.1, NR_047541.1, NR_047542.1, NR_047533.1, NR_120536.1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","21,16,10,10,9,7,9,7,17,10,10,8,6,6","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,,,,,,,,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,non small cell lung cancer,"qPCR, RNAi etc.",up-regulated,26408699.0,"Also Known As: ANRIL; p15AS; PCAT12; CDKN2B-AS1; CDKN2BAS; CDKN2B-AS; NCRNA00089

Some (older) ANRIL ncRNA for antisense noncoding RNA in the INK4 locus transcript ""antisense RNA"" ncRNA (AB548314.1) with PQS-15 was also there in result.

Some (older-not checked for PQS) antisense noncoding RNA in the INK4 locus splice variant (ANRIL) ""antisense RNA"" ncRNA (partial sequence, alternatively spliced-EU741058.1; note=""similar to GenBank Accession Number BF002632; contains exons 1, 5, 6, 7, and 13; alternatively spliced"") was also there in result.

Some (older-not checked for PQS) CDKNBAS ""antisense RNA"" ncRNA [TPA(CDKN2B-AS1 gene): HG975381.1] and ""antisense RNA: ncRNA alternatively spliced variants (complete sequnece-GQ495918.1, GQ495919.1, GQ495920.1, GQ495921.1, GQ495922.1, GQ495923.1, GQ495924.1, GQ495925.1, GQ495926.1) were also there in result.",14 (CDKN2B-AS1),"CDKN2B-AS1 (NR_003529.3, NR_047532.1, NR_047543.1, NR_047534.1, NR_047535.1, NR_047536.1, NR_047537.1, NR_047538.1, NR_047539.1, NR_047540.1, NR_047541.1, NR_047542.1, NR_047533.1, NR_120536.1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","21,16,10,10,9,7,9,7,17,10,10,8,6,6","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,,,,,,,,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,non small cell lung cancer,"qPCR, RNAi, Western blot, Luciferase reporter assay etc.",up-regulated,27307748.0,"Also Known As: ANRIL; p15AS; PCAT12; CDKN2B-AS1; CDKN2BAS; CDKN2B-AS; NCRNA00089

Some (older) ANRIL ncRNA for antisense noncoding RNA in the INK4 locus transcript ""antisense RNA"" ncRNA (AB548314.1) with PQS-15 was also there in result.

Some (older-not checked for PQS) antisense noncoding RNA in the INK4 locus splice variant (ANRIL) ""antisense RNA"" ncRNA (partial sequence, alternatively spliced-EU741058.1; note=""similar to GenBank Accession Number BF002632; contains exons 1, 5, 6, 7, and 13; alternatively spliced"") was also there in result.

Some (older-not checked for PQS) CDKNBAS ""antisense RNA"" ncRNA [TPA(CDKN2B-AS1 gene): HG975381.1] and ""antisense RNA: ncRNA alternatively spliced variants (complete sequnece-GQ495918.1, GQ495919.1, GQ495920.1, GQ495921.1, GQ495922.1, GQ495923.1, GQ495924.1, GQ495925.1, GQ495926.1) were also there in result.",14 (CDKN2B-AS1),"CDKN2B-AS1 (NR_003529.3, NR_047532.1, NR_047543.1, NR_047534.1, NR_047535.1, NR_047536.1, NR_047537.1, NR_047538.1, NR_047539.1, NR_047540.1, NR_047541.1, NR_047542.1, NR_047533.1, NR_120536.1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","21,16,10,10,9,7,9,7,17,10,10,8,6,6","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,,,,,,,,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
ANRIL,non small cell lung cancer,"qPCR, RNAi, Cell proliferation assay etc.",up-regulated,25889788.0,28,14 (CDKN2B-AS1),"CDKN2B-AS1 (NR_003529.3, NR_047532.1, NR_047543.1, NR_047534.1, NR_047535.1, NR_047536.1, NR_047537.1, NR_047538.1, NR_047539.1, NR_047540.1, NR_047541.1, NR_047542.1, NR_047533.1, NR_120536.1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","21,16,10,10,9,7,9,7,17,10,10,8,6,6","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,,,,,,,,ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089
