LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,aka,"G4 Hunter, thres:0.9 TOTAL PQS","G4 Hunter, thres:0.9 2G PQS","G4 Hunter, thres:0.9 3G PQS","G4 Hunter, thres:0.9 4G PQS","G4 Hunter, thres:1.4 TOTAL PQS","G4 Hunter, thres:1.4 2G PQS","G4 Hunter, thres:1.4 3G PQS","G4 Hunter, thres:1.4 4G PQS"
ANRIL,Pancreatic Cancer,"qPCR, Cell transfection, Western blot, Cell migration and invasion assay etc.",up-regulated,28344092.0,"Also Known As: ANRIL; p15AS; PCAT12; CDKN2B-AS1; CDKN2BAS; CDKN2B-AS; NCRNA00089

Some (older) ANRIL ncRNA for antisense noncoding RNA in the INK4 locus transcript ""antisense RNA"" ncRNA (AB548314.1) with PQS-15 was also there in result.

Some (older-not checked for PQS) antisense noncoding RNA in the INK4 locus splice variant (ANRIL) ""antisense RNA"" ncRNA (partial sequence, alternatively spliced-EU741058.1; note=""similar to GenBank Accession Number BF002632; contains exons 1, 5, 6, 7, and 13; alternatively spliced"") was also there in result.

Some (older-not checked for PQS) CDKNBAS ""antisense RNA"" ncRNA [TPA(CDKN2B-AS1 gene): HG975381.1] and ""antisense RNA: ncRNA alternatively spliced variants (complete sequnece-GQ495918.1, GQ495919.1, GQ495920.1, GQ495921.1, GQ495922.1, GQ495923.1, GQ495924.1, GQ495925.1, GQ495926.1) were also there in result.",14 (CDKN2B-AS1),"CDKN2B-AS1 (NR_003529.3, NR_047532.1, NR_047543.1, NR_047534.1, NR_047535.1, NR_047536.1, NR_047537.1, NR_047538.1, NR_047539.1, NR_047540.1, NR_047541.1, NR_047542.1, NR_047533.1, NR_120536.1)","21, 16, 10, 10, 9, 7, 9, 7, 17, 10, 10, 8, 6, 6 (CDKN2B-AS1)","21,16,10,10,9,7,9,7,17,10,10,8,6,6","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED (CDKN2B-AS1),ANRIL; p15AS; PCAT12; CDKN2BAS; CDKN2B-AS; NCRNA00089,"1,1,0,1,0,0,0,0,0,0,0,0,0,0","1,1,0,1,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BANCR,Pancreatic Cancer,"qPCR, Western blot etc.",up-regulated,31769353.0,Also Known As: LINC00586,1,NR_047671.2,4,4,0,0,REVIEWED,LINC00586,0,0,0,0,0,0,0,0
CASC2,Pancreatic Cancer,"qRT-PCR, Western blot",up-regulated,32104955.0,Also Known As: C10orf5,3,"NR_026939.1, NR_026940.1, NR_026941.1","17, 17, 9","15,15,7","2,2,2","0,0,0",VALIDATED,C10orf5,"9,9,8","8,8,7","1,1,1","0,0,0","4,4,1","4,4,1","0,0,0","0,0,0"
CASC2,Pancreatic Cancer,"Dual luciferase reporter assay, RT-qPCR, Western blotting",down-regulated,31894271.0,Also Known As: C10orf5,3,"NR_026939.1, NR_026940.1, NR_026941.1","17, 17, 9","15,15,7","2,2,2","0,0,0",VALIDATED,C10orf5,"9,9,8","8,8,7","1,1,1","0,0,0","4,4,1","4,4,1","0,0,0","0,0,0"
CASC2,Pancreatic Cancer,"qPCR, Western blot, Luciferase reporter assay, etc.",down-regulated,30675129.0,Also Known As: C10orf5,3,"NR_026939.1, NR_026940.1, NR_026941.1","17, 17, 9","15,15,7","2,2,2","0,0,0",VALIDATED,C10orf5,"9,9,8","8,8,7","1,1,1","0,0,0","4,4,1","4,4,1","0,0,0","0,0,0"
CASC2,Pancreatic Cancer,"qPCR, Western blot, Luciferase reporter assay , ChIP etc.",down-regulated,28865121.0,Also Known As: C10orf5,3,"NR_026939.1, NR_026940.1, NR_026941.1","17, 17, 9","15,15,7","2,2,2","0,0,0",VALIDATED,C10orf5,"9,9,8","8,8,7","1,1,1","0,0,0","4,4,1","4,4,1","0,0,0","0,0,0"
CASC9,Pancreatic Ductal Adenocarcinoma,"Microarray, qPCR, RNAi, MTT assay etc.",up-regulated,28220683.0,Also Known As: ESSCAL1; ESCCAL-1; LINC00981; linc-JPH1,3,"NR_103848.1, NR_103850.2, NR_103849.2","5, 4, 4","5,4,4","0,0,0","0,0,0",VALIDATED,ESSCAL1; ESCCAL-1; LINC00981; linc-JPH1,"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
CCAT2,Pancreatic Ductal Adenocarcinoma,"qRT-PCR, Western blot, Luciferase reporter assay",up-regulated,29298720.0,"Also Known As: NCCP1; LINC00873

Some (older-not checked for PQS) CCAT2 short and long variants ncRNA; ""other"" ncRNA (complete sequence - GQ911591.1 and GQ911592.1 respectively) were also there in result.",1,NR_109834.1,6,6,0,0,REVIEWED,NCCP1; LINC00873,2,2,0,0,0,0,0,0
CRNDE,Pancreatic Cancer,"qPCR, Luciferase reporter assay, Western blot",up-regulated,28940804.0,Also Known As: CRNDEP; PNAS-108; lincIRX5; LINC00180; NCRNA00180,5,"NR_034105.4, NR_034106.3, NR_110453.2, NR_110454.2, NR_170995.1","5, 9, 5, 9, 9","5,7,5,7,7","0,2,0,2,2","0,0,0,0,0",VALIDATED,CRNDEP; PNAS-108; lincIRX5; LINC00180; NCRNA00180,"0,2,0,2,2","0,0,0,0,0","0,2,0,2,2","0,0,0,0,0","0,1,0,1,1","0,0,0,0,0","0,1,0,1,1","0,0,0,0,0"
CRNDE,Pancreatic Ductal Adenocarcinoma,"Microarray, qPCR, Cell proliferation assay etc.",up-regulated,27628540.0,Also Known As: CRNDEP; PNAS-108; lincIRX5; LINC00180; NCRNA00180,5,"NR_034105.4, NR_034106.3, NR_110453.2, NR_110454.2, NR_170995.1","5, 9, 5, 9, 9","5,7,5,7,7","0,2,0,2,2","0,0,0,0,0",VALIDATED,CRNDEP; PNAS-108; lincIRX5; LINC00180; NCRNA00180,"0,2,0,2,2","0,0,0,0,0","0,2,0,2,2","0,0,0,0,0","0,1,0,1,1","0,0,0,0,0","0,1,0,1,1","0,0,0,0,0"
CUDR ,Pancreatic Ductal Adenocarcinoma,"qPCR, Western blot, Microarray, other",up-regulated,30272271.0,also reviewed as UCA1. Also known as CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36. Sequence has been updated since last check. No other ncRNA transcripts (mentioned for UCA1) found,1,NR_015379.3,10,10,0,0,REVIEWED,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36,3,3,0,0,0,0,0,0
"ANCR",Pancreatic Cancer,"qRT-PCR, Western blot",up-regulated,31804607.0,"Also Known As: AGU2; ANCR; DANCR; SNHG13; KIAA0114; lncRNA-ANCR

Some (older) transcribed RNA, ANCR, Variant 1, 2 and 3 ""lncRNA"" ncRNA (complete sequence-LC128577.1, LC128578.1 and LC128579.1 respectively) with PQS- 7, 7, 7 respectively, were also there in result. ",3 (DANCR),"DANCR (NR_024031.2, NR_145129.1, NR_145130.1)","6, 7, 7 (DANCR)","5,6,6","1,1,1","0,0,0",REVIEWED (DANCR),AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR; DANCR,"4,3,3","3,2,2","1,1,1","0,0,0","1,0,0","1,0,0","0,0,0","0,0,0"
"ANCR",Pancreatic Ductal Adenocarcinoma,"qPCR, Luciferase reporter assay, in vitro knockdown, etc.",up-regulated,30519037.0,"Also Known As: AGU2; ANCR; DANCR; SNHG13; KIAA0114; lncRNA-ANCR

Some (older) transcribed RNA, ANCR, Variant 1, 2 and 3 ""lncRNA"" ncRNA (complete sequence-LC128577.1, LC128578.1 and LC128579.1 respectively) with PQS- 7, 7, 7 respectively, were also there in result. ",3 (DANCR),"DANCR (NR_024031.2, NR_145129.1, NR_145130.1)","6, 7, 7 (DANCR)","5,6,6","1,1,1","0,0,0",REVIEWED (DANCR),AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR; DANCR,"4,3,3","3,2,2","1,1,1","0,0,0","1,0,0","1,0,0","0,0,0","0,0,0"
"ANCR",Pancreatic Cancer,"qPCR, Western blot, Luciferase reporter assay",up-regulated,31267381.0,"Also Known As: AGU2; ANCR; DANCR; SNHG13; KIAA0114; lncRNA-ANCR

Some (older) transcribed RNA, ANCR, Variant 1, 2 and 3 ""lncRNA"" ncRNA (complete sequence-LC128577.1, LC128578.1 and LC128579.1 respectively) with PQS- 7, 7, 7 respectively, were also there in result. ",3 (DANCR),"DANCR (NR_024031.2, NR_145129.1, NR_145130.1)","6, 7, 7 (DANCR)","5,6,6","1,1,1","0,0,0",REVIEWED (DANCR),AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR; DANCR,"4,3,3","3,2,2","1,1,1","0,0,0","1,0,0","1,0,0","0,0,0","0,0,0"
"ANCR",Pancreatic Cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown",up-regulated,31213582.0,"Also Known As: AGU2; ANCR; DANCR; SNHG13; KIAA0114; lncRNA-ANCR

Some (older) transcribed RNA, ANCR, Variant 1, 2 and 3 ""lncRNA"" ncRNA (complete sequence-LC128577.1, LC128578.1 and LC128579.1 respectively) with PQS- 7, 7, 7 respectively, were also there in result. ",3 (DANCR),"DANCR (NR_024031.2, NR_145129.1, NR_145130.1)","6, 7, 7 (DANCR)","5,6,6","1,1,1","0,0,0",REVIEWED (DANCR),AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR; DANCR,"4,3,3","3,2,2","1,1,1","0,0,0","1,0,0","1,0,0","0,0,0","0,0,0"
DGCR5,Pancreatic Ductal Adenocarcinoma,qPCR,differential expression,29207609.0,"Also Known As: DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037

2 sequences for DGCR5 (NR_026651.1, NR_024159.1) without any mentioning of transcript variants, while 3 sequences of DGCR5 with clear mentioning of transcipt variants.

PREDICTED REFSEQ (NR_026651.1): This record has not been reviewed and the function is unknown. The reference sequence was derived from BU584104.1, AC000095.5, L77559.1 and BM681417.1.

All transcriprt variants of DGCR5 (NR_002733.2, NR_045121.1, NR_110533.1, NR_026651.1 and NR_024159.1) are reported (Gene Cards - GCID: GC22P019556)

PQS 2 obtained in DGCR5_Variant 2 (NR_045121.1) when search parameter was set to Min G-Group Size: 2 was replaced by another PQS of same score (by shifting G-Group/Quartet frame) when search parameter was set to Min G-Group Size: 3. Rest two PQS were same in both search parameters.
For further consideration, PQS when search parameter was set to Min G-Group Size: 3 was taken.","3 (DGCR5)
+
2 (DGCR5 unknown variants)
=5","DGCR5 (NR_002733.2, NR_045121.1, NR_110533.1)
+
DGCR5 unknown variants (NR_026651.1, NR_024159.1)","32, 32, 11 (DGCR5)
+
7, 28 (DGCR5 unknown variants)","29,29,11,5,25","3,3,0,2,3","0,0,0,0,0","VALIDATED (DGCR5)

PREDICTED (DGCR5 unknown variant-NR_026651.1)

VALIDATED (DGCR5 unknown variant-NR_024159.1)",DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037,"17,17,5,2,17","16,16,5,1,16","1,1,0,1,1","0,0,0,0,0","6,6,0,2,3","6,6,0,0,3","0,0,0,2,0","0,0,0,0,0"
DIO3OS,Pancreatic Cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP",up-regulated,31384177.0,DIO3-OS; DIO3-AS1; C14orf134; NCRNA00041,6,"NR_152588.1, NR_152589.1, NR_152590.1, NR_152591.1, NR_152592.1, NR_152593.1 ","6, 6,17,6,21,9","6,6,15,6,19,9","0,0,2,0,2,0","0,0,0,0,0,0",VALIDATED,DIO3-OS; DIO3-AS1; C14orf134; NCRNA00041,"0,0,11,0,14,3","0,0,10,0,13,3","0,0,1,0,1,0","0,0,0,0,0,0","0,0,4,0,5,1","0,0,3,0,4,1","0,0,1,0,1,0","0,0,0,0,0,0"
DLEU1 (aka DLEU2),Pancreatic Ductal Adenocarcinoma,"qPCR, Western blot, Luciferase reporter assay, other",up-regulated,30382579.0,"Also Known As: BCMS; DLB1; LEU1; LEU2; XTP6; BCMS1; DLEU2; LINC00021; NCRNA00021

Some (not checked for PQS) DLEU1-AS1 ""lncRNA"" ncRNA (NR_125753.1) was also there in result.",3,"NR_109973.1, NR_002605.2, NR_109974.1","10, 9, 8","10,9,8","0,0,0","0,0,0",VALIDATED,BCMS; DLB1; LEU1; LEU2; XTP6; BCMS1; DLEU2; LINC00021; NCRNA00021,"2,2,2","2,2,2","0,0,0","0,0,0","1,1,0","1,1,0","0,0,0","0,0,0"
DLX6-AS1,Pancreatic Cancer,"qRT-PCR , Luciferase reporter assay , Western blot , in vitro knockdown etc.",up-regulated,31118816.0,Also Known As: Evf-2; DLX6AS; DLX6-AS; NCRNA00212,1,NR_015448.1,9,9,0,0,VALIDATED,Evf-2; DLX6AS; DLX6-AS; NCRNA00212,4,4,0,0,0,0,0,0
DLX6-AS1,Pancreatic Cancer,"qPCR, Western blot, Luciferase reporter assay, RNAi, other",up-regulated,30250401.0,Also Known As: Evf-2; DLX6AS; DLX6-AS; NCRNA00212,1,NR_015448.1,9,9,0,0,VALIDATED,Evf-2; DLX6AS; DLX6-AS; NCRNA00212,4,4,0,0,0,0,0,0
DNAH17-AS1,Pancreatic Cancer,"qPCR, Western blot, luciferase reporter assay etc.",up-regulated,32351291.0,-,1,NR_102401.1 ,55,50,4,1,VALIDATED,DNAH17 antisense RNA 1;NONHSAG022893.2;HSALNG0119037,24,22,2,0,7,4,3,0
DUXAP10,Pancreatic Cancer,"qPCR, in vitro knockdown etc.",up-regulated,29286182.0,"Homo sapiens double homeobox A pseudogene 10 (DUXAP10), non-coding RNA

transcribed RNA-misc_RNA (mentioned as lncRNA in title of paper; PubMed - 31576658)

Gene type - pseudo

Some LINC01297-DUXAP10-NBEAP6 readthrough (LINC01297-DUXAP10-NBEAP6), transcript variant 1, 2 and 3; ""lncRNA"" ncRNA (NR_164308.1, NR_164309.1 and NR_164310.1 respectively) with PQS-57, 29, 60 respectively were also there in result.

LINC01297-DUXAP10-NBEAP6 readthrough (This locus represents naturally occurring readthrough transcription between the neighboring LINC01297 (long intergenic non-protein coding RNA 1297), DUXAP10 (double homeobox A pseudogene 10) and NBEAP6 (neurobeachin pseudogene 6) genes on chromosome 14. The readthrough transcripts at this locus contain multiple, short ORFs and are unlikely to produce a protein product-provided by RefSeq, Sep 2019).",1,NR_110526.1,12,12,0,0,VALIDATED,double homeobox A pseudogene 10,1,1,0,0,0,0,0,0
DUXAP8,Pancreatic Cancer,"qPCR, RIP, Western blot, other",up-regulated,30367681.0,"Homo sapiens double homeobox A pseudogene 8 (DUXAP8), non-coding RNA

transcribed RNA-misc_RNA (mentioned as lncRNA in title of papers; PubMed - 30367681, 30317248 and others)

Gene type - pseudo",1,NR_122113.1,11,11,0,0,VALIDATED,double homeobox A pseudogene 8,1,1,0,0,0,0,0,0
EPIC1,Pancreatic Cancer,"qRT-PCR, Western blotting, RIP",up-regulated,31810603.0,also known as: LOC284930 (uncharacterized) in NCBI,1,NR_122046.1,12,12,0,0,VALIDATED,Lnc-EPIC1,4,4,0,0,0,0,0,0
F11-AS1,Pancreatic Ductal Adenocarcinoma,"Microarray, qPCR etc.",down-regulated,28220683.0,-,2,"NR_033901.2, NR_033900.1","8,4","8,4","0,0","0,0",VALIDATED,F11 antisense RNA 1;NONHSAG039542.2;HSALNG0039173;F11-AS1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
FEZF1-AS1,Pancreatic Ductal Adenocarcinoma,"Microarray, qRT-PCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP",up-regulated,29348628.0,,1,NR_036484.1,22,21,1,0,VALIDATED,FEZF1 antisense RNA 1;FEZF1 antisense RNA 1 (non-protein coding);HSALNG0060982;FEZF1-AS1;NONHSAG048666.2,7,7,0,0,1,1,0,0
GAS5,Pancreatic Cancer,"Luciferase reporter assays, Western blots, RT-PCR, other",up-regulated,30388621.0,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030,"0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
GAS5,Pancreatic Cancer,"qPCR, Western blot, RIP",down-regulated,29112934.0,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030,"0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
GAS5,Pancreatic Cancer,"qPCR, Western blot, RIP",down-regulated,29225772.0,"Also Known As: SNHG2; NCRNA00030

Some (older-not checked for PQS) GAS5 ""snoRNA"" ncRNA (TPA: HG975395.1) was also there in result.",15,"NR_002578.3, NR_152521.1, NR_152522.1, NR_152523.1, NR_152524.1, NR_152525.1, NR_152526.1, NR_152527.1, NR_152528.1, NR_152529.1, NR_152530.1, NR_152531.1, NR_152532.1, NR_152533.1, NR_152534.1","5, 6, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 5, 5, 5","5,6,5,5,5,5,5,3,4,3,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",REVIEWED,SNHG2; NCRNA00030,"0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
