LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,aka,"G4 Hunter, thres:0.9 TOTAL PQS","G4 Hunter, thres:0.9 2G PQS","G4 Hunter, thres:0.9 3G PQS","G4 Hunter, thres:0.9 4G PQS","G4 Hunter, thres:1.4 TOTAL PQS","G4 Hunter, thres:1.4 2G PQS","G4 Hunter, thres:1.4 3G PQS","G4 Hunter, thres:1.4 4G PQS"
BCYRN1,Cervical Cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown etc.",up-regulated,29552212.0,Also Known As: BCYRN1; BC200; BC200a; LINC00004; NCRNA00004,1,NR_001568.1,2,2,0,0,VALIDATED,BC200; BC200a; LINC00004; NCRNA00004,2,2,0,0,0,0,0,0
BLACAT1,Cervical Squamous Cell Carcinoma,RT-PCR,up-regulated,32046460.0,Also Known As: BLACAT1; LINC00912; linc-UBC1; onco-lncRNA-30,1,NR_103783.1,21,21,0,0,VALIDATED,BLACAT1 overlapping LEMD1 locus;linc-UBC1;LINC00912;onco-lncRNA-30;long intergenic noncoding RNA up-regulated in bladder cancer;long intergenic non-protein coding RNA 912;bladder cancer associated transcript 1 (non-protein coding);bladder cancer associated transcript 1;NONHSAG004054.2;HSALNG0009941;BLACAT1;Bladder cancer-associated transcript 1,7,7,0,0,3,3,0,0
BLACAT1,Cervical Cancer,"qPCR, Western blot",up-regulated,29863244.0,Also Known As: BLACAT1; LINC00912; linc-UBC1; onco-lncRNA-30,1,NR_103783.1,21,21,0,0,VALIDATED,BLACAT1 overlapping LEMD1 locus;linc-UBC1;LINC00912;onco-lncRNA-30;long intergenic noncoding RNA up-regulated in bladder cancer;long intergenic non-protein coding RNA 912;bladder cancer associated transcript 1 (non-protein coding);bladder cancer associated transcript 1;NONHSAG004054.2;HSALNG0009941;BLACAT1;Bladder cancer-associated transcript 1,7,7,0,0,3,3,0,0
BLACAT1,Cervical Cancer,"qPCR, Western blot, in vitro knockdown",up-regulated,29456724.0,Also Known As: BLACAT1; LINC00912; linc-UBC1; onco-lncRNA-30,1,NR_103783.1,21,21,0,0,VALIDATED,BLACAT1 overlapping LEMD1 locus;linc-UBC1;LINC00912;onco-lncRNA-30;long intergenic noncoding RNA up-regulated in bladder cancer;long intergenic non-protein coding RNA 912;bladder cancer associated transcript 1 (non-protein coding);bladder cancer associated transcript 1;NONHSAG004054.2;HSALNG0009941;BLACAT1;Bladder cancer-associated transcript 1,7,7,0,0,3,3,0,0
BLACAT1,Cervical Cancer,"qPCR, RNAi, Western blot etc.",up-regulated,29863244.0,Also Known As: BLACAT1; LINC00912; linc-UBC1; onco-lncRNA-30,1,NR_103783.1,21,21,0,0,VALIDATED,BLACAT1 overlapping LEMD1 locus;linc-UBC1;LINC00912;onco-lncRNA-30;long intergenic noncoding RNA up-regulated in bladder cancer;long intergenic non-protein coding RNA 912;bladder cancer associated transcript 1 (non-protein coding);bladder cancer associated transcript 1;NONHSAG004054.2;HSALNG0009941;BLACAT1;Bladder cancer-associated transcript 1,7,7,0,0,3,3,0,0
C5orf66-AS1,Cervical Cancer,"qPCR, Western blot, Luciferase reporter assay, RIP, etc.",up-regulated,30518760.0,Also known as: Epist,2,"NR_105049.1, NR_105050.1","9,9","8,8","1,1","0,0",VALIDATED,C5orf66-AS1,"2,2","1,1","1,1","0,0","3,2","3,2","0,0","0,0"
CALML3-AS1,Cervical Cancer,"qPCR, Western blot, Luciferase reporter assay",up-regulated,31298313.0,,2,"NR_120496.1, NR_120497.1","29,28","28,27","1,1","0,0",VALIDATED,CALML3 antisense RNA 1;CALML3-AS1;NONHSAG005097.2;NONHSAG005099.2;HSALNG0075870;HSALNG0075871;HSALNG0075868,"5,5","5,5","0,0","0,0","3,3","3,3","0,0","0,0"
CASC11,Cervical Cancer,"qPCR, Western blot, Luciferase reporter assay",up-regulated,31255182.0,Also Known As: MYMLR; CARLO7; CARLo-7; LINC00990; TCONS_00014535,2,"NR_117101.1, NR_117102.1","3,3","3,3","0,0","0,0",VALIDATED,MYMLR; CARLO7; CARLo-7; LINC00990; TCONS_00014535,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
CASC15,Cervical Cancer,"RT-qPCR, RIP",up-regulated,32016962.0,Also Known As: CACS15 [mentioned in title of paper (PubMed-31665008) refereed in NR_015410.2]; CASC15; CANT; LINC00340; lnc-SOX4-1,1,NR_015410.2,18,18,0,0,REVIEWED,CANT; LINC00340; lnc-SOX4-1,7,7,0,0,0,0,0,0
CASC15,Cervical Cancer,qPCR,up-regulated,30720157.0,Also Known As: CACS15 [mentioned in title of paper (PubMed-31665008) refereed in NR_015410.2]; CASC15; CANT; LINC00340; lnc-SOX4-1,1,NR_015410.2,18,18,0,0,REVIEWED,CANT; LINC00340; lnc-SOX4-1,7,7,0,0,0,0,0,0
CASC2,Cervical Cancer,"qRT-PCR , Western blot etc.",down-regulated,31081078.0,Also Known As: C10orf5,3,"NR_026939.1, NR_026940.1, NR_026941.1","17,17,9","15,15,7","2,2,2","0,0,0",VALIDATED,C10orf5,"9,9,8","8,8,7","1,1,1","0,0,0","4,4,1","4,4,1","0,0,0","0,0,0"
CASC2,Cervical Cancer,"qPCR, Western blot, Luciferase Reporter Assays",down-regulated,28495512.0,Also Known As: C10orf5,3,"NR_026939.1, NR_026940.1, NR_026941.1","17,17,9","15,15,7","2,2,2","0,0,0",VALIDATED,C10orf5,"9,9,8","8,8,7","1,1,1","0,0,0","4,4,1","4,4,1","0,0,0","0,0,0"
CASC9,Cervical Cancer,"RIP, Western blot , RT-qPCR etc.",down-regulated,31178137.0,Also Known As: ESSCAL1; ESCCAL-1; LINC00981; linc-JPH1,3,"NR_103848.1, NR_103850.2, NR_103849.2","5,4,4","5,4,4","0,0,0","0,0,0",VALIDATED,ESSCAL1; ESCCAL-1; LINC00981; linc-JPH1,"0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0"
CCAT1,Cervical Cancer,"qRT-PCR, Western blot",up-regulated,31935379.0,Also Known As: CARLO5; CARLo-5; onco-lncRNA-40,1,NR_108049.1,9,9,0,0,REVIEWED,CARLO5; CARLo-5; onco-lncRNA-40,1,1,0,0,0,0,0,0
CCAT1,Cervical Cancer,"qRT-PCR , in vitro knockdown etc.",up-regulated,31084453.0,Also Known As: CARLO5; CARLo-5; onco-lncRNA-40,1,NR_108049.1,9,9,0,0,REVIEWED,CARLO5; CARLo-5; onco-lncRNA-40,1,1,0,0,0,0,0,0
CCAT1,Cervical Cancer,qPCR etc.,up-regulated,28849215.0,Also Known As: CARLO5; CARLo-5; onco-lncRNA-40,1,NR_108049.1,9,9,0,0,REVIEWED,CARLO5; CARLo-5; onco-lncRNA-40,1,1,0,0,0,0,0,0
CCAT1,Cervical Cancer,"qPCR, Western blot etc.",up-regulated,28978096.0,Also Known As: CARLO5; CARLo-5; onco-lncRNA-40,1,NR_108049.1,9,9,0,0,REVIEWED,CARLO5; CARLo-5; onco-lncRNA-40,1,1,0,0,0,0,0,0
CCAT2,Cervical Cancer,"qPCR, RNAi, Flow cytometry assay, Cell proliferation assay etc.",down-regulated,26983975.0,Also Known As: NCCP1; LINC00873,1,NR_109834.1,6,6,0,0,REVIEWED,NCCP1; LINC00873,2,2,0,0,0,0,0,0
CCAT2,Cervical Squamous Cell Carcinoma,qPCR etc.,up-regulated,26722527.0,Also Known As: NCCP1; LINC00873,1,NR_109834.1,6,6,0,0,REVIEWED,NCCP1; LINC00873,2,2,0,0,0,0,0,0
CCEPR,Cervical Cancer,"qPCR, Western blot etc.",up-regulated,29427865.0,Also Known As: CCEPR; CCHE1; lncRNA-CCHE1,1,NR_131782.1,17,17,0,0,VALIDATED,CCHE1; lncRNA-CCHE1,7,7,0,0,0,0,0,0
CCHE1 (CCEPR),Cervical Cancer,qPCR,up-regulated,31364021.0,,CCEPR,,,,,,,cervical carcinoma expressed PCNA regulatory lncRNA;CCHE1;cervical carcinoma high-expressed lncRNA 1;lncRNA-CCHE1;cervical carcimona expressed PCNA regulatory lncRNA;HSALNG0141600;CCEPR;NONHSAG005965.2,,,,,,,,
CCHE1 (CCEPR),Cervical Cancer,qPCR etc.,up-regulated,28239824.0,,CCEPR,,,,,,,cervical carcinoma expressed PCNA regulatory lncRNA;CCHE1;cervical carcinoma high-expressed lncRNA 1;lncRNA-CCHE1;cervical carcimona expressed PCNA regulatory lncRNA;HSALNG0141600;CCEPR;NONHSAG005965.2,,,,,,,,
CCHE1 (CCEPR),Cervical Cancer,"qPCR, RNAi, Western blot, RNA pull-down assay etc.",up-regulated,25921283.0,,CCEPR,,,,,,,cervical carcinoma expressed PCNA regulatory lncRNA;CCHE1;cervical carcinoma high-expressed lncRNA 1;lncRNA-CCHE1;cervical carcimona expressed PCNA regulatory lncRNA;HSALNG0141600;CCEPR;NONHSAG005965.2,,,,,,,,
CDKN2B-AS1,Cervical Cancer,"qPCR, Luciferase reporter assay, Western blot",up-regulated,30884187.0,,ANRIL,,,,,,,CDKN2B antisense RNA 1;ANRIL;RP11-145E5.4;NCRNA00089;p15AS;CDKN2B-AS;PCAT12;antisense RNA in the INK4 locus;non-protein coding RNA 89;p15 antisense RNA;CDKN2B antisense RNA (non-protein coding);prostate cancer associated transcript 12;CDKN2BAS;CDKN2B antisense RNA 1 (non-protein coding);antisense noncoding RNA in the INK4 locus;CDKN2B-AS1;HSALNG0070397;NONHSAG051899.2,,,,,,,,
CRNDE,Cervical Cancer,"qRT-PCR , Luciferase reporter assay , Western blot etc.",up-regulated,31605132.0,Also Known As: CRNDEP; PNAS-108; lincIRX5; LINC00180; NCRNA00180,5,"NR_034105.4, NR_034106.3, NR_110453.2, NR_110454.2, NR_170995.1","5, 9, 5, 9, 9","5,7,5,7,7","0,2,0,2,2","0,0,0,0,0",VALIDATED,CRNDEP; PNAS-108; lincIRX5; LINC00180; NCRNA00180,"0,2,0,2,2","0,0,0,0,0","0,2,0,2,2","0,0,0,0,0","0,1,0,1,1","0,0,0,0,0","0,1,0,1,1","0,0,0,0,0"
CRNDE,Cervical Cancer,"qPCR, Western blot, other",up-regulated,30334449.0,Also Known As: CRNDEP; PNAS-108; lincIRX5; LINC00180; NCRNA00180,5,"NR_034105.4, NR_034106.3, NR_110453.2, NR_110454.2, NR_170995.1","5, 9, 5, 9, 9","5,7,5,7,7","0,2,0,2,2","0,0,0,0,0",VALIDATED,CRNDEP; PNAS-108; lincIRX5; LINC00180; NCRNA00180,"0,2,0,2,2","0,0,0,0,0","0,2,0,2,2","0,0,0,0,0","0,1,0,1,1","0,0,0,0,0","0,1,0,1,1","0,0,0,0,0"
CRNDE,Cervical Cancer,"qPCR, Western blot, in vitro knockdown, RIP",up-regulated,31202167.0,Also Known As: CRNDEP; PNAS-108; lincIRX5; LINC00180; NCRNA00180,5,"NR_034105.4, NR_034106.3, NR_110453.2, NR_110454.2, NR_170995.1","5, 9, 5, 9, 9","5,7,5,7,7","0,2,0,2,2","0,0,0,0,0",VALIDATED,CRNDEP; PNAS-108; lincIRX5; LINC00180; NCRNA00180,"0,2,0,2,2","0,0,0,0,0","0,2,0,2,2","0,0,0,0,0","0,1,0,1,1","0,0,0,0,0","0,1,0,1,1","0,0,0,0,0"
CRNDE,Cervical Cancer,"qPCR, Microarray",up-regulated,29194035.0,Also Known As: CRNDEP; PNAS-108; lincIRX5; LINC00180; NCRNA00180,5,"NR_034105.4, NR_034106.3, NR_110453.2, NR_110454.2, NR_170995.1","5, 9, 5, 9, 9","5,7,5,7,7","0,2,0,2,2","0,0,0,0,0",VALIDATED,CRNDEP; PNAS-108; lincIRX5; LINC00180; NCRNA00180,"0,2,0,2,2","0,0,0,0,0","0,2,0,2,2","0,0,0,0,0","0,1,0,1,1","0,0,0,0,0","0,1,0,1,1","0,0,0,0,0"
DANCR,Cervical Cancer,"qRT-PCR, Western blot",up-regulated,32123519.0,"Also Known As: AGU2; ANCR; DANCR; SNHG13; KIAA0114; lncRNA-ANCR.Some (older) transcribed RNA, ANCR, Variant 1, 2 and 3 ""lncRNA"" ncRNA (complete sequence-LC128577.1, LC128578.1 and LC128579.1 respectively) with PQS- 7, 7, 7 respectively, were also there in result.",3,"NR_024031.2, NR_145129.1, NR_145130.1","6,7,7","5,6,6","1,1,1","0,0,0",REVIEWED,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR,"4,3,3","3,2,2","1,1,1","0,0,0","1,0,0","1,0,0","0,0,0","0,0,0"
DANCR,Cervical Cancer,"qPCR, Western blot, Luciferase reporter assay, RNAi, other",up-regulated,30362591.0,"Also Known As: AGU2; ANCR; DANCR; SNHG13; KIAA0114; lncRNA-ANCR.Some (older) transcribed RNA, ANCR, Variant 1, 2 and 3 ""lncRNA"" ncRNA (complete sequence-LC128577.1, LC128578.1 and LC128579.1 respectively) with PQS- 7, 7, 7 respectively, were also there in result.",3,"NR_024031.2, NR_145129.1, NR_145130.1","6,7,7","5,6,6","1,1,1","0,0,0",REVIEWED,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR,"4,3,3","3,2,2","1,1,1","0,0,0","1,0,0","1,0,0","0,0,0","0,0,0"
DDN-AS1,Cervical Cancer,"qPCR, Western blot, Luciferase reporter assay, etc.",up-regulated,30582201.0,Also known as: CAT1507,2,"NR_147178.1, NR_147179.1","18, 16","15,13","2,2","1,1",VALIDATED,CAT1507,"11,11","8,8","3,3","0,0","5,5","4,4","1,1","0,0"
DGCR5,Cervical Cancer,"qPCR, Western blot, etc.",down-regulated,30552671.0,"Also Known As: DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037

2 sequences for DGCR5 (NR_026651.1, NR_024159.1) without any mentioning of transcript variants, while 3 sequences of DGCR5 with clear mentioning of transcipt variants.

PREDICTED REFSEQ (NR_026651.1): This record has not been reviewed and the function is unknown. The reference sequence was derived from BU584104.1, AC000095.5, L77559.1 and BM681417.1.

All transcriprt variants of DGCR5 (NR_002733.2, NR_045121.1, NR_110533.1, NR_026651.1 and NR_024159.1) are reported (Gene Cards - GCID: GC22P019556)

PQS 2 obtained in DGCR5_Variant 2 (NR_045121.1) when search parameter was set to Min G-Group Size: 2 was replaced by another PQS of same score (by shifting G-Group/Quartet frame) when search parameter was set to Min G-Group Size: 3. Rest two PQS were same in both search parameters.
For further consideration, PQS when search parameter was set to Min G-Group Size: 3 was taken.",3,"DGCR5 (NR_002733.2, NR_045121.1, NR_110533.1)
+
DGCR5 unknown variants (NR_026651.1, NR_024159.1)","32, 32, 11 (DGCR5)
+
7, 28 (DGCR5 unknown variants)","29,29,11,5,25","3,3,0,2,3","0,0,0,0,0","VALIDATED (DGCR5)

PREDICTED (DGCR5 unknown variant-NR_026651.1)

VALIDATED (DGCR5 unknown variant-NR_024159.1)",DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037,"17,17,5,2,17","16,16,5,1,16","1,1,0,1,1","0,0,0,0,0","6,6,0,2,3","6,6,0,0,3","0,0,0,2,0","0,0,0,0,0"
DLEU1,Cervical Cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP, etc.",up-regulated,30581456.0,"Also Known As: BCMS; DLB1; LEU1; LEU2; XTP6; BCMS1; DLEU2; LINC00021; NCRNA00021

Some (not checked for PQS) DLEU1-AS1 ""lncRNA"" ncRNA (NR_125753.1) was also there in result.",3,"NR_109973.1, NR_002605.2, NR_109974.1","10,9,8","10,9,8","0,0,0","0,0,0",VALIDATED,BCMS; DLB1; LEU1; LEU2; XTP6; BCMS1; DLEU2; LINC00021; NCRNA00021,"2,2,2","2,2,2","0,0,0","0,0,0","1,1,0","1,1,0","0,0,0","0,0,0"
DLG1-AS1,Cervical Cancer,"qPCR, other",up-regulated,30231238.0,,1,NR_038289.1,13,12,0,1,VALIDATED,DLG1 antisense RNA 1;DLG1 antisense RNA 1 (non-protein coding);NONHSAG037144.2;HSALNG0032000;DLG1-AS1,3,2,1,0,1,0,1,0
