LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,Total No. of PQS.1,G4Hunter Scores of PQS,Similarity between PQS from QGRS mapper vs PQS from G4 hunter,Total No. of PQS.2,G4Hunter Scores of PQS.1,Similarity between PQS from QGRS mapper vs PQS from G4 hunter.1,aka
CTBP1-AS,prostate cancer,"qPCR, Western blot, Northern blot, RIP etc.",up-regulated,23644382.0,Also Known As:  PCAT10,1,NR_104331.1,52,46,6,0,VALIDATED,"27 (11-2G, 16- C-rich)","[-0.872, -0.911, -0.936, -0.722, 0.848, -0.911, -0.911, 0.99, -0.942, -0.906, -0.75, -0.865, -0.933, 0.957, -0.891, -0.71, 0.823, 1, 0.828, 0.903, 0.911, -0.957, 0.911, 0.911, 0.83]",No similarity to any PQS (2G) from QGRS mapper,2 (3G),"[1.37, 1.282 (3G)]","PQS 1 has no similarity to PQS from QGRS mapper

PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 2 (3G) from G4 hunter

PQS 2 (3G) from G4 Hunter has a left frame-shift as compared to PQS 2 (3G) from QGRS mapper.",PCAT10
DANCR,prostate cancer,"qPCR, Western blot, Luciferase reporter assay, etc.",up-regulated,31486484.0,"Also Known As: AGU2; ANCR; DANCR; SNHG13; KIAA0114; lncRNA-ANCR

Some (older) transcribed RNA, ANCR, Variant 1, 2 and 3 ""lncRNA"" ncRNA (complete sequence-LC128577.1, LC128578.1 and LC128579.1 respectively) with PQS- 7, 7, 7 respectively, were also there in result. ",3,"NR_024031.2, NR_145129.1, NR_145130.1","6, 7, 7","5, 6, 6 ","1, 1, 1","0, 0, 0",REVIEWED,"3 (3-C-rich)
1 (C-rich)
1 (C-rich)","[-0.62, -0.921, -0.787 (C-rich)];

[-0.62(C-rich)] ;

[-0.62(C-rich)]",No similarity to any PQS (2G) from QGRS mapper,"1(C-rich);
1(C-rich);
1(C-rich);

","[-1.444 (C-rich)] ;

[-1.444 (C-rich)] ;

[-1.444 (C-rich)]",No similarity to any PQS  from QGRS mapper,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,prostate cancer,"qPCR, RNAi, Western blot, ChIP etc.",up-regulated,27191265.0,"Also Known As: AGU2; ANCR; DANCR; SNHG13; KIAA0114; lncRNA-ANCR

Some (older) transcribed RNA, ANCR, Variant 1, 2 and 3 ""lncRNA"" ncRNA (complete sequence-LC128577.1, LC128578.1 and LC128579.1 respectively) with PQS- 7, 7, 7 respectively, were also there in result. ",3,"NR_024031.2, NR_145129.1, NR_145130.1","6, 7, 7","5, 6, 6 ","1, 1, 1","0, 0, 0",REVIEWED,"3 (3-C-rich)
1 (C-rich)
1 (C-rich)","[-0.62, -0.921, -0.787 (C-rich)];

[-0.62(C-rich)] ;

[-0.62(C-rich)]",No similarity to any PQS (2G) from QGRS mapper,"1(C-rich);
1(C-rich);
1(C-rich);

","[-1.444 (C-rich)] ;

[-1.444 (C-rich)] ;

[-1.444 (C-rich)]",No similarity to any PQS  from QGRS mapper,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DANCR,prostate cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",up-regulated,23728290.0,"Also Known As: AGU2; ANCR; DANCR; SNHG13; KIAA0114; lncRNA-ANCR

Some (older) transcribed RNA, ANCR, Variant 1, 2 and 3 ""lncRNA"" ncRNA (complete sequence-LC128577.1, LC128578.1 and LC128579.1 respectively) with PQS- 7, 7, 7 respectively, were also there in result. ",3,"NR_024031.2, NR_145129.1, NR_145130.1","6, 7, 7","5, 6, 6 ","1, 1, 1","0, 0, 0",REVIEWED,"3 (3-C-rich)
1 (C-rich)
1 (C-rich)","[-0.62, -0.921, -0.787 (C-rich)];

[-0.62(C-rich)] ;

[-0.62(C-rich)]",No similarity to any PQS (2G) from QGRS mapper,"1(C-rich);
1(C-rich);
1(C-rich);

","[-1.444 (C-rich)] ;

[-1.444 (C-rich)] ;

[-1.444 (C-rich)]",No similarity to any PQS  from QGRS mapper,AGU2; ANCR; SNHG13; KIAA0114; lncRNA-ANCR
DGCR5,prostate cancer,"RT-qPCR, Western-Blotting",down-regulated,31920375.0,"Also Known As: DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037

2 sequences for DGCR5 (NR_026651.1, NR_024159.1) without any mentioning of transcript variants, while 3 sequences of DGCR5 with clear mentioning of transcipt variants.

PREDICTED REFSEQ (NR_026651.1): This record has not been reviewed and the function is unknown. The reference sequence was derived from BU584104.1, AC000095.5, L77559.1 and BM681417.1.

All transcriprt variants of DGCR5 (NR_002733.2, NR_045121.1, NR_110533.1, NR_026651.1 and NR_024159.1) are reported (Gene Cards - GCID: GC22P019556)

PQS 2 obtained in DGCR5_Variant 2 (NR_045121.1) when search parameter was set to Min G-Group Size: 2 was replaced by another PQS of same score (by shifting G-Group/Quartet frame) when search parameter was set to Min G-Group Size: 3. Rest two PQS were same in both search parameters.
For further consideration, PQS when search parameter was set to Min G-Group Size: 3 was taken.","3 (DGCR5)
+
2 (DGCR5 unknown variants)
=5","DGCR5 (NR_002733.2, NR_045121.1, NR_110533.1)
+
DGCR5 unknown variants (NR_026651.1, NR_024159.1)","32, 32, 11 (DGCR5)
+
7, 28 (DGCR5 unknown variants)","29, 29, 11 (DGCR5)
+
5, 25 (DGCR5 unknown variants)","3, 3, 0 (DGCR5)
+
2, 3 (DGCR5 unknown variants)

PQS 2 of 2nd variant (NR_045121.1) is same to the PQS 2 of 1st variant (NR_002733.2) when search parameter was set to Min G-Group Size: 3 but it is different (but same G-score) from PQS 2 of 1st variant when search parameter was set to Min G-Group Size: 2 (due to shifting of G-Group/Quartet frame).
All PQS of both DGCR5 unknown variants are different from each others and other variants as well.","0, 0, 0 (DGCR5)
+
0, 0 (DGCR5 unknown variants)","VALIDATED (DGCR5)

PREDICTED (DGCR5 unknown variant-NR_026651.1)

VALIDATED (DGCR5 unknown variant-NR_024159.1)","12 (4-C-rich, 8-2G);
12 (4-C-rich, 8-2G)
5 (4-C-rich, 1-2G)
","[-0.894, -0.854, -0.902, -0.933 (C-rich); 0.911, 0.903, 0.86, 0.808, 0.87, 0.915, 0.973 (2G)];

[-0.894, -0.854, -0.902, -0.933 (C-rich); 0.911, 0.903, 0.86, 0.808, 0.87, 0.915, 0.973 (2G)];

[0.911 (2G), -0.894, -0.854, -0.902, -0.933 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,"0,0,0","0,0,0",No PQS found in G4 Hunter,DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037
DRAIC,prostate cancer,"qPCR, RIP",down-regulated,31900260.0,,1,NR_026979.1,10,10,0,0,VALIDATED,3 (C-rich),"[-0.796, -0.873, -0.907 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter,"downregulated RNA in cancer, inhibitor of cell invasion and migration;downregulated RNA in androgen independent cells;lnc-RPLP1-12;HSALNG0106873;HSALNG0106861;HSALNG0106864;HSALNG0106856;NONHSAG017288.2;NONHSAG017290.2;HSALNG0106871;NONHSAG017294.2;HSALNG0106875;HSALNG0106878;HSALNG0106865"
DRAIC,prostate cancer,"qPCR, Western blot etc.",down-regulated,25700553.0,,1,NR_026979.1,10,10,0,0,VALIDATED,3 (C-rich),"[-0.796, -0.873, -0.907 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter,"downregulated RNA in cancer, inhibitor of cell invasion and migration;downregulated RNA in androgen independent cells;lnc-RPLP1-12;HSALNG0106873;HSALNG0106861;HSALNG0106864;HSALNG0106856;NONHSAG017288.2;NONHSAG017290.2;HSALNG0106871;NONHSAG017294.2;HSALNG0106875;HSALNG0106878;HSALNG0106865"
DUXAP10,prostate cancer,"qRT-PCR , Western blot , in vitro knockdown etc.",down-regulated,31114994.0,"Homo sapiens double homeobox A pseudogene 10 (DUXAP10), non-coding RNA

transcribed RNA-misc_RNA (mentioned as lncRNA in title of paper; PubMed - 31576658)

Gene type - pseudo

Some LINC01297-DUXAP10-NBEAP6 readthrough (LINC01297-DUXAP10-NBEAP6), transcript variant 1, 2 and 3; ""lncRNA"" ncRNA (NR_164308.1, NR_164309.1 and NR_164310.1 respectively) with PQS-57, 29, 60 respectively were also there in result.

LINC01297-DUXAP10-NBEAP6 readthrough (This locus represents naturally occurring readthrough transcription between the neighboring LINC01297 (long intergenic non-protein coding RNA 1297), DUXAP10 (double homeobox A pseudogene 10) and NBEAP6 (neurobeachin pseudogene 6) genes on chromosome 14. The readthrough transcripts at this locus contain multiple, short ORFs and are unlikely to produce a protein product-provided by RefSeq, Sep 2019).",1,NR_110526.1,12,12,0,0,VALIDATED,0,0,No PQS found in G4 Hunter,0,0,No PQS found in G4 hunter,double homeobox A pseudogene 10
EGOT,prostate cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",down-regulated,23728290.0,"Also Known As: EGO, NCRNA00190",1,NR_004428.1,10,9,1,0,VALIDATED,"6 (4 - 2G, 2 - C-rich)
","[-0.911, -0.941 (C-rich), 0.891, 0.816, 0.894, 0.907 (2G)]
",,0,0,No PQS found in G4 Hunter,EGO; NCRNA00190
"FAL1 
FALEC",prostate cancer,"qPCR, RNA pull-down assay etc.",up-regulated,25203321.0,Also Known As: FALEC; FAL1; ncRNA-a1; LINC00568,1 (FALEC),FALEC (NR_051960.1),8 (FALEC),8 (FALEC),0 (FALEC),0 (FALEC),VALIDATED (FALEC),"3 (2-2G, 1-C-rich)","[0.88, 0.851 (2G), -0.921 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter,FAL1; ncRNA-a1; LINC00568
FALEC,prostate cancer,"qPCR, Western blot, Luciferase reporter assay etc.",up-regulated,28585762.0,"Also Known As: FAL1, ncRNA-a1; LINC00568",1,NR_051960.1,8,8,0,0,VALIDATED,"3 (2-2G, 1-C-rich)","[0.88, 0.851 (2G), -0.921 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter,FAL1; ncRNA-a1; LINC00568
