,NCBI Reference Number,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS
159,NR_152534.1,5,0,0
160,NR_002578.3,5,0,0
161,NR_152521.1,6,0,0
162,NR_152522.1,5,0,0
163,NR_152523.1,5,0,0
164,NR_152524.1,5,0,0
165,NR_152525.1,5,0,0
166,NR_152526.1,5,0,0
167,NR_152527.1,3,0,0
168,NR_152528.1,4,0,0
169,NR_152529.1,3,0,0
170,NR_152530.1,5,0,0
171,NR_152531.1,5,0,0
172,NR_152532.1,5,0,0
173,NR_152533.1,5,0,0
174,NR_152534.1,5,0,0
175,NR_002578.3,5,0,0
176,NR_152521.1,6,0,0
177,NR_152522.1,5,0,0
178,NR_152523.1,5,0,0
179,NR_152524.1,5,0,0
180,NR_152525.1,5,0,0
181,NR_152526.1,5,0,0
182,NR_152527.1,3,0,0
183,NR_152528.1,4,0,0
184,NR_152529.1,3,0,0
185,NR_152530.1,5,0,0
186,NR_152531.1,5,0,0
187,NR_152532.1,5,0,0
188,NR_152533.1,5,0,0
189,NR_152534.1,5,0,0
190,NR_002578.3,5,0,0
191,NR_152521.1,6,0,0
192,NR_152522.1,5,0,0
193,NR_152523.1,5,0,0
194,NR_152524.1,5,0,0
195,NR_152525.1,5,0,0
196,NR_152526.1,5,0,0
197,NR_152527.1,3,0,0
198,NR_152528.1,4,0,0
199,NR_152529.1,3,0,0
200,NR_152530.1,5,0,0
201,NR_152531.1,5,0,0
202,NR_152532.1,5,0,0
203,NR_152533.1,5,0,0
204,NR_152534.1,5,0,0
205,NR_002578.3,5,0,0
206,NR_152521.1,6,0,0
207,NR_152522.1,5,0,0
208,NR_152523.1,5,0,0
209,NR_152524.1,5,0,0
210,NR_152525.1,5,0,0
211,NR_152526.1,5,0,0
212,NR_152527.1,3,0,0
213,NR_152528.1,4,0,0
214,NR_152529.1,3,0,0
215,NR_152530.1,5,0,0
216,NR_152531.1,5,0,0
217,NR_152532.1,5,0,0
218,NR_152533.1,5,0,0
219,NR_152534.1,5,0,0
220,NR_002578.3,5,0,0
221,NR_152521.1,6,0,0
222,NR_152522.1,5,0,0
223,NR_152523.1,5,0,0
224,NR_152524.1,5,0,0
225,NR_152525.1,5,0,0
226,NR_152526.1,5,0,0
227,NR_152527.1,3,0,0
228,NR_152528.1,4,0,0
229,NR_152529.1,3,0,0
230,NR_152530.1,5,0,0
231,NR_152531.1,5,0,0
232,NR_152532.1,5,0,0
233,NR_152533.1,5,0,0
234,NR_152534.1,5,0,0
235,NR_130107.1,9,1,0
236,NR_038269.1,4,0,0
237,NR_024009.1,14,3,0
238,NR_002196.2,27,9,2
239,NR_131223.1,26,9,2
240,NR_131224.1,11,1,0
241,NR_002196.2,27,9,2
242,NR_131223.1,26,9,2
243,NR_131224.1,11,1,0
244,NR_002196.2,27,9,2
245,NR_131223.1,26,9,2
246,NR_131224.1,11,1,0
247,NR_002196.2,27,9,2
248,NR_131223.1,26,9,2
249,NR_131224.1,11,1,0
250,NR_002196.2,27,9,2
251,NR_131223.1,26,9,2
252,NR_131224.1,11,1,0
253,NR_002196.2,27,9,2
254,NR_131223.1,26,9,2
255,NR_131224.1,11,1,0
256,NR_002196.2,27,9,2
257,NR_131223.1,26,9,2
258,NR_131224.1,11,1,0
259,NR_002196.2,27,9,2
260,NR_131223.1,26,9,2
261,NR_131224.1,11,1,0
262,NR_002196.2,27,9,2
263,NR_131223.1,26,9,2
264,NR_131224.1,11,1,0
265,NR_002196.2,27,9,2
266,NR_131223.1,26,9,2
267,NR_131224.1,11,1,0
268,NR_110457.1,6,0,0
269,NR_003679.2,1,0,0
270,NR_136192.1,17,2,0
271,NR_136193.1,20,2,0
272,NR_136194.1,19,2,0
273,NR_136195.1,10,1,0
274,NR_136196.1,4,1,0
275,NR_136197.1,18,1,0
276,NR_136198.1,16,2,0
277,NR_136199.1,18,2,0
278,NR_136200.1,20,2,0
279,NR_136201.1,22,2,0
280,NR_002835.2,14,1,0
281,NR_109892.1,5,0,0
282,NR_134505.1,9,0,0
283,NR_134505.1,9,0,0
284,NR_047517.1,17,1,0
285,NR_003716.3,16,1,0
286,NR_047518.1,15,1,0
287,NR_047517.1,17,1,0
288,NR_003716.3,16,1,0
289,NR_047518.1,15,1,0
290,NR_047517.1,17,1,0
291,NR_003716.3,16,1,0
292,NR_047518.1,15,1,0
293,NR_047517.1,17,1,0
294,NR_003716.3,16,1,0
295,NR_047518.1,15,1,0
296,NR_047517.1,17,1,0
297,NR_003716.3,16,1,0
298,NR_047518.1,15,1,0
299,NR_047517.1,17,1,0
300,NR_003716.3,16,1,0
301,NR_047518.1,15,1,0
302,NR_047517.1,17,1,0
303,NR_003716.3,16,1,0
304,NR_047518.1,15,1,0
305,NR_047517.1,17,1,0
306,NR_003716.3,16,1,0
307,NR_047518.1,15,1,0
308,NR_047517.1,17,1,0
309,NR_003716.3,16,1,0
310,NR_047518.1,15,1,0
311,NR_047517.1,17,1,0
312,NR_003716.3,16,1,0
313,NR_047518.1,15,1,0
314,NR_047517.1,17,1,0
315,NR_003716.3,16,1,0
316,NR_047518.1,15,1,0
317,NR_047517.1,17,1,0
318,NR_003716.3,16,1,0
319,NR_047518.1,15,1,0
320,NR_047517.1,17,1,0
321,NR_003716.3,16,1,0
322,NR_047518.1,15,1,0
323,NR_047517.1,17,1,0
324,NR_003716.3,16,1,0
325,NR_047518.1,15,1,0
326,NR_047517.1,17,1,0
327,NR_003716.3,16,1,0
328,NR_047518.1,15,1,0
329,NR_047517.1,17,1,0
330,NR_003716.3,16,1,0
331,NR_047518.1,15,1,0
332,NR_038366.1,6,1,0
333,NR_038367.1,4,1,0
334,NR_037843.3,37,3,0
335,NR_037843.3,37,3,0
336,NR_002795.2,16,2,0
337,NR_110458.1,25,2,0
338,NR_110459.1,23,2,0
339,NR_110460.1,23,2,0
340,NR_110461.1,22,1,0
341,NR_110462.1,25,2,0
342,NR_110463.1,24,1,0
343,NR_110464.1,24,1,0
344,NR_110465.1,21,2,0
345,NR_110466.1,21,2,0
346,NR_033979.2,20,2,0
347,NR_110467.1,23,1,0
348,NR_110468.1,23,1,0
349,NR_110458.1,25,2,0
350,NR_110459.1,23,2,0
351,NR_110460.1,23,2,0
352,NR_110461.1,22,1,0
353,NR_110462.1,25,2,0
354,NR_110463.1,24,1,0
355,NR_110464.1,24,1,0
356,NR_110465.1,21,2,0
357,NR_110466.1,21,2,0
358,NR_033979.2,20,2,0
359,NR_110467.1,23,1,0
360,NR_110468.1,23,1,0
361,NR_110458.1,25,2,0
362,NR_110459.1,23,2,0
363,NR_110460.1,23,2,0
364,NR_110461.1,22,1,0
365,NR_110462.1,25,2,0
366,NR_110463.1,24,1,0
367,NR_110464.1,24,1,0
368,NR_110465.1,21,2,0
369,NR_110466.1,21,2,0
370,NR_033979.2,20,2,0
371,NR_110467.1,23,1,0
372,NR_110468.1,23,1,0
373,NR_004855.2,1,0,0
374,NR_004855.2,1,0,0
375,NR_024582.1,15,0,0
376,NR_120655.1,5,0,0
377,NR_002728.3,538,41,2
378,NR_002728.3,538,41,2
379,NR_029373.1,17,2,0
380,NR_029374.1,9,0,0
381,NR_002809.3,7,1,0
382,NR_152735.1,12,2,0
383,NR_152736.1,8,0,0
384,NR_152737.1,8,0,0
385,NR_152738.1,12,2,0
386,NR_152739.1,9,0,0
387,NR_152740.1,13,2,0
388,NR_048536.2,15,0,0
389,NR_152602.1,13,0,0
390,NR_048536.2,15,0,0
391,NR_152602.1,13,0,0
392,NR_048536.2,15,0,0
393,NR_152602.1,13,0,0
394,NR_024129.2,17,2,0
395,NR_024204.2,4,0,0
396,NR_024205.3,6,0,0
397,NR_024206.2,4,0,0
398,NR_146460.1,4,0,0
399,NR_146461.1,3,0,0
400,NR_024204.2,4,0,0
401,NR_024205.3,6,0,0
402,NR_024206.2,4,0,0
403,NR_146460.1,4,0,0
404,NR_146461.1,3,0,0
405,NR_026552.2,6,0,0
406,NR_026553.2,3,0,0
407,NR_024065.3,9,1,0
408,NR_024065.3,9,1,0
409,NR_152722.1,30,0,0
410,NR_023918.2,5,0,0
411,NR_023919.2,5,0,0
412,NR_109762.1,7,0,0
413,NR_109761.1,7,0,0
414,NR_109760.1,5,0,0
415,NR_109759.1,5,0,0
416,NR_034119.2,4,0,0
417,NR_163477.1,4,0,0
418,NR_121612.1,41,2,0
419,NR_026807.2,41,2,0
420,NR_121613.1,40,2,0
421,NR_121614.1,41,2,0
422,NR_126435.1,16,0,1
423,NR_033876.1,16,2,0
424,NR_033876.1,16,2,0
425,NR_024092.2,2,0,0
426,NR_047495.1,25,1,0
427,NR_038955.1,20,1,0
428,NR_038342.1,2,0,0
429,NR_038342.1,2,0,0
430,NR_034099.1,10,1,0
431,NR_038386.2,8,0,0
432,NR_103791.1,9,1,0
433,NR_109987.1,5,0,0
434,NR_015407.1,8,0,0
435,NR_015407.1,8,0,0
436,NR_015407.1,8,0,0
437,NR_138480.1,5,2,0
438,NR_038925.1,33,4,0
439,NR_160525.1,16,1,0
440,NR_160525.1,16,1,0
441,NR_040066.1,12,3,0
442,NR_040067.1,10,3,0
443,NR_040068.1,11,0,0
444,NR_040069.1,9,0,0
445,NR_040070.1,10,1,0
446,NR_145480.1,22,2,0
447,NR_145480.1,22,2,0
448,NR_103548.1,3,0,0
449,NR_103549.1,2,0,0
450,NR_103548.1,3,0,0
451,NR_103549.1,2,0,0
452,NR_103548.1,3,0,0
453,NR_103549.1,2,0,0
454,NR_145422.1,8,0,0
455,NR_038343.2,21,1,0
456,NR_038344.1,8,1,0
457,NR_038345.1,2,0,0
458,NR_038346.1,3,0,0
459,NR_002819.4,46,7,0
460,NR_144567.1,47,7,0
461,NR_144568.1,47,6,0
462,NR_002819.4,46,7,0
463,NR_144567.1,47,7,0
464,NR_144568.1,47,6,0
465,NR_002819.4,46,7,0
466,NR_144567.1,47,7,0
467,NR_144568.1,47,6,0
468,NR_002819.4,46,7,0
469,NR_144567.1,47,7,0
470,NR_144568.1,47,6,0
471,NR_002819.4,46,7,0
472,NR_144567.1,47,7,0
473,NR_144568.1,47,6,0
474,NR_002819.4,46,7,0
475,NR_144567.1,47,7,0
476,NR_144568.1,47,6,0
477,NR_002819.4,46,7,0
478,NR_144567.1,47,7,0
479,NR_144568.1,47,6,0
480,NR_002819.4,46,7,0
481,NR_144567.1,47,7,0
482,NR_144568.1,47,6,0
483,NR_002819.4,46,7,0
484,NR_144567.1,47,7,0
485,NR_144568.1,47,6,0
486,NR_002819.4,46,7,0
487,NR_144567.1,47,7,0
488,NR_144568.1,47,6,0
489,NR_002819.4,46,7,0
490,NR_144567.1,47,7,0
491,NR_144568.1,47,6,0
492,NR_002819.4,46,7,0
493,NR_144567.1,47,7,0
494,NR_144568.1,47,6,0
495,NR_002819.4,46,7,0
496,NR_144567.1,47,7,0
497,NR_144568.1,47,6,0
498,NR_002819.4,46,7,0
499,NR_144567.1,47,7,0
500,NR_144568.1,47,6,0
501,NR_002819.4,46,7,0
502,NR_144567.1,47,7,0
503,NR_144568.1,47,6,0
504,NR_002819.4,46,7,0
505,NR_144567.1,47,7,0
506,NR_144568.1,47,6,0
507,NR_002819.4,46,7,0
508,NR_144567.1,47,7,0
509,NR_144568.1,47,6,0
510,NR_002819.4,46,7,0
511,NR_144567.1,47,7,0
512,NR_144568.1,47,6,0
513,NR_002819.4,46,7,0
514,NR_144567.1,47,7,0
515,NR_144568.1,47,6,0
516,NR_002766.2,14,2,0
517,NR_003530.2,17,2,0
518,NR_003531.3,16,2,0
519,NR_033358.1,15,2,0
520,NR_033359.1,15,2,0
521,NR_033360.1,15,2,0
522,NR_046464.1,15,2,0
523,NR_046465.2,15,2,0
524,NR_046466.1,15,2,0
525,NR_046467.1,16,2,0
526,NR_046469.1,15,2,0
527,NR_046470.2,17,2,0
528,NR_046471.1,15,2,0
529,NR_046472.1,16,2,0
530,NR_046473.1,81,12,0
531,NR_002766.2,14,2,0
532,NR_003530.2,17,2,0
533,NR_003531.3,16,2,0
534,NR_033358.1,15,2,0
535,NR_033359.1,15,2,0
536,NR_033360.1,15,2,0
537,NR_046464.1,15,2,0
538,NR_046465.2,15,2,0
539,NR_046466.1,15,2,0
540,NR_046467.1,16,2,0
541,NR_046469.1,15,2,0
542,NR_046470.2,17,2,0
543,NR_046471.1,15,2,0
544,NR_046472.1,16,2,0
545,NR_046473.1,81,12,0
546,NR_002766.2,14,2,0
547,NR_003530.2,17,2,0
548,NR_003531.3,16,2,0
549,NR_033358.1,15,2,0
550,NR_033359.1,15,2,0
551,NR_033360.1,15,2,0
552,NR_046464.1,15,2,0
553,NR_046465.2,15,2,0
554,NR_046466.1,15,2,0
555,NR_046467.1,16,2,0
556,NR_046469.1,15,2,0
557,NR_046470.2,17,2,0
558,NR_046471.1,15,2,0
559,NR_046472.1,16,2,0
560,NR_046473.1,81,12,0
561,NR_002766.2,14,2,0
562,NR_003530.2,17,2,0
563,NR_003531.3,16,2,0
564,NR_033358.1,15,2,0
565,NR_033359.1,15,2,0
566,NR_033360.1,15,2,0
567,NR_046464.1,15,2,0
568,NR_046465.2,15,2,0
569,NR_046466.1,15,2,0
570,NR_046467.1,16,2,0
571,NR_046469.1,15,2,0
572,NR_046470.2,17,2,0
573,NR_046471.1,15,2,0
574,NR_046472.1,16,2,0
575,NR_046473.1,81,12,0
576,NR_002766.2,14,2,0
577,NR_003530.2,17,2,0
578,NR_003531.3,16,2,0
579,NR_033358.1,15,2,0
580,NR_033359.1,15,2,0
581,NR_033360.1,15,2,0
582,NR_046464.1,15,2,0
583,NR_046465.2,15,2,0
584,NR_046466.1,15,2,0
585,NR_046467.1,16,2,0
586,NR_046469.1,15,2,0
587,NR_046470.2,17,2,0
588,NR_046471.1,15,2,0
589,NR_046472.1,16,2,0
590,NR_046473.1,81,12,0
591,NR_002766.2,14,2,0
592,NR_003530.2,17,2,0
593,NR_003531.3,16,2,0
594,NR_033358.1,15,2,0
595,NR_033359.1,15,2,0
596,NR_033360.1,15,2,0
597,NR_046464.1,15,2,0
598,NR_046465.2,15,2,0
599,NR_046466.1,15,2,0
600,NR_046467.1,16,2,0
601,NR_046469.1,15,2,0
602,NR_046470.2,17,2,0
603,NR_046471.1,15,2,0
604,NR_046472.1,16,2,0
605,NR_046473.1,81,12,0
606,NR_003491.3,94,18,0
607,NR_033319.2,100,18,0
608,NR_033320.2,100,18,0
609,NR_033321.2,101,18,0
610,NR_003491.3,94,18,0
611,NR_033319.2,100,18,0
612,NR_033320.2,100,18,0
613,NR_033321.2,101,18,0
614,NR_038911.1,21,2,0
615,NR_024607.1,6,0,0
616,NR_033882.1,10,0,0
617,NR_038835.1,10,2,0
618,NR_038835.1,10,2,0
619,NR_038835.1,10,2,0
620,NR_034143.1,7,1,0
621,NR_110175.1,9,0,0
622,NR_110176.1,8,0,0
623,NR_110177.1,7,0,0
624,NR_131012.1,134,16,0
625,NR_028272.1,33,8,0
626,NR_131012.1,134,16,0
627,NR_028272.1,33,8,0
628,NR_131012.1,134,16,0
629,NR_028272.1,33,8,0
630,NR_131012.1,134,16,0
631,NR_028272.1,33,8,0
632,NR_131012.1,134,16,0
633,NR_028272.1,33,8,0
634,NR_131012.1,134,16,0
635,NR_028272.1,33,8,0
636,NR_073113.1,15,0,0
637,NR_073113.1,15,0,0
638,NR_027451.1,25,5,0
639,NR_027451.1,25,5,0
640,NR_027451.1,25,5,0
641,NR_023915.1,9,1,0
642,NR_038435.1,9,1,0
643,NR_038464.1,12,0,0
644,NR_026757.2,30,0,0
645,NR_152820.1,26,0,0
646,NR_152821.1,6,0,0
647,NR_152822.1,31,0,0
648,NR_024128.1,6,1,0
649,NR_125716.1,6,0,0
650,NR_109836.1,6,0,0
651,NR_045262.2,14,0,0
652,NR_045262.2,14,0,0
653,NR_045262.2,14,0,0
654,NR_046325.1,3,1,0
655,NR_046326.1,2,1,0
656,NR_002769.1,7,0,0
657,NR_152587.1,8,0,0
658,NR_002769.1,7,0,0
659,NR_152587.1,8,0,0
660,NR_027755.1,11,0,0
661,NR_027755.1,11,0,0
662,NR_003367.3,13,1,0
663,NR_003367.3,13,1,0
664,NR_003367.3,13,1,0
665,NR_003367.3,13,1,0
666,NR_003367.3,13,1,0
667,NR_003367.3,13,1,0
668,NR_003367.3,13,1,0
669,NR_003367.3,13,1,0
670,NR_040058.1,14,0,0
671,NR_026785.1,16,0,0
672,NR_003098.2,5,0,0
673,NR_152575.1,9,0,0
674,NR_152576.1,9,0,0
675,NR_152577.1,4,0,0
676,NR_152578.1,4,0,0
677,NR_152579.1,4,0,0
678,NR_152580.1,4,0,0
679,NR_152581.1,4,0,0
680,NR_152582.1,5,0,0
681,NR_152583.1,3,0,0
682,NR_152584.1,7,0,0
683,NR_152585.1,7,0,0
684,NR_024127.2,8,0,0
685,NR_146381.1,13,0,0
686,NR_146382.1,9,0,0
687,NR_146383.1,8,0,0
688,NR_146384.1,13,0,0
689,NR_146385.1,8,0,0
690,NR_146386.1,8,0,0
691,NR_146387.1,11,0,0
692,NR_146177.1,175,1,0
693,NR_146177.1,175,1,0
694,NR_038108.1,9,0,0
695,NR_038109.1,9,0,0
696,NR_038110.1,8,0,0
697,NR_038111.1,8,0,0
698,NR_027058.1,17,1,0
699,NR_027058.1,17,1,0
700,NR_117096.1,15,1,0
701,NR_036473.1,18,0,0
702,NR_002909.2,16,0,0
703,NR_036473.1,18,0,0
704,NR_002909.2,16,0,0
705,NR_003038.2,2,0,0
706,NR_075091.1,18,0,0
707,NR_075092.1,16,0,0
708,NR_075093.1,13,0,0
709,NR_004053.3,16,0,0
710,NR_075089.1,15,0,0
711,NR_075090.1,11,0,0
712,NR_131221.1,5,0,0
713,NR_131221.1,5,0,0
714,NR_160958.1,8,0,0
715,NR_160959.1,6,0,0
716,NR_160960.1,6,0,0
717,NR_027064.3,30,10,0
718,NR_030727.1,13,0,0
719,NR_033711.1,61,6,0
720,NR_033710.1,52,6,0
721,NR_033709.1,41,5,0
722,NR_033708.1,33,5,0
723,NR_033712.1,26,4,0
724,NR_033711.1,61,6,0
725,NR_033710.1,52,6,0
726,NR_033709.1,41,5,0
727,NR_033708.1,33,5,0
728,NR_033712.1,26,4,0
729,NR_033711.1,61,6,0
730,NR_033710.1,52,6,0
731,NR_033709.1,41,5,0
732,NR_033708.1,33,5,0
733,NR_033712.1,26,4,0
734,NR_024458.1,12,0,0
735,NR_038272.1,32,0,0
736,NR_038271.1,13,0,0
737,NR_038272.1,32,0,0
738,NR_038271.1,13,0,0
739,NR_110492.1,31,4,0
740,NR_110493.1,30,4,0
741,NR_002323.2,30,4,0
742,NR_152867.1,12,0,0
743,NR_152868.1,12,0,0
744,NR_152869.1,30,4,0
745,NR_152870.1,30,4,0
746,NR_152871.1,31,4,0
747,NR_110492.1,31,4,0
748,NR_110493.1,30,4,0
749,NR_002323.2,30,4,0
750,NR_152867.1,12,0,0
751,NR_152868.1,12,0,0
752,NR_152869.1,30,4,0
753,NR_152870.1,30,4,0
754,NR_152871.1,31,4,0
755,NR_110492.1,31,4,0
756,NR_110493.1,30,4,0
757,NR_002323.2,30,4,0
758,NR_152867.1,12,0,0
759,NR_152868.1,12,0,0
760,NR_152869.1,30,4,0
761,NR_152870.1,30,4,0
762,NR_152871.1,31,4,0
763,NR_110492.1,31,4,0
764,NR_110493.1,30,4,0
765,NR_002323.2,30,4,0
766,NR_152867.1,12,0,0
767,NR_152868.1,12,0,0
768,NR_152869.1,30,4,0
769,NR_152870.1,30,4,0
770,NR_152871.1,31,4,0
771,NR_110492.1,31,4,0
772,NR_110493.1,30,4,0
773,NR_002323.2,30,4,0
774,NR_152867.1,12,0,0
775,NR_152868.1,12,0,0
776,NR_152869.1,30,4,0
777,NR_152870.1,30,4,0
778,NR_152871.1,31,4,0
779,NR_110492.1,31,4,0
780,NR_110493.1,30,4,0
781,NR_002323.2,30,4,0
782,NR_152867.1,12,0,0
783,NR_152868.1,12,0,0
784,NR_152869.1,30,4,0
785,NR_152870.1,30,4,0
786,NR_152871.1,31,4,0
787,NR_015379.3,10,0,0
788,NR_015379.3,10,0,0
789,NR_015379.3,10,0,0
790,NR_015379.3,10,0,0
791,NR_015379.3,10,0,0
792,NR_015379.3,10,0,0
793,NR_015379.3,10,0,0
794,NR_015379.3,10,0,0
795,NR_015379.3,10,0,0
796,NR_015379.3,10,0,0
797,NR_015379.3,10,0,0
798,NR_038453.1,5,0,0
799,NR_015359.2,9,0,0
800,NR_152771.1,10,1,0
801,NR_152772.1,10,1,0
802,NR_152773.1,12,1,0
803,NR_152774.1,10,1,0
804,NR_152775.1,10,1,0
805,NR_152776.1,11,0,0
806,NR_152778.1,9,0,0
807,NR_152779.1,7,0,0
808,NR_152780.1,10,0,0
809,NR_152781.1,10,0,0
810,NR_152782.1,9,0,0
811,NR_001564.2,71,0,0
812,NR_001564.2,71,0,0
813,NR_001564.2,71,0,0
814,NR_001564.2,71,0,0
815,NR_001564.2,71,0,0
816,NR_003604.3,11,2,0
817,NR_003605.2,8,1,0
818,NR_003606.3,10,2,0
819,NR_036658.2,11,2,0
820,NR_036659.2,4,0,0
821,NR_003604.3,11,2,0
822,NR_003605.2,8,1,0
823,NR_003606.3,10,2,0
824,NR_036658.2,11,2,0
825,NR_036659.2,4,0,0
826,NR_026867.1,8,0,0
