,NCBI Reference Number,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS
139,NR_047543.1,10,0,0
140,NR_047534.1,10,0,0
141,NR_047535.1,9,0,0
142,NR_047536.1,7,0,0
143,NR_047537.1,9,0,0
144,NR_047538.1,7,0,0
145,NR_047539.1,17,0,0
146,NR_047540.1,10,0,0
147,NR_047541.1,10,0,0
148,NR_047542.1,8,0,0
149,NR_047533.1,6,0,0
150,NR_120536.1,6,0,0
151,NR_002765.2,5,0,0
152,NR_049729.1,19,1,0
153,NR_049730.1,4,0,0
154,NR_015395.2,23,0,0
155,NR_024373.2,5,0,0
156,NR_136161.1,10,0,0
157,NR_136162.1,24,0,0
158,NR_136163.1,15,0,0
159,NR_136164.1,10,0,0
160,NR_136165.1,8,0,0
161,NR_136166.1,21,0,0
162,NR_026857.1,47,9,2
163,NR_047671.2,4,0,0
164,NR_047671.2,4,0,0
165,NR_047671.2,4,0,0
166,NR_001568.1,2,0,0
167,NR_024049.1,5,0,0
168,NR_024050.1,2,0,0
169,NR_131216.1,1,0,0
170,NR_131217.1,2,0,0
171,NR_131222.1,2,0,0
172,NR_001568.1,2,0,0
173,NR_001568.1,2,0,0
174,NR_103783.1,21,0,0
175,NR_038410.1,16,1,0
176,NR_038411.1,13,1,0
177,NR_038412.1,13,1,0
178,NR_038413.1,12,1,0
179,NR_038414.1,15,1,0
180,NR_038415.1,15,1,0
181,NR_038416.1,15,1,0
182,NR_038417.1,11,1,0
183,NR_038418.1,11,1,0
184,NR_149317.1,7,2,0
185,NR_040018.1,8,0,0
186,NR_040019.1,12,0,0
187,NR_040018.1,8,0,0
188,NR_040019.1,12,0,0
189,NR_038439.1,15,0,0
190,NR_108049.1,9,0,0
191,NR_117101.1,0,0,0
192,NR_117102.1,0,0,0
193,NR_117101.1,0,0,0
194,NR_117102.1,0,0,0
195,NR_117101.1,0,0,0
196,NR_117102.1,0,0,0
197,NR_015410.2,18,0,0
198,NR_026939.1,15,2,0
199,NR_026940.1,5,2,0
200,NR_026941.1,7,2,0
201,NR_026939.1,15,2,0
202,NR_026940.1,5,2,0
203,NR_026941.1,7,2,0
204,NR_026939.1,15,2,0
205,NR_026940.1,5,2,0
206,NR_026941.1,7,2,0
207,NR_026939.1,15,2,0
208,NR_026940.1,5,2,0
209,NR_026941.1,7,2,0
210,NR_026939.1,15,2,0
211,NR_026940.1,5,2,0
212,NR_026941.1,7,2,0
213,NR_026939.1,15,2,0
214,NR_026940.1,5,2,0
215,NR_026941.1,7,2,0
216,NR_026939.1,15,2,0
217,NR_026940.1,5,2,0
218,NR_026941.1,7,2,0
219,NR_103848.1,5,0,0
220,NR_103850.2,4,0,0
221,NR_103849.2,4,0,0
222,NR_103848.1,5,0,0
223,NR_103850.2,4,0,0
224,NR_103849.2,4,0,0
225,NR_108049.1,9,0,0
226,NR_108049.1,9,0,0
227,NR_108049.1,9,0,0
228,NR_108049.1,9,0,0
229,NR_108049.1,9,0,0
230,NR_108049.1,9,0,0
231,NR_108049.1,9,0,0
232,NR_108049.1,9,0,0
233,NR_108049.1,9,0,0
234,NR_109834.1,6,0,0
235,NR_109834.1,6,0,0
236,NR_109834.1,6,0,0
237,NR_109834.1,6,0,0
238,NR_109834.1,6,0,0
239,NR_131782.1,17,0,0
240,NR_003529.3,21,0,0
241,NR_047532.1,16,0,0
242,NR_047543.1,10,0,0
243,NR_047534.1,10,0,0
244,NR_047535.1,9,0,0
245,NR_047536.1,7,0,0
246,NR_047537.1,9,0,0
247,NR_047538.1,7,0,0
248,NR_047539.1,17,0,0
249,NR_047540.1,10,0,0
250,NR_047541.1,10,0,0
251,NR_047542.1,8,0,0
252,NR_047533.1,6,0,0
253,NR_120536.1,6,0,0
254,NR_003529.3,21,0,0
255,NR_047532.1,16,0,0
256,NR_047543.1,10,0,0
257,NR_047534.1,10,0,0
258,NR_047535.1,9,0,0
259,NR_047536.1,7,0,0
260,NR_047537.1,9,0,0
261,NR_047538.1,7,0,0
262,NR_047539.1,17,0,0
263,NR_047540.1,10,0,0
264,NR_047541.1,10,0,0
265,NR_047542.1,8,0,0
266,NR_047533.1,6,0,0
267,NR_120536.1,6,0,0
268,NR_003529.3,21,0,0
269,NR_047532.1,16,0,0
270,NR_047543.1,10,0,0
271,NR_047534.1,10,0,0
272,NR_047535.1,9,0,0
273,NR_047536.1,7,0,0
274,NR_047537.1,9,0,0
275,NR_047538.1,7,0,0
276,NR_047539.1,17,0,0
277,NR_047540.1,10,0,0
278,NR_047541.1,10,0,0
279,NR_047542.1,8,0,0
280,NR_047533.1,6,0,0
281,NR_120536.1,6,0,0
282,NR_026887.2,20,1,0
283,NR_027118.2,7,0,0
284,NR_027932.1,8,0,0
285,NR_027933.1,8,0,0
286,NR_002763.2,7,0,0
287,NR_002763.2,7,0,0
288,NR_002763.2,7,0,0
289,NR_002763.2,7,0,0
290,NR_034105.4,5,0,0
291,NR_034106.3,7,2,0
292,NR_110453.2,5,0,0
293,NR_110454.2,7,2,0
294,NR_170995.1,7,2,0
295,NR_034105.4,5,0,0
296,NR_034106.3,7,2,0
297,NR_110453.2,5,0,0
298,NR_110454.2,7,2,0
299,NR_170995.1,7,2,0
300,NR_034105.4,5,0,0
301,NR_034106.3,7,2,0
302,NR_110453.2,5,0,0
303,NR_110454.2,7,2,0
304,NR_170995.1,7,2,0
305,NR_034105.4,5,0,0
306,NR_034106.3,7,2,0
307,NR_110453.2,5,0,0
308,NR_110454.2,7,2,0
309,NR_170995.1,7,2,0
310,NR_034105.4,5,0,0
311,NR_034106.3,7,2,0
312,NR_110453.2,5,0,0
313,NR_110454.2,7,2,0
314,NR_170995.1,7,2,0
315,NR_034105.4,5,0,0
316,NR_034106.3,7,2,0
317,NR_110453.2,5,0,0
318,NR_110454.2,7,2,0
319,NR_170995.1,7,2,0
320,NR_034105.4,5,0,0
321,NR_034106.3,7,2,0
322,NR_110453.2,5,0,0
323,NR_110454.2,7,2,0
324,NR_170995.1,7,2,0
325,NR_034105.4,5,0,0
326,NR_034106.3,7,2,0
327,NR_110453.2,5,0,0
328,NR_110454.2,7,2,0
329,NR_170995.1,7,2,0
330,NR_034105.4,5,0,0
331,NR_034106.3,7,2,0
332,NR_110453.2,5,0,0
333,NR_110454.2,7,2,0
334,NR_170995.1,7,2,0
335,NR_034105.4,5,0,0
336,NR_034106.3,7,2,0
337,NR_110453.2,5,0,0
338,NR_110454.2,7,2,0
339,NR_170995.1,7,2,0
340,NR_034105.4,5,0,0
341,NR_034106.3,7,2,0
342,NR_110453.2,5,0,0
343,NR_110454.2,7,2,0
344,NR_170995.1,7,2,0
345,NR_034105.4,5,0,0
346,NR_034106.3,7,2,0
347,NR_110453.2,5,0,0
348,NR_110454.2,7,2,0
349,NR_170995.1,7,2,0
350,NR_034105.4,5,0,0
351,NR_034106.3,7,2,0
352,NR_110453.2,5,0,0
353,NR_110454.2,7,2,0
354,NR_170995.1,7,2,0
355,NR_034105.4,5,0,0
356,NR_034106.3,7,2,0
357,NR_110453.2,5,0,0
358,NR_110454.2,7,2,0
359,NR_170995.1,7,2,0
360,NR_170220.1,36,5,1
361,NR_015379.3,10,0,0
362,NR_024031.2,5,1,0
363,NR_145129.1,6,1,0
364,NR_145130.1,6,1,0
365,NR_024031.2,5,1,0
366,NR_145129.1,6,1,0
367,NR_145130.1,6,1,0
368,NR_024031.2,5,1,0
369,NR_145129.1,6,1,0
370,NR_145130.1,6,1,0
371,NR_024031.2,5,1,0
372,NR_145129.1,6,1,0
373,NR_145130.1,6,1,0
374,NR_024031.2,5,1,0
375,NR_145129.1,6,1,0
376,NR_145130.1,6,1,0
377,NR_024031.2,5,1,0
378,NR_145129.1,6,1,0
379,NR_145130.1,6,1,0
380,NR_102735.1,26,1,0
381,NR_102735.1,26,1,0
382,NR_102735.1,26,1,0
383,NR_040772.1,17,1,0
384,NR_040773.1,12,1,0
385,NR_040772.1,17,1,0
386,NR_040773.1,12,1,0
387,NR_040772.1,17,1,0
388,NR_040773.1,12,1,0
389,NR_038927.2,10,1,0
390,NR_002733.2,29,3,0
391,NR_045121.1,29,3,0
392,NR_110533.1,11,0,0
393,NR_026651.1,5,5,5
394,NR_024159.1,5,2,0
395,NR_002733.2,29,3,0
396,NR_045121.1,29,3,0
397,NR_110533.1,11,0,0
398,NR_026651.1,5,5,5
399,NR_024159.1,5,2,0
400,NR_002733.2,29,3,0
401,NR_045121.1,29,3,0
402,NR_110533.1,11,0,0
403,NR_026651.1,5,5,5
404,NR_024159.1,5,2,0
405,NR_002733.2,29,3,0
406,NR_045121.1,29,3,0
407,NR_110533.1,11,0,0
408,NR_026651.1,5,5,5
409,NR_024159.1,5,2,0
410,NR_109973.1,10,0,0
411,NR_002605.2,9,0,0
412,NR_109974.1,8,0,0
413,NR_109973.1,10,0,0
414,NR_002605.2,9,0,0
415,NR_109974.1,8,0,0
416,NR_109973.1,10,0,0
417,NR_002605.2,9,0,0
418,NR_109974.1,8,0,0
419,NR_024101.1,6,0,0
420,NR_024101.1,6,0,0
421,NR_015448.1,9,0,0
422,NR_015448.1,9,0,0
423,NR_015448.1,9,0,0
424,NR_038896.1,12,0,0
425,NR_038898.1,7,0,0
426,NR_038899.1,8,0,0
427,NR_038900.1,7,0,0
428,NR_026841.1,1,0,0
429,NR_026842.1,1,0,0
430,NR_026839.1,3,0,0
431,NR_026838.1,4,0,0
432,NR_026840.1,2,0,0
433,NR_110526.1,12,0,0
434,NR_110526.1,12,0,0
435,NR_122113.1,11,0,0
436,NR_122113.1,11,0,0
437,NR_047551.1,19,4,0
438,NR_004428.1,9,1,0
439,NR_004428.1,9,1,0
440,NR_034170.1,14,2,0
441,NR_034171.1,10,0,0
442,NR_104120.1,6,0,0
443,NR_027706.1,15,2,0
444,NR_122046.1,12,0,0
445,NR_033901.2,8,0,0
446,NR_033900.1,4,0,0
447,NR_033901.2,8,0,0
448,NR_033900.1,4,0,0
449,NR_051960.1,8,0,0
450,NR_026770.1,9,0,0
451,NR_033925.1,14,0,0
452,NR_036444.1,23,1,0
453,NR_033925.1,14,0,0
454,NR_036444.1,23,1,0
455,NR_119376.1,14,0,0
456,NR_119376.1,83,2,0
457,NR_036484.1,83,2,0
458,NR_036484.1,21,1,0
459,NR_036484.1,21,1,0
460,NR_028351.1,21,1,0
461,NR_027285.1,15,0,0
462,NR_027286.1,02145,02145,02145
463,NR_027285.1,7,1,0
464,NR_027286.1,4,1,0
465,NR_026878.1,7,1,0
466,NR_026878.1,21,3,0
467,NR_026878.1,21,3,0
468,NR_026878.1,21,3,0
469,NR_026878.1,21,3,0
470,NR_121634.1,21,3,0
471,NR_126415.1,11,0,0
472,NR_126416.1,6,1,0
473,NR_126417.1,8,0,0
474,NR_028379.1,2,0,0
475,NR_028379.1,8,0,0
476,NR_028379.1,8,0,0
477,NR_028379.1,8,0,0
478,NR_024490.1,8,0,0
479,NR_126559.1,36,1,0
480,NR_110429.1,6,0,0
481,NR_002578.3,3,0,0
482,NR_152521.1,3,0,0
483,NR_002578.3,5,0,0
484,NR_152521.1,6,0,0
485,NR_152522.1,5,0,0
486,NR_152523.1,5,0,0
487,NR_152524.1,5,0,0
488,NR_152525.1,5,0,0
489,NR_152526.1,5,0,0
490,NR_152527.1,3,0,0
491,NR_152528.1,4,0,0
492,NR_152529.1,3,0,0
493,NR_152530.1,5,0,0
494,NR_152531.1,5,0,0
495,NR_152532.1,5,0,0
496,NR_152533.1,5,0,0
497,NR_152534.1,5,0,0
498,NR_002578.3,5,0,0
499,NR_152521.1,6,0,0
500,NR_152522.1,5,0,0
501,NR_152523.1,5,0,0
502,NR_152524.1,5,0,0
503,NR_152525.1,5,0,0
504,NR_152526.1,5,0,0
505,NR_152527.1,3,0,0
506,NR_152528.1,4,0,0
507,NR_152529.1,3,0,0
508,NR_152530.1,5,0,0
509,NR_152531.1,5,0,0
510,NR_152532.1,5,0,0
511,NR_152533.1,5,0,0
512,NR_152534.1,5,0,0
513,NR_002578.3,5,0,0
514,NR_152521.1,6,0,0
515,NR_152522.1,5,0,0
516,NR_152523.1,5,0,0
517,NR_152524.1,5,0,0
518,NR_152525.1,5,0,0
519,NR_152526.1,5,0,0
520,NR_152527.1,3,0,0
521,NR_152528.1,4,0,0
522,NR_152529.1,3,0,0
523,NR_152530.1,5,0,0
524,NR_152531.1,5,0,0
525,NR_152532.1,5,0,0
526,NR_152533.1,5,0,0
527,NR_152534.1,5,0,0
528,NR_002578.3,5,0,0
529,NR_152521.1,6,0,0
530,NR_152522.1,5,0,0
531,NR_152523.1,5,0,0
532,NR_152524.1,5,0,0
533,NR_152525.1,5,0,0
534,NR_152526.1,5,0,0
535,NR_152527.1,3,0,0
536,NR_152528.1,4,0,0
537,NR_152529.1,3,0,0
538,NR_152530.1,5,0,0
539,NR_152531.1,5,0,0
540,NR_152532.1,5,0,0
541,NR_152533.1,5,0,0
542,NR_152534.1,5,0,0
543,NR_002578.3,5,0,0
544,NR_152521.1,6,0,0
545,NR_152522.1,5,0,0
546,NR_152523.1,5,0,0
547,NR_152524.1,5,0,0
548,NR_152525.1,5,0,0
549,NR_152526.1,5,0,0
550,NR_152527.1,3,0,0
551,NR_152528.1,4,0,0
552,NR_152529.1,3,0,0
553,NR_152530.1,5,0,0
554,NR_152531.1,5,0,0
555,NR_152532.1,5,0,0
556,NR_152533.1,5,0,0
557,NR_152534.1,5,0,0
558,NR_002578.3,5,0,0
559,NR_152521.1,6,0,0
560,NR_152522.1,5,0,0
561,NR_152523.1,5,0,0
562,NR_152524.1,5,0,0
563,NR_152525.1,5,0,0
564,NR_152526.1,5,0,0
565,NR_152527.1,3,0,0
566,NR_152528.1,4,0,0
567,NR_152529.1,3,0,0
568,NR_152530.1,5,0,0
569,NR_152531.1,5,0,0
570,NR_152532.1,5,0,0
571,NR_152533.1,5,0,0
572,NR_152534.1,5,0,0
573,NR_002578.3,5,0,0
574,NR_152521.1,6,0,0
575,NR_152522.1,5,0,0
576,NR_152523.1,5,0,0
577,NR_152524.1,5,0,0
578,NR_152525.1,5,0,0
579,NR_152526.1,5,0,0
580,NR_152527.1,3,0,0
581,NR_152528.1,4,0,0
582,NR_152529.1,3,0,0
583,NR_152530.1,5,0,0
584,NR_152531.1,5,0,0
585,NR_152532.1,5,0,0
586,NR_152533.1,5,0,0
587,NR_152534.1,5,0,0
588,NR_002578.3,5,0,0
589,NR_152521.1,6,0,0
590,NR_152522.1,5,0,0
591,NR_152523.1,5,0,0
592,NR_152524.1,5,0,0
593,NR_152525.1,5,0,0
594,NR_152526.1,5,0,0
595,NR_152527.1,3,0,0
596,NR_152528.1,4,0,0
597,NR_152529.1,3,0,0
598,NR_152530.1,5,0,0
599,NR_152531.1,5,0,0
600,NR_152532.1,5,0,0
601,NR_152533.1,5,0,0
602,NR_152534.1,5,0,0
603,NR_002578.3,5,0,0
604,NR_152521.1,6,0,0
605,NR_152522.1,5,0,0
606,NR_152523.1,5,0,0
607,NR_152524.1,5,0,0
608,NR_152525.1,5,0,0
609,NR_152526.1,5,0,0
610,NR_152527.1,3,0,0
611,NR_152528.1,4,0,0
612,NR_152529.1,3,0,0
613,NR_152530.1,5,0,0
614,NR_152531.1,5,0,0
615,NR_152532.1,5,0,0
616,NR_152533.1,5,0,0
617,NR_152534.1,5,0,0
618,NR_002578.3,5,0,0
619,NR_152521.1,6,0,0
620,NR_152522.1,5,0,0
621,NR_152523.1,5,0,0
622,NR_152524.1,5,0,0
623,NR_152525.1,5,0,0
624,NR_152526.1,5,0,0
625,NR_152527.1,3,0,0
626,NR_152528.1,4,0,0
627,NR_152529.1,3,0,0
628,NR_152530.1,5,0,0
629,NR_152531.1,5,0,0
630,NR_152532.1,5,0,0
631,NR_152533.1,5,0,0
632,NR_152534.1,5,0,0
633,NR_037605.1,5,0,0
634,NR_044995.2,2,0,0
635,NR_044993.1,15,0,0
636,NR_122031.1,9,0,0
637,NR_104327.1,5,1,0
638,NR_130107.1,6,0,0
639,NR_130107.1,9,1,0
640,NR_038269.1,9,1,0
641,NR_046229.1,4,0,0
642,NR_002196.2,8,0,0
643,NR_002196.2,27,9,2
644,NR_131223.1,26,9,2
645,NR_131224.1,11,1,0
646,NR_002196.2,27,9,2
647,NR_131223.1,26,9,2
648,NR_131224.1,11,1,0
649,NR_002196.2,27,9,2
650,NR_131223.1,26,9,2
651,NR_131224.1,11,1,0
652,NR_002196.2,27,9,2
653,NR_131223.1,26,9,2
654,NR_131224.1,11,1,0
655,NR_002196.2,27,9,2
656,NR_131223.1,26,9,2
657,NR_131224.1,11,1,0
658,NR_002196.2,27,9,2
659,NR_131223.1,26,9,2
660,NR_131224.1,11,1,0
661,NR_002196.2,27,9,2
662,NR_131223.1,26,9,2
663,NR_131224.1,11,1,0
664,NR_002196.2,27,9,2
665,NR_131223.1,26,9,2
666,NR_131224.1,11,1,0
667,NR_002196.2,27,9,2
668,NR_131223.1,26,9,2
669,NR_131224.1,11,1,0
670,NR_002196.2,27,9,2
671,NR_131223.1,26,9,2
672,NR_131224.1,11,1,0
673,NR_002196.2,27,9,2
674,NR_131223.1,26,9,2
675,NR_131224.1,11,1,0
676,NR_002196.2,27,9,2
677,NR_131223.1,26,9,2
678,NR_131224.1,11,1,0
679,NR_002196.2,27,9,2
680,NR_131223.1,26,9,2
681,NR_131224.1,11,1,0
682,NR_002196.2,27,9,2
683,NR_131223.1,26,9,2
684,NR_131224.1,11,1,0
685,NR_002196.2,27,9,2
686,NR_131223.1,26,9,2
687,NR_131224.1,11,1,0
688,NR_002196.2,27,9,2
689,NR_131223.1,26,9,2
690,NR_131224.1,11,1,0
691,NR_002196.2,27,9,2
692,NR_131223.1,26,9,2
693,NR_131224.1,11,1,0
694,NR_002196.2,27,9,2
695,NR_131223.1,26,9,2
696,NR_131224.1,11,1,0
697,NR_002196.2,27,9,2
698,NR_131223.1,26,9,2
699,NR_131224.1,11,1,0
700,NR_002196.2,27,9,2
701,NR_131223.1,26,9,2
702,NR_131224.1,11,1,0
703,NR_002196.2,27,9,2
704,NR_131223.1,26,9,2
705,NR_131224.1,11,1,0
706,NR_002196.2,27,9,2
707,NR_131223.1,26,9,2
708,NR_131224.1,11,1,0
709,NR_002196.2,27,9,2
710,NR_131223.1,26,9,2
711,NR_131224.1,11,1,0
712,NR_002196.2,27,9,2
713,NR_131223.1,26,9,2
714,NR_131224.1,11,1,0
715,NR_002196.2,27,9,2
716,NR_131223.1,26,9,2
717,NR_131224.1,11,1,0
718,NR_002196.2,27,9,2
719,NR_131223.1,26,9,2
720,NR_131224.1,11,1,0
721,NR_110457.1,27,9,2
722,NR_003679.2,6,0,0
723,NR_003679.2,1,0,0
724,NR_136192.1,17,2,0
725,NR_136193.1,20,2,0
726,NR_136194.1,19,2,0
727,NR_136195.1,10,1,0
728,NR_136196.1,4,1,0
729,NR_136197.1,18,1,0
730,NR_136198.1,16,2,0
731,NR_136199.1,18,2,0
732,NR_136200.1,20,2,0
733,NR_136201.1,22,2,0
734,NR_003679.2,1,0,0
735,NR_136192.1,17,2,0
736,NR_136193.1,20,2,0
737,NR_136194.1,19,2,0
738,NR_136195.1,10,1,0
739,NR_136196.1,4,1,0
740,NR_136197.1,18,1,0
741,NR_136198.1,16,2,0
742,NR_136199.1,18,2,0
743,NR_136200.1,20,2,0
744,NR_136201.1,22,2,0
745,NR_003679.2,1,0,0
746,NR_136192.1,17,2,0
747,NR_136193.1,20,2,0
748,NR_136194.1,19,2,0
749,NR_136195.1,10,1,0
750,NR_136196.1,4,1,0
751,NR_136197.1,18,1,0
752,NR_136198.1,16,2,0
753,NR_136199.1,18,2,0
754,NR_136200.1,20,2,0
755,NR_136201.1,22,2,0
756,NR_003244.2,1,0,0
757,NR_003245.1,29,5,0
758,NR_026790.1,5,0,0
759,NR_026790.1,31,4,0
760,NR_037595.1,31,4,0
761,NR_024345.1,5,2,0
762,NR_024345.1,15,0,0
763,NR_024345.1,15,0,0
764,NR_134505.1,15,0,0
765,NR_134505.1,9,0,0
766,NR_047517.1,9,0,0
767,NR_003716.3,2,2,2
768,NR_047517.1,17,1,0
769,NR_003716.3,16,1,0
770,NR_047518.1,15,1,0
771,NR_047517.1,17,1,0
772,NR_003716.3,16,1,0
773,NR_047518.1,15,1,0
774,NR_047517.1,17,1,0
775,NR_003716.3,16,1,0
776,NR_047518.1,15,1,0
777,NR_047517.1,17,1,0
778,NR_003716.3,16,1,0
779,NR_047518.1,15,1,0
780,NR_047517.1,17,1,0
781,NR_003716.3,16,1,0
782,NR_047518.1,15,1,0
783,NR_047517.1,17,1,0
784,NR_003716.3,16,1,0
785,NR_047518.1,15,1,0
786,NR_047517.1,17,1,0
787,NR_003716.3,16,1,0
788,NR_047518.1,15,1,0
789,NR_047517.1,17,1,0
790,NR_003716.3,16,1,0
791,NR_047518.1,15,1,0
792,NR_047517.1,17,1,0
793,NR_003716.3,16,1,0
794,NR_047518.1,15,1,0
795,NR_047517.1,17,1,0
796,NR_003716.3,16,1,0
797,NR_047518.1,15,1,0
798,NR_047517.1,17,1,0
799,NR_003716.3,16,1,0
800,NR_047518.1,15,1,0
801,NR_047517.1,17,1,0
802,NR_003716.3,16,1,0
803,NR_047518.1,15,1,0
804,NR_047517.1,17,1,0
805,NR_003716.3,16,1,0
806,NR_047518.1,15,1,0
807,NR_047517.1,17,1,0
808,NR_003716.3,16,1,0
809,NR_047518.1,15,1,0
810,NR_047517.1,17,1,0
811,NR_003716.3,16,1,0
812,NR_047518.1,15,1,0
813,NR_047517.1,17,1,0
814,NR_003716.3,16,1,0
815,NR_047518.1,15,1,0
816,NR_047517.1,17,1,0
817,NR_003716.3,16,1,0
818,NR_047518.1,15,1,0
819,NR_047517.1,17,1,0
820,NR_003716.3,16,1,0
821,NR_047518.1,15,1,0
822,NR_047517.1,17,1,0
823,NR_003716.3,16,1,0
824,NR_047518.1,15,1,0
825,NR_047517.1,17,1,0
826,NR_003716.3,16,1,0
827,NR_047518.1,15,1,0
828,NR_047517.1,17,1,0
829,NR_003716.3,16,1,0
830,NR_047518.1,15,1,0
831,NR_047517.1,17,1,0
832,NR_003716.3,16,1,0
833,NR_047518.1,15,1,0
834,NR_047517.1,17,1,0
835,NR_003716.3,16,1,0
836,NR_047518.1,15,1,0
837,NR_047517.1,17,1,0
838,NR_003716.3,16,1,0
839,NR_047518.1,15,1,0
840,NR_038366.1,17,1,0
841,NR_038367.1,16,1,0
842,NR_037843.3,6,1,0
843,NR_037843.3,37,3,0
844,NR_037843.3,37,3,0
845,NR_037843.3,37,3,0
846,NR_037843.3,37,3,0
847,NR_122069.1,37,3,0
848,NR_122069.1,4,0,0
849,NR_038831.1,4,0,0
850,NR_002795.2,32,7,0
851,NR_002795.2,16,2,0
852,NR_002795.2,16,2,0
853,NR_002795.2,16,2,0
854,NR_002795.2,16,2,0
855,NR_033201.2,16,2,0
856,NR_110458.1,5,1,0
857,NR_110459.1,5,1,0
858,NR_110460.1,6,0,0
859,NR_110461.1,6,0,0
860,NR_110462.1,6,1,0
861,NR_110463.1,4,0,0
862,NR_110464.1,4,1,0
863,NR_110465.1,7,1,0
864,NR_110458.1,25,2,0
865,NR_110459.1,23,2,0
866,NR_110460.1,23,2,0
867,NR_110461.1,22,1,0
868,NR_110462.1,25,2,0
