,NCBI Reference Number,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS
144,NR_026878.1,21,3,0
145,NR_126415.1,2,0,0
146,NR_126416.1,2,0,0
147,NR_126417.1,1,0,0
148,NR_002578.3,5,0,0
149,NR_152521.1,6,0,0
150,NR_152522.1,5,0,0
151,NR_152523.1,5,0,0
152,NR_152524.1,5,0,0
153,NR_152525.1,5,0,0
154,NR_152526.1,5,0,0
155,NR_152527.1,3,0,0
156,NR_152528.1,4,0,0
157,NR_152529.1,3,0,0
158,NR_152530.1,5,0,0
159,NR_152531.1,5,0,0
160,NR_152532.1,5,0,0
161,NR_152533.1,5,0,0
162,NR_152534.1,5,0,0
163,NR_002578.3,5,0,0
164,NR_152521.1,6,0,0
165,NR_152522.1,5,0,0
166,NR_152523.1,5,0,0
167,NR_152524.1,5,0,0
168,NR_152525.1,5,0,0
169,NR_152526.1,5,0,0
170,NR_152527.1,3,0,0
171,NR_152528.1,4,0,0
172,NR_152529.1,3,0,0
173,NR_152530.1,5,0,0
174,NR_152531.1,5,0,0
175,NR_152532.1,5,0,0
176,NR_152533.1,5,0,0
177,NR_152534.1,5,0,0
178,NR_002578.3,5,0,0
179,NR_152521.1,6,0,0
180,NR_152522.1,5,0,0
181,NR_152523.1,5,0,0
182,NR_152524.1,5,0,0
183,NR_152525.1,5,0,0
184,NR_152526.1,5,0,0
185,NR_152527.1,3,0,0
186,NR_152528.1,4,0,0
187,NR_152529.1,3,0,0
188,NR_152530.1,5,0,0
189,NR_152531.1,5,0,0
190,NR_152532.1,5,0,0
191,NR_152533.1,5,0,0
192,NR_152534.1,5,0,0
193,NR_002578.3,5,0,0
194,NR_152521.1,6,0,0
195,NR_152522.1,5,0,0
196,NR_152523.1,5,0,0
197,NR_152524.1,5,0,0
198,NR_152525.1,5,0,0
199,NR_152526.1,5,0,0
200,NR_152527.1,3,0,0
201,NR_152528.1,4,0,0
202,NR_152529.1,3,0,0
203,NR_152530.1,5,0,0
204,NR_152531.1,5,0,0
205,NR_152532.1,5,0,0
206,NR_152533.1,5,0,0
207,NR_152534.1,5,0,0
208,NR_002578.3,5,0,0
209,NR_152521.1,6,0,0
210,NR_152522.1,5,0,0
211,NR_152523.1,5,0,0
212,NR_152524.1,5,0,0
213,NR_152525.1,5,0,0
214,NR_152526.1,5,0,0
215,NR_152527.1,3,0,0
216,NR_152528.1,4,0,0
217,NR_152529.1,3,0,0
218,NR_152530.1,5,0,0
219,NR_152531.1,5,0,0
220,NR_152532.1,5,0,0
221,NR_152533.1,5,0,0
222,NR_152534.1,5,0,0
223,NR_002578.3,5,0,0
224,NR_152521.1,6,0,0
225,NR_152522.1,5,0,0
226,NR_152523.1,5,0,0
227,NR_152524.1,5,0,0
228,NR_152525.1,5,0,0
229,NR_152526.1,5,0,0
230,NR_152527.1,3,0,0
231,NR_152528.1,4,0,0
232,NR_152529.1,3,0,0
233,NR_152530.1,5,0,0
234,NR_152531.1,5,0,0
235,NR_152532.1,5,0,0
236,NR_152533.1,5,0,0
237,NR_152534.1,5,0,0
238,NR_002578.3,5,0,0
239,NR_152521.1,6,0,0
240,NR_152522.1,5,0,0
241,NR_152523.1,5,0,0
242,NR_152524.1,5,0,0
243,NR_152525.1,5,0,0
244,NR_152526.1,5,0,0
245,NR_152527.1,3,0,0
246,NR_152528.1,4,0,0
247,NR_152529.1,3,0,0
248,NR_152530.1,5,0,0
249,NR_152531.1,5,0,0
250,NR_152532.1,5,0,0
251,NR_152533.1,5,0,0
252,NR_152534.1,5,0,0
253,NR_037605.1,2,0,0
254,NR_102763.1,12,2,0
255,NR_130107.1,9,1,0
256,NR_130107.1,9,1,0
257,NR_038269.1,0,0,0
258,NR_002196.2,27,9,2
259,NR_131223.1,26,9,2
260,NR_131224.1,11,1,0
261,NR_002196.2,27,9,2
262,NR_131223.1,26,9,2
263,NR_131224.1,11,1,0
264,NR_002196.2,27,9,2
265,NR_131223.1,26,9,2
266,NR_131224.1,11,1,0
267,NR_002196.2,27,9,2
268,NR_131223.1,26,9,2
269,NR_131224.1,11,1,0
270,NR_003679.2,1,0,0
271,NR_136192.1,17,2,0
272,NR_136193.1,20,2,0
273,NR_136194.1,19,2,0
274,NR_136195.1,10,1,0
275,NR_136196.1,4,1,0
276,NR_136197.1,18,1,0
277,NR_136198.1,16,2,0
278,NR_136199.1,18,2,0
279,NR_136200.1,20,2,0
280,NR_136201.1,22,2,0
281,NR_003679.2,1,0,0
282,NR_136192.1,17,2,0
283,NR_136193.1,20,2,0
284,NR_136194.1,19,2,0
285,NR_136195.1,10,1,0
286,NR_136196.1,4,1,0
287,NR_136197.1,18,1,0
288,NR_136198.1,16,2,0
289,NR_136199.1,18,2,0
290,NR_136200.1,20,2,0
291,NR_136201.1,22,2,0
292,NR_003679.2,1,0,0
293,NR_136192.1,17,2,0
294,NR_136193.1,20,2,0
295,NR_136194.1,19,2,0
296,NR_136195.1,10,1,0
297,NR_136196.1,4,1,0
298,NR_136197.1,18,1,0
299,NR_136198.1,16,2,0
300,NR_136199.1,18,2,0
301,NR_136200.1,20,2,0
302,NR_136201.1,22,2,0
303,NR_040662.1,21,2,0
304,NR_110725.1,17,0,0
305,NR_110726.1,6,0,0
306,NR_024345.1,15,0,0
307,NR_047517.1,17,1,0
308,NR_003716.3,16,1,0
309,NR_047518.1,15,1,0
310,NR_047517.1,17,1,0
311,NR_003716.3,16,1,0
312,NR_047518.1,15,1,0
313,NR_047517.1,17,1,0
314,NR_003716.3,16,1,0
315,NR_047518.1,15,1,0
316,NR_047517.1,17,1,0
317,NR_003716.3,16,1,0
318,NR_047518.1,15,1,0
319,NR_047517.1,17,1,0
320,NR_003716.3,16,1,0
321,NR_047518.1,15,1,0
322,NR_047517.1,17,1,0
323,NR_003716.3,16,1,0
324,NR_047518.1,15,1,0
325,NR_047517.1,17,1,0
326,NR_003716.3,16,1,0
327,NR_047518.1,15,1,0
328,NR_047517.1,17,1,0
329,NR_003716.3,16,1,0
330,NR_047518.1,15,1,0
331,NR_047517.1,17,1,0
332,NR_003716.3,16,1,0
333,NR_047518.1,15,1,0
334,NR_047517.1,17,1,0
335,NR_003716.3,16,1,0
336,NR_047518.1,15,1,0
337,NR_047517.1,17,1,0
338,NR_003716.3,16,1,0
339,NR_047518.1,15,1,0
340,NR_047517.1,17,1,0
341,NR_003716.3,16,1,0
342,NR_047518.1,15,1,0
343,NR_047517.1,17,1,0
344,NR_003716.3,16,1,0
345,NR_047518.1,15,1,0
346,NR_047517.1,17,1,0
347,NR_003716.3,16,1,0
348,NR_047518.1,15,1,0
349,NR_047517.1,17,1,0
350,NR_003716.3,16,1,0
351,NR_047518.1,15,1,0
352,NR_047517.1,17,1,0
353,NR_003716.3,16,1,0
354,NR_047518.1,15,1,0
355,NR_047517.1,17,1,0
356,NR_003716.3,16,1,0
357,NR_047518.1,15,1,0
358,NR_047517.1,17,1,0
359,NR_003716.3,16,1,0
360,NR_047518.1,15,1,0
361,NR_047517.1,17,1,0
362,NR_003716.3,16,1,0
363,NR_047518.1,15,1,0
364,NR_047517.1,17,1,0
365,NR_003716.3,16,1,0
366,NR_047518.1,15,1,0
367,NR_047517.1,17,1,0
368,NR_003716.3,16,1,0
369,NR_047518.1,15,1,0
370,NR_047517.1,17,1,0
371,NR_003716.3,16,1,0
372,NR_047518.1,15,1,0
373,NR_047517.1,17,1,0
374,NR_003716.3,16,1,0
375,NR_047518.1,15,1,0
376,NR_047517.1,17,1,0
377,NR_003716.3,16,1,0
378,NR_047518.1,15,1,0
379,NR_047517.1,17,1,0
380,NR_003716.3,16,1,0
381,NR_047518.1,15,1,0
382,NR_047517.1,17,1,0
383,NR_003716.3,16,1,0
384,NR_047518.1,15,1,0
385,NR_047517.1,17,1,0
386,NR_003716.3,16,1,0
387,NR_047518.1,15,1,0
388,NR_002795.2,16,2,0
389,NR_110458.1,25,2,0
390,NR_110459.1,23,2,0
391,NR_110460.1,23,2,0
392,NR_110461.1,22,1,0
393,NR_110462.1,25,2,0
394,NR_110463.1,24,1,0
395,NR_110464.1,24,1,0
396,NR_110465.1,21,2,0
397,NR_110466.1,21,2,0
398,NR_033979.2,20,2,0
399,NR_110467.1,23,1,0
400,NR_110468.1,23,1,0
401,NR_110458.1,25,2,0
402,NR_110459.1,23,2,0
403,NR_110460.1,23,2,0
404,NR_110461.1,22,1,0
405,NR_110462.1,25,2,0
406,NR_110463.1,24,1,0
407,NR_110464.1,24,1,0
408,NR_110465.1,21,2,0
409,NR_110466.1,21,2,0
410,NR_033979.2,20,2,0
411,NR_110467.1,23,1,0
412,NR_110468.1,23,1,0
413,NR_110458.1,25,2,0
414,NR_110459.1,23,2,0
415,NR_110460.1,23,2,0
416,NR_110461.1,22,1,0
417,NR_110462.1,25,2,0
418,NR_110463.1,24,1,0
419,NR_110464.1,24,1,0
420,NR_110465.1,21,2,0
421,NR_110466.1,21,2,0
422,NR_033979.2,20,2,0
423,NR_110467.1,23,1,0
424,NR_110468.1,23,1,0
425,NR_004855.2,1,0,0
426,NR_004855.2,1,0,0
427,NR_037883.1,12,1,0
428,NR_131233.1,5,0,0
429,NR_131234.1,5,0,0
430,NR_131235.1,6,0,0
431,NR_048536.2,15,0,0
432,NR_152602.1,13,0,0
433,NR_156734.1,20,0,0
434,NR_156734.1,20,0,0
435,NR_026869.1,5,0,0
436,NR_024204.2,4,0,0
437,NR_024205.3,6,0,0
438,NR_024206.2,4,0,0
439,NR_146460.1,4,0,0
440,NR_146461.1,3,0,0
441,NR_024204.2,4,0,0
442,NR_024205.3,6,0,0
443,NR_024206.2,4,0,0
444,NR_146460.1,4,0,0
445,NR_146461.1,3,0,0
446,NR_026949.1,14,1,0
447,NR_152722.1,30,0,0
448,NR_026860.1,12,0,0
449,NR_026861.1,5,0,0
450,NR_033876.1,16,2,0
451,NR_033876.1,16,2,0
452,NR_033876.1,16,2,0
453,NR_027793.1,8,0,0
454,NR_038904.1,10,0,0
455,NR_038904.1,10,0,0
456,NR_027181.1,24,0,0
457,NR_038849.1,7,0,0
458,NR_015407.1,8,0,0
459,NR_038897.1,23,5,0
460,NR_120685.1,5,1,0
461,NR_120686.1,5,1,0
462,NR_110718.1,17,0,0
463,NR_110719.1,5,0,0
464,NR_110720.2,6,0,0
465,NR_135764.1,14,2,0
466,NR_138480.1,5,2,0
467,NR_138480.1,5,2,0
468,NR_149070.1,7,0,0
469,NR_160525.1,16,1,0
470,NR_160525.1,16,1,0
471,NR_038940.1,10,0,0
472,NR_103844.1,13,0,0
473,NR_110597.1,6,0,0
474,NR_109883.1,4,0,0
475,NR_137281.2,24,2,0
476,NR_137280.2,23,2,0
477,NR_036488.1,22,1,0
478,NR_152515.1,22,1,0
479,NR_152516.1,25,2,0
480,NR_015391.1,9,0,0
481,NR_027054.2,19,1,0
482,NR_152877.1,13,0,0
483,NR_152878.1,12,0,0
484,NR_152879.1,18,1,0
485,NR_103548.1,3,0,0
486,NR_103549.1,2,0,0
487,NR_103548.1,3,0,0
488,NR_103549.1,2,0,0
489,NR_103548.1,3,0,0
490,NR_103549.1,2,0,0
491,NR_038343.2,21,1,0
492,NR_038344.1,8,1,0
493,NR_038345.1,2,0,0
494,NR_038346.1,3,0,0
495,NR_002819.4,46,7,0
496,NR_144567.1,47,7,0
497,NR_144568.1,47,6,0
498,NR_002819.4,46,7,0
499,NR_144567.1,47,7,0
500,NR_144568.1,47,6,0
501,NR_002819.4,46,7,0
502,NR_144567.1,47,7,0
503,NR_144568.1,47,6,0
504,NR_002819.4,46,7,0
505,NR_144567.1,47,7,0
506,NR_144568.1,47,6,0
507,NR_002819.4,46,7,0
508,NR_144567.1,47,7,0
509,NR_144568.1,47,6,0
510,NR_002819.4,46,7,0
511,NR_144567.1,47,7,0
512,NR_144568.1,47,6,0
513,NR_002819.4,46,7,0
514,NR_144567.1,47,7,0
515,NR_144568.1,47,6,0
516,NR_002819.4,46,7,0
517,NR_144567.1,47,7,0
518,NR_144568.1,47,6,0
519,NR_002819.4,46,7,0
520,NR_144567.1,47,7,0
521,NR_144568.1,47,6,0
522,NR_002819.4,46,7,0
523,NR_144567.1,47,7,0
524,NR_144568.1,47,6,0
525,NR_002819.4,46,7,0
526,NR_144567.1,47,7,0
527,NR_144568.1,47,6,0
528,NR_002819.4,46,7,0
529,NR_144567.1,47,7,0
530,NR_144568.1,47,6,0
531,NR_002819.4,46,7,0
532,NR_144567.1,47,7,0
533,NR_144568.1,47,6,0
534,NR_002819.4,46,7,0
535,NR_144567.1,47,7,0
536,NR_144568.1,47,6,0
537,NR_002819.4,46,7,0
538,NR_144567.1,47,7,0
539,NR_144568.1,47,6,0
540,NR_002819.4,46,7,0
541,NR_144567.1,47,7,0
542,NR_144568.1,47,6,0
543,NR_002819.4,46,7,0
544,NR_144567.1,47,7,0
545,NR_144568.1,47,6,0
546,NR_002819.4,46,7,0
547,NR_144567.1,47,7,0
548,NR_144568.1,47,6,0
549,NR_110565.1,9,0,0
550,NR_002776.4,9,0,0
551,NR_110566.1,10,0,0
552,NR_110567.1,11,0,0
553,NR_002766.2,14,2,0
554,NR_003530.2,17,2,0
555,NR_003531.3,16,2,0
556,NR_033358.1,15,2,0
557,NR_033359.1,15,2,0
558,NR_033360.1,15,2,0
559,NR_046464.1,15,2,0
560,NR_046465.2,15,2,0
561,NR_046466.1,15,2,0
562,NR_046467.1,16,2,0
563,NR_046469.1,15,2,0
564,NR_046470.2,17,2,0
565,NR_046471.1,15,2,0
566,NR_046472.1,16,2,0
567,NR_046473.1,81,12,0
568,NR_002766.2,14,2,0
569,NR_003530.2,17,2,0
570,NR_003531.3,16,2,0
571,NR_033358.1,15,2,0
572,NR_033359.1,15,2,0
573,NR_033360.1,15,2,0
574,NR_046464.1,15,2,0
575,NR_046465.2,15,2,0
576,NR_046466.1,15,2,0
577,NR_046467.1,16,2,0
578,NR_046469.1,15,2,0
579,NR_046470.2,17,2,0
580,NR_046471.1,15,2,0
581,NR_046472.1,16,2,0
582,NR_046473.1,81,12,0
583,NR_002766.2,14,2,0
584,NR_003530.2,17,2,0
585,NR_003531.3,16,2,0
586,NR_033358.1,15,2,0
587,NR_033359.1,15,2,0
588,NR_033360.1,15,2,0
589,NR_046464.1,15,2,0
590,NR_046465.2,15,2,0
591,NR_046466.1,15,2,0
592,NR_046467.1,16,2,0
593,NR_046469.1,15,2,0
594,NR_046470.2,17,2,0
595,NR_046471.1,15,2,0
596,NR_046472.1,16,2,0
597,NR_046473.1,81,12,0
598,NR_002766.2,14,2,0
599,NR_003530.2,17,2,0
600,NR_003531.3,16,2,0
601,NR_033358.1,15,2,0
602,NR_033359.1,15,2,0
603,NR_033360.1,15,2,0
604,NR_046464.1,15,2,0
605,NR_046465.2,15,2,0
606,NR_046466.1,15,2,0
607,NR_046467.1,16,2,0
608,NR_046469.1,15,2,0
609,NR_046470.2,17,2,0
610,NR_046471.1,15,2,0
611,NR_046472.1,16,2,0
612,NR_046473.1,81,12,0
613,NR_002766.2,14,2,0
614,NR_003530.2,17,2,0
615,NR_003531.3,16,2,0
616,NR_033358.1,15,2,0
617,NR_033359.1,15,2,0
618,NR_033360.1,15,2,0
619,NR_046464.1,15,2,0
620,NR_046465.2,15,2,0
621,NR_046466.1,15,2,0
622,NR_046467.1,16,2,0
623,NR_046469.1,15,2,0
624,NR_046470.2,17,2,0
625,NR_046471.1,15,2,0
626,NR_046472.1,16,2,0
627,NR_046473.1,81,12,0
628,NR_002766.2,14,2,0
629,NR_003530.2,17,2,0
630,NR_003531.3,16,2,0
631,NR_033358.1,15,2,0
632,NR_033359.1,15,2,0
633,NR_033360.1,15,2,0
634,NR_046464.1,15,2,0
635,NR_046465.2,15,2,0
636,NR_046466.1,15,2,0
637,NR_046467.1,16,2,0
638,NR_046469.1,15,2,0
639,NR_046470.2,17,2,0
640,NR_046471.1,15,2,0
641,NR_046472.1,16,2,0
642,NR_046473.1,81,12,0
643,NR_002766.2,14,2,0
644,NR_003530.2,17,2,0
645,NR_003531.3,16,2,0
646,NR_033358.1,15,2,0
647,NR_033359.1,15,2,0
648,NR_033360.1,15,2,0
649,NR_046464.1,15,2,0
650,NR_046465.2,15,2,0
651,NR_046466.1,15,2,0
652,NR_046467.1,16,2,0
653,NR_046469.1,15,2,0
654,NR_046470.2,17,2,0
655,NR_046471.1,15,2,0
656,NR_046472.1,16,2,0
657,NR_046473.1,81,12,0
658,NR_002766.2,14,2,0
659,NR_003530.2,17,2,0
660,NR_003531.3,16,2,0
661,NR_033358.1,15,2,0
662,NR_033359.1,15,2,0
663,NR_033360.1,15,2,0
664,NR_046464.1,15,2,0
665,NR_046465.2,15,2,0
666,NR_046466.1,15,2,0
667,NR_046467.1,16,2,0
668,NR_046469.1,15,2,0
669,NR_046470.2,17,2,0
670,NR_046471.1,15,2,0
671,NR_046472.1,16,2,0
672,NR_046473.1,81,12,0
673,NR_002766.2,14,2,0
674,NR_003530.2,17,2,0
675,NR_003531.3,16,2,0
676,NR_033358.1,15,2,0
677,NR_033359.1,15,2,0
678,NR_033360.1,15,2,0
679,NR_046464.1,15,2,0
680,NR_046465.2,15,2,0
681,NR_046466.1,15,2,0
682,NR_046467.1,16,2,0
683,NR_046469.1,15,2,0
684,NR_046470.2,17,2,0
685,NR_046471.1,15,2,0
686,NR_046472.1,16,2,0
687,NR_046473.1,81,12,0
688,NR_038285.1,7,1,0
689,NR_003491.3,94,18,0
690,NR_033319.2,100,18,0
691,NR_033320.2,100,18,0
692,NR_033321.2,101,18,0
693,NR_024430.2,8,0,0
694,NR_137175.1,10,0,0
695,NR_137176.1,6,0,0
696,NR_137177.1,6,0,0
697,NR_137178.1,7,0,0
698,NR_137179.1,6,0,0
699,NR_137180.1,7,0,0
700,NR_137181.1,8,0,0
701,NR_137182.1,8,0,0
702,NR_137183.1,4,0,0
703,NR_137184.1,4,0,0
704,NR_137185.1,4,0,0
705,NR_137186.1,3,0,0
706,NR_137187.1,3,0,0
707,NR_137188.1,4,0,0
708,NR_137189.1,7,0,0
709,NR_137190.1,7,0,0
710,NR_137191.1,7,0,0
711,NR_137192.1,3,0,0
712,NR_137193.1,5,0,0
713,NR_137194.1,4,0,0
714,NR_137195.1,8,0,0
715,NR_137196.1,8,0,0
716,NR_145437.1,4,1,0
717,NR_145433.1,4,1,0
718,NR_145434.1,5,1,0
719,NR_145435.1,5,1,0
720,NR_145436.1,3,1,0
721,NR_145437.1,4,1,0
722,NR_145433.1,4,1,0
723,NR_145434.1,5,1,0
724,NR_145435.1,5,1,0
725,NR_145436.1,3,1,0
726,NR_038262.1,26,3,0
727,NR_028502.1,20,2,0
728,NR_028503.1,15,1,0
729,NR_028504.1,9,1,0
730,NR_028505.1,9,1,0
731,NR_024607.1,6,0,0
732,NR_038835.1,10,2,0
733,NR_110175.1,9,0,0
734,NR_110176.1,8,0,0
735,NR_110177.1,7,0,0
736,NR_110175.1,9,0,0
737,NR_110176.1,8,0,0
738,NR_110177.1,7,0,0
739,NR_110175.1,9,0,0
740,NR_110176.1,8,0,0
741,NR_110177.1,7,0,0
742,NR_131012.1,134,16,0
743,NR_028272.1,33,8,0
744,NR_131012.1,134,16,0
745,NR_028272.1,33,8,0
746,NR_131012.1,134,16,0
747,NR_028272.1,33,8,0
748,NR_131012.1,134,16,0
749,NR_028272.1,33,8,0
750,NR_131012.1,134,16,0
751,NR_028272.1,33,8,0
752,NR_131012.1,134,16,0
753,NR_028272.1,33,8,0
754,NR_131012.1,134,16,0
755,NR_028272.1,33,8,0
756,NR_131157.1,26,2,0
757,NR_073113.1,15,0,0
758,NR_027451.1,25,5,0
759,NR_024008.1,27,1,0
760,NR_034077.1,10,0,0
761,NR_037645.1,13,0,0
762,NR_037793.1,7,0,0
763,NR_038940.1,10,0,0
764,NR_047677.1,19,0,0
765,NR_026757.2,30,0,0
766,NR_152820.1,26,0,0
767,NR_152821.1,6,0,0
768,NR_152822.1,31,0,0
769,NR_026757.2,30,0,0
770,NR_152820.1,26,0,0
771,NR_152821.1,6,0,0
772,NR_152822.1,31,0,0
773,NR_026757.2,30,0,0
774,NR_152820.1,26,0,0
775,NR_152821.1,6,0,0
776,NR_152822.1,31,0,0
777,NR_026757.2,30,0,0
778,NR_152820.1,26,0,0
779,NR_152821.1,6,0,0
780,NR_152822.1,31,0,0
781,NR_109836.1,6,0,0
782,NR_045262.2,14,0,0
783,NR_046325.1,3,1,0
784,NR_046326.1,2,1,0
785,NR_046325.1,3,1,0
786,NR_046326.1,2,1,0
787,NR_002769.1,7,0,0
788,NR_152587.1,8,0,0
789,NR_003367.3,13,1,0
790,NR_003367.3,13,1,0
791,NR_003367.3,13,1,0
792,NR_003367.3,13,1,0
793,NR_003367.3,13,1,0
794,NR_003367.3,13,1,0
795,NR_003367.3,13,1,0
796,NR_003367.3,13,1,0
797,NR_003367.3,13,1,0
798,NR_026785.1,16,0,0
799,NR_110665.1,7,0,0
800,NR_110666.1,11,0,0
801,NR_036485.1,11,2,0
802,NR_003098.2,5,0,0
803,NR_152575.1,9,0,0
804,NR_152576.1,9,0,0
805,NR_152577.1,4,0,0
806,NR_152578.1,4,0,0
807,NR_152579.1,4,0,0
808,NR_152580.1,4,0,0
809,NR_152581.1,4,0,0
810,NR_152582.1,5,0,0
811,NR_152583.1,3,0,0
812,NR_152584.1,7,0,0
813,NR_152585.1,7,0,0
814,NR_024127.2,8,0,0
815,NR_146381.1,13,0,0
816,NR_146382.1,9,0,0
817,NR_146383.1,8,0,0
818,NR_146384.1,13,0,0
819,NR_146385.1,8,0,0
820,NR_146386.1,8,0,0
821,NR_146387.1,11,0,0
822,NR_024127.2,8,0,0
823,NR_146381.1,13,0,0
824,NR_146382.1,9,0,0
825,NR_146383.1,8,0,0
826,NR_146384.1,13,0,0
827,NR_146385.1,8,0,0
828,NR_146386.1,8,0,0
829,NR_146387.1,11,0,0
830,NR_024127.2,8,0,0
831,NR_146381.1,13,0,0
832,NR_146382.1,9,0,0
833,NR_146383.1,8,0,0
834,NR_146384.1,13,0,0
835,NR_146385.1,8,0,0
836,NR_146386.1,8,0,0
837,NR_146387.1,11,0,0
838,NR_146177.1,175,1,0
839,NR_146177.1,175,1,0
840,NR_038108.1,9,0,0
841,NR_038109.1,9,0,0
842,NR_038110.1,8,0,0
843,NR_038111.1,8,0,0
844,NR_038108.1,9,0,0
845,NR_038109.1,9,0,0
846,NR_038110.1,8,0,0
847,NR_038111.1,8,0,0
848,NR_027058.1,17,1,0
849,NR_003141.3,10,0,0
850,NR_036536.1,8,0,0
851,NR_003672.2,23,5,0
852,NR_024542.1,10,3,0
853,NR_024543.1,9,3,0
854,NR_003672.2,23,5,0
855,NR_024542.1,10,3,0
856,NR_024543.1,9,3,0
857,NR_003672.2,23,5,0
858,NR_024542.1,10,3,0
859,NR_024543.1,9,3,0
860,NR_003584.3,5,0,0
861,NR_034010.1,3,1,0
862,NR_034011.1,2,0,0
863,NR_046514.1,20,1,0
864,NR_075091.1,18,0,0
865,NR_075092.1,16,0,0
866,NR_075093.1,13,0,0
867,NR_004053.3,16,0,0
868,NR_075089.1,15,0,0
