LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,Total No. of PQS.1,G4Hunter Scores of PQS,Similarity between PQS from QGRS mapper vs PQS from G4 hunter,Total No. of PQS.2,G4Hunter Scores of PQS.1,Similarity between PQS from QGRS mapper vs PQS from G4 hunter.1
BCYRN1,cervical cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown etc.",up-regulated,29552212,Also Known As: BCYRN1; BC200; BC200a; LINC00004; NCRNA00004,1,NR_001568.1,2,2,0,0,VALIDATED,1 (C-rich),-1.135 (C-rich),,0,0,No PQS found in G4 hunter
BLACAT1,cervical squamous cell carcinoma,RT-PCR,up-regulated,32046460,Also Known As: BLACAT1; LINC00912; linc-UBC1; onco-lncRNA-30,1,NR_103783.1,21,21,0,0,VALIDATED,"6 (2-2G, 4-C-rich)","[0.821,0.922 (2G); '-0.815, 0.603, '-, -0.938, -0.891 (C-rich)]",,0,0,No PQS found in G4 hunter
BLACAT1,cervical cancer,"qPCR, Western blot",up-regulated,29863244,Also Known As: BLACAT1; LINC00912; linc-UBC1; onco-lncRNA-30,1,NR_103783.1,21,21,0,0,VALIDATED,"6 (2-2G, 4-C-rich)","[0.821,0.922 (2G); '-0.815, 0.603, '-, -0.938, -0.891 (C-rich)]",,0,0,No PQS found in G4 hunter
BLACAT1,cervical cancer,"qPCR, Western blot, in vitro knockdown",up-regulated,29456724,Also Known As: BLACAT1; LINC00912; linc-UBC1; onco-lncRNA-30,1,NR_103783.1,21,21,0,0,VALIDATED,"6 (2-2G, 4-C-rich)","[0.821,0.922 (2G); '-0.815, 0.603, '-, -0.938, -0.891 (C-rich)]",,0,0,No PQS found in G4 hunter
BLACAT1,cervical cancer,"qPCR, RNAi, Western blot etc.",up-regulated,29863244,Also Known As: BLACAT1; LINC00912; linc-UBC1; onco-lncRNA-30,1,NR_103783.1,21,21,0,0,VALIDATED,"6 (2-2G, 4-C-rich)","[0.821,0.922 (2G); '-0.815, 0.603, '-, -0.938, -0.891 (C-rich)]",,0,0,No PQS found in G4 hunter
C5orf66-AS1,cervical cancer,"qPCR, Western blot, Luciferase reporter assay, RIP, etc.",up-regulated,30518760,Also known as: Epist,2,"NR_105049.1, NR_105050.1","9,9","8,8","1,1","0,0",VALIDATED,"8 (1-3G, 7-C-rich);
8 (1-3G, 7-C-rich)","[-0.915, -0.957, -0.935, -1.021, -1.261, , -0.828, -0.982 (C-rich) ; 0.979 (3G)] ; 

[-0.915, -0.957, -0.935, -1.021, -1.261, , -0.828, -0.982 (C-rich) ; 0.979 (3G)]",The PQS 1 (3G) of G4 Hunter and PQS 1 (3G) of QGRS mapper is similar and the main G tract of both PQS is the same with a right frame shift in G4 hunter compared to QGRS mapper.,"1 (C-rich);
1 (C-rich)","(-1.505 C-rich); 
(-1.505 C-rich)",No similarity to any PQS
CALML3-AS1,cervical cancer,"qPCR, Western blot, Luciferase reporter assay",up-regulated,31298313,,2,"NR_120496.1, NR_120497.1","29,28","29,27","0,1","0,0",VALIDATED,"10 (1-2G, 9-C-rich);
10 (1-2G, 9-C-rich)","[(-0.833, -0.894, -1.043, - 0.878, -0.804, -0.911, -0.759, -0.907, -0.804 (C-rich); 0.802 (2G)] ;

[(-0.833, -0.894, -1.043, - 0.878, -0.804, -0.911, -0.759, -0.907, -0.804 (C-rich); 0.802 (2G)]",,"0,0","0,0",No PQS found in G4 hunter
CASC11,cervical cancer,"qPCR, Western blot, Luciferase reporter assay",up-regulated,31255182,Also Known As: MYMLR; CARLO7; CARLo-7; LINC00990; TCONS_00014535,2,"NR_117101.1, NR_117102.1","3,3","0,0","0,0","0,0",VALIDATED,"1 (C-rich)
0",-0.724 (C-rich),,0,0,No PQS found in G4 hunter
CASC15,cervical cancer,"RT-qPCR, RIP",up-regulated,32016962,Also Known As: CACS15 [mentioned in title of paper (PubMed-31665008) refereed in NR_015410.2]; CASC15; CANT; LINC00340; lnc-SOX4-1,1,NR_015410.2,18,18,0,0,REVIEWED,0,0,,0,0,No PQS found in G4 hunter
CASC15,cervical cancer,qPCR,up-regulated,30720157,Also Known As: CACS15 [mentioned in title of paper (PubMed-31665008) refereed in NR_015410.2]; CASC15; CANT; LINC00340; lnc-SOX4-1,1,NR_015410.2,18,18,0,0,REVIEWED,0,0,,0,0,No PQS found in G4 hunter
CASC2,cervical cancer,"qRT-PCR , Western blot etc.",down-regulated,31081078,Also Known As: C10orf5,3,"NR_026939.1, NR_026940.1, NR_026941.1","17,17,9","15,5,7","2,2,2",0,VALIDATED,"7 (4- 3G, 3-2G);
7 (4- 3G, 3-2G);
6 (4 -3G, 2-2G)","[1.043, 0.746, 0.956, 0.956 (3G) 0.933, 0.891 0.707(2G)] ;

[1.043, 0.746, 0.956, 0.956 (3G) 0.933, 0.891 0.707(2G)] ;

[1.043, 0.746, 0.956, 0.956 (3G) 0.933, 0.891 (2G)]","The PQS 1 (3G) of QGRS mapper and the PQS 2 (3G) of G4 hunter have the same G tracts.

Similarly, the PQS 2 (3G) of QGRS mapper and the PQS 3 (3G) of G4 hunter have the same G tracts.","0,0,0","0,0,0",No PQS found in G4 hunter
CASC2,cervical cancer,"qPCR, Western blot, Luciferase Reporter Assays",down-regulated,28495512,Also Known As: C10orf5,3,"NR_026939.1, NR_026940.1, NR_026941.1","17,17,9","15,5,7","2,2,2",0,VALIDATED,"7 (4- 3G, 3-2G);
7 (4- 3G, 3-2G);
6 (4 -3G, 2-2G)","[1.043, 0.746, 0.956, 0.956 (3G) 0.933, 0.891 0.707(2G)] ;

[1.043, 0.746, 0.956, 0.956 (3G) 0.933, 0.891 0.707(2G)] ;

[1.043, 0.746, 0.956, 0.956 (3G) 0.933, 0.891 (2G)]","The PQS 1 (3G) of QGRS mapper and the PQS 2 (3G) of G4 hunter have the same G tracts.

Similarly, the PQS 2 (3G) of QGRS mapper and the PQS 3 (3G) of G4 hunter have the same G tracts.","0,0,0","0,0,0",No PQS found in G4 hunter
CASC9,cervical cancer,"RIP, Western blot , RT-qPCR etc.",down-regulated,31178137,Also Known As: ESSCAL1; ESCCAL-1; LINC00981; linc-JPH1,3,"NR_103848.1, NR_103850.2, NR_103849.2","5,4,4","5,4,4","0,0,0","0,0,0",VALIDATED,"0
0
1 (C-rich)",-0.857 (C-rich),,"0,0,0","0,0,0",No PQS found in G4 hunter
CCAT1,cervical cancer,"qRT-PCR, Western blot",up-regulated,31935379,Also Known As: CARLO5; CARLo-5; onco-lncRNA-40,1,NR_108049.1,9,9,0,0,REVIEWED,2 (C-rich),"['-0.835, -0.914 (C-rich)]",,0,0,No PQS found in G4 hunter
CCAT1,cervical cancer,"qRT-PCR , in vitro knockdown etc.",up-regulated,31084453,Also Known As: CARLO5; CARLo-5; onco-lncRNA-40,1,NR_108049.1,9,9,0,0,REVIEWED,2 (C-rich),"['-0.835, -0.914 (C-rich)]",,0,0,No PQS found in G4 hunter
CCAT1,cervical cancer,qPCR etc.,up-regulated,28849215,Also Known As: CARLO5; CARLo-5; onco-lncRNA-40,1,NR_108049.1,9,9,0,0,REVIEWED,2 (C-rich),"['-0.835, -0.914 (C-rich)]",,0,0,No PQS found in G4 hunter
CCAT1,cervical cancer,"qPCR, Western blot etc.",up-regulated,28978096,Also Known As: CARLO5; CARLo-5; onco-lncRNA-40,1,NR_108049.1,9,9,0,0,REVIEWED,2 (C-rich),"['-0.835, -0.914 (C-rich)]",,0,0,No PQS found in G4 hunter
CCAT2,cervical cancer,"qPCR, RNAi, Flow cytometry assay, Cell proliferation assay etc.",down-regulated,26983975,Also Known As: NCCP1; LINC00873,1,NR_109834.1,6,6,0,0,REVIEWED,0,0,,0,0,No PQS found in G4 hunter
CCAT2,cervical squamous cell carcinoma,qPCR etc.,up-regulated,26722527,Also Known As: NCCP1; LINC00873,1,NR_109834.1,6,6,0,0,REVIEWED,0,0,,0,0,No PQS found in G4 hunter
CCEPR,cervical cancer,"qPCR, Western blot etc.",up-regulated,29427865,Also Known As: CCEPR; CCHE1; lncRNA-CCHE1,1,NR_131782.1,17,17,0,0,VALIDATED,"2(1-C-rich, 1-2G)   ",['-0.939 (C-rich); 0.894 (2G)],,0,0,No PQS found in G4 hunter
CCHE1 (CCEPR),cervical cancer,qPCR,up-regulated,31364021,,CCEPR,,,,,,,,,,,,
CCHE1 (CCEPR),cervical cancer,qPCR etc.,up-regulated,28239824,,CCEPR,,,,,,,,,,,,
CCHE1 (CCEPR),cervical cancer,"qPCR, RNAi, Western blot, RNA pull-down assay etc.",up-regulated,25921283,,CCEPR,,,,,,,,,,,,
CDKN2B-AS1,cervical cancer,"qPCR, Luciferase reporter assay, Western blot",up-regulated,30884187,,ANRIL,,,,,,,,,,,,
CRNDE,cervical cancer,"qRT-PCR , Luciferase reporter assay , Western blot etc.",up-regulated,31605132,Also Known As: CRNDEP; PNAS-108; lincIRX5; LINC00180; NCRNA00180,5,"NR_034105.4, NR_034106.3, NR_110453.2, NR_110454.2, NR_170995.1","5, 9, 5, 9, 9","5, 7, 5, 7, 7","0, 2, 0, 2, 2","0, 0, 0, 0, 0",VALIDATED,"0
5 (2-C-rich, 3-3G)
0
5 (2-C-rich, 3-3G)
5 (2-C-rich, 3-3G)","[-0.855, -0.8 (C-rich), 0.898, 0.911, 0.657(3G)] ;

[-0.855, -0.8 (C-rich) 0.898, 0.911, 0.657(3G)]; 

[-0.855, -0.8 (C-rich) 0.898, 0.911, 0.657(3G)]; ","The PQS 2 (3G) of QGRS mapper and the PQS 1 (3G) of G4 hunter have the same G tracts with a left frame shift in G4 hunter.

By looking at all 3 PQS (3G) from G4 hunter, it appears that at a time only 1 PQS can be formed as all the 3 PQS have few common G-tracts due to overlap amongst them.

The above situation is same for all the variants","0,0,0,0,0","0,0,0,0,0",No PQS found in G4 hunter
CRNDE,cervical cancer,"qPCR, Western blot, other",up-regulated,30334449,Also Known As: CRNDEP; PNAS-108; lincIRX5; LINC00180; NCRNA00180,5,"NR_034105.4, NR_034106.3, NR_110453.2, NR_110454.2, NR_170995.1","5, 9, 5, 9, 9","5, 7, 5, 7, 7","0, 2, 0, 2, 2","0, 0, 0, 0, 0",VALIDATED,"0
5 (2-C-rich, 3-3G)
0
5 (2-C-rich, 3-3G)
5 (2-C-rich, 3-3G)","[-0.855, -0.8 (C-rich), 0.898, 0.911, 0.657(3G)] ;

[-0.855, -0.8 (C-rich) 0.898, 0.911, 0.657(3G)]; 

[-0.855, -0.8 (C-rich) 0.898, 0.911, 0.657(3G)]; ","The PQS 2 (3G) of QGRS mapper and the PQS 1 (3G) of G4 hunter have the same G tracts with a left frame shift in G4 hunter.

By looking at all 3 PQS (3G) from G4 hunter, it appears that at a time only 1 PQS can be formed as all the 3 PQS have few common G-tracts due to overlap amongst them.

The above situation is same for all the variants","0,0,0,0,0","0,0,0,0,0",No PQS found in G4 hunter
CRNDE,cervical cancer,"qPCR, Western blot, in vitro knockdown, RIP",up-regulated,31202167,Also Known As: CRNDEP; PNAS-108; lincIRX5; LINC00180; NCRNA00180,5,"NR_034105.4, NR_034106.3, NR_110453.2, NR_110454.2, NR_170995.1","5, 9, 5, 9, 9","5, 7, 5, 7, 7","0, 2, 0, 2, 2","0, 0, 0, 0, 0",VALIDATED,"0
5 (2-C-rich, 3-3G)
0
5 (2-C-rich, 3-3G)
5 (2-C-rich, 3-3G)","[-0.855, -0.8 (C-rich), 0.898, 0.911, 0.657(3G)] ;

[-0.855, -0.8 (C-rich) 0.898, 0.911, 0.657(3G)]; 

[-0.855, -0.8 (C-rich) 0.898, 0.911, 0.657(3G)]; ","The PQS 2 (3G) of QGRS mapper and the PQS 1 (3G) of G4 hunter have the same G tracts with a left frame shift in G4 hunter.

By looking at all 3 PQS (3G) from G4 hunter, it appears that at a time only 1 PQS can be formed as all the 3 PQS have few common G-tracts due to overlap amongst them.

The above situation is same for all the variants","0,0,0,0,0","0,0,0,0,0",No PQS found in G4 hunter
CRNDE,cervical cancer,"qPCR, Microarray",up-regulated,29194035,Also Known As: CRNDEP; PNAS-108; lincIRX5; LINC00180; NCRNA00180,5,"NR_034105.4, NR_034106.3, NR_110453.2, NR_110454.2, NR_170995.1","5, 9, 5, 9, 9","5, 7, 5, 7, 7","0, 2, 0, 2, 2","0, 0, 0, 0, 0",VALIDATED,"0
5 (2-C-rich, 3-3G)
0
5 (2-C-rich, 3-3G)
5 (2-C-rich, 3-3G)","[-0.855, -0.8 (C-rich), 0.898, 0.911, 0.657(3G)] ;

[-0.855, -0.8 (C-rich) 0.898, 0.911, 0.657(3G)]; 

[-0.855, -0.8 (C-rich) 0.898, 0.911, 0.657(3G)]; ","The PQS 2 (3G) of QGRS mapper and the PQS 1 (3G) of G4 hunter have the same G tracts with a left frame shift in G4 hunter.

By looking at all 3 PQS (3G) from G4 hunter, it appears that at a time only 1 PQS can be formed as all the 3 PQS have few common G-tracts due to overlap amongst them.

The above situation is same for all the variants","0,0,0,0,0","0,0,0,0,0",No PQS found in G4 hunter
DANCR,cervical cancer,"qRT-PCR, Western blot",up-regulated,32123519,"Also Known As: AGU2; ANCR; DANCR; SNHG13; KIAA0114; lncRNA-ANCR.Some (older) transcribed RNA, ANCR, Variant 1, 2 and 3 ""lncRNA"" ncRNA (complete sequence-LC128577.1, LC128578.1 and LC128579.1 respectively) with PQS- 7, 7, 7 respectively, were also there in result.",3,"NR_024031.2, NR_145129.1, NR_145130.1","6,7,7","5,6,6","1,1,1","0,0,0",REVIEWED,"3 (3-C-rich)
1 (C-rich)
1 (C-rich)","[-0.62, -0.921, -0.787 (C-rich)];

[-0.62(C-rich)] ;

[-0.62(C-rich)]",,"1(C-rich);
1(C-rich);
1(C-rich);

","[-1.444 (C-rich)] ;

[-1.444 (C-rich)] ;

[-1.444 (C-rich)]",No similarity to any PQS  from QGRS mapper
DANCR,cervical cancer,"qPCR, Western blot, Luciferase reporter assay, RNAi, other",up-regulated,30362591,"Also Known As: AGU2; ANCR; DANCR; SNHG13; KIAA0114; lncRNA-ANCR.Some (older) transcribed RNA, ANCR, Variant 1, 2 and 3 ""lncRNA"" ncRNA (complete sequence-LC128577.1, LC128578.1 and LC128579.1 respectively) with PQS- 7, 7, 7 respectively, were also there in result.",3,"NR_024031.2, NR_145129.1, NR_145130.1","6,7,7","5,6,6","1,1,1","0,0,0",REVIEWED,"3 (3-C-rich)
1 (C-rich)
1 (C-rich)","[-0.62, -0.921, -0.787 (C-rich)];

[-0.62(C-rich)] ;

[-0.62(C-rich)]",,"1(C-rich);
1(C-rich);
1(C-rich);

","[-1.444 (C-rich)] ;

[-1.444 (C-rich)] ;

[-1.444 (C-rich)]",No similarity to any PQS  from QGRS mapper
DDN-AS1,cervical cancer,"qPCR, Western blot, Luciferase reporter assay, etc.",up-regulated,30582201,Also known as: CAT1507,2,"NR_147178.1, NR_147179.1","18, 16","15, 13","2, 2","1, 1",VALIDATED,"10 (1-4G, 3-3G,1-2G 5-C-rich)
10 (1-4G, 3-3G,1-2G 5-C-rich)","[0.765, 0.873 (4G), 0.9, 0.761 (3G) -0.911, 0.933, -0.894, -0.84, -0.734, -0.86 (C-rich)] ; 

[0.765, 0.873 (4G), 0.9, 0.761 (3G) -0.911, 0.933, -0.894, -0.84, -0.734, -0.86 (C-rich)] ","The 4G PQS of QGRS mapper and the 4G PQS of G4 hunter are the same with the G4 PQS having more nucleotides surrounding the main G4 sequence. 
The PQS 1 (3G) of QGRS mapper and the PQS 3 (3G) of G4 hunter are the same with a right frame shift in G4 hunter.
The PQS 2 (3G) of QGRS mapper and the PQS 3 (3G) of G4 hunter are the same.
By looking at first and second PQS (3G and 4G) from G4 hunter, it appears that at a time only 1 PQS can be formed as both the PQS have few common G-tracts due to overlap amongst them.

The above situation is same for all the variants","0,0","0,0",No PQS found in G4 hunter
