LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,Total No. of PQS.1,G4Hunter Scores of PQS,Similarity between PQS from QGRS mapper vs PQS from G4 hunter,Total No. of PQS.2,G4Hunter Scores of PQS.1,Similarity between PQS from QGRS mapper vs PQS from G4 hunter.1
BLACAT1,prostate cancer,"RT-PCR, Western blotting, Luciferase Assays, RIP",down-regulated,31957820,Also Known As: BLACAT1; LINC00912; linc-UBC1; onco-lncRNA-30,1,NR_103783.1,21,21,0,0,VALIDATED,"6 (2-2G, 4-C-rich)","[0.821,0.922 (2G); '-0.815, 0.603, '-, -0.938, -0.891 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter
"BRE-AS1 
BABAM2-AS1",prostate cancer,qPCR,down-regulated,30833361,Also Known As: BABAM2-AS1; BRE-AS1,1 (BABAM2-AS1),BABAM2-AS1 (NR_028308.1),16 (BABAM2-AS1),12 (BABAM2-AS1),4 (BABAM2-AS1),0 (BABAM2-AS1),VALIDATED (BABAM2-AS1),"20 (4-2G, 8-3G, 8-C-rich)  ","[0.875, 0.913, 0.78, 
0.854 (2G); 0.875, 0.897,
0.929, 0.911, 0.915, 
0.778, 0.938, 0.911, 
0.953 (3G); -0.913, 
-0.938, -0.882, -0.652,
-0.1.053, -0.933, -0.913, -0.898 (C-rich)]
","The PQS 1 (3G) of QGRS Mapper is similar to / a part of PQS 1 (3G) of G4 Hunter, with a right frame-shift in G4 Hunter

 PQS 3 (3G) of QGRS  Mapper is similar to / a part of PQS 8 (3G) of G4 Hunter. , with a right frame-shift in G4 Hunter

By looking at all the PQS, it is visible that there is a slight overlap between PQS 2,3,4 and PQS 5,6,7 (3G) and can be considered as two PQS.","2 (1-C-rich, 1-3G)","[-1.208 (C-rich);
1.4 (3G)","PQS 1 (3G) of QGRS Mapper 
is similar to / a part of PQS 1 (3G) of G4 
Hunter, with a right frame-shift in G4 Hunter"
CASC15,prostate cancer,"qPCR, Luciferase reporter assay, in vitro knockdown",up-regulated,31646560,Also Known As: CACS15 [mentioned in title of paper (PubMed-31665008) refereed in NR_015410.2]; CASC15; CANT; LINC00340; lnc-SOX4-1,1,NR_015410.2,18,18,0,0,REVIEWED,0,0,,0,0,No PQS found in G4 hunter
CASC2,prostate cancer,"qPCR, Luciferase reporter assay, in vitro knockdown",down-regulated,29373811,Also Known As: C10orf5,3,"NR_026939.1, NR_026940.1, NR_026941.1","17, 17, 9","15, 15, 7","2, 2, 2","0, 0, 0",VALIDATED,"7 (4- 3G, 3-2G);
7 (4- 3G, 3-2G);
6 (4 -3G, 2-2G)","[1.043, 0.746, 0.956, 0.956 (3G) 0.933, 0.891 0.707(2G)] ;

[1.043, 0.746, 0.956, 0.956 (3G) 0.933, 0.891 0.707(2G)] ;

[1.043, 0.746, 0.956, 0.956 (3G) 0.933, 0.891 (2G)]","PQS 1 (3G) of QGRS mapper is similar to / a part of PQS 2 (3G) from G4 hunter

PQS 2 (3G) of QGRS mapper  is similar to / a part of PQS 3 (3G) of G4 hunter","0,0,0","0,0,0",No PQS found in G4 hunter
CCAT1,prostate cancer,"qRT-PCR, Western blot",up-regulated,32089062,"Also Known As: CARLO5; CARLo-5; onco-lncRNA-40

Some (older-not checked for PQS) colon cancer associated transcript 1 (CCAT1) RNA ""other"" ncRNA (RNA, complete sequence - HM358356.1) was also there in result.",1,NR_108049.1,9,9,0,0,REVIEWED,2 (C-rich),"['-0.835, -0.914 (C-rich)]",,0,0,No PQS found in G4 hunter
CCAT1,prostate cancer,"qPCR, Western blot, in vitro knockdown",up-regulated,29863242,"Also Known As: CARLO5; CARLo-5; onco-lncRNA-40

Some (older-not checked for PQS) colon cancer associated transcript 1 (CCAT1) RNA ""other"" ncRNA (RNA, complete sequence - HM358356.1) was also there in result.",1,NR_108049.1,9,9,0,0,REVIEWED,2 (C-rich),"['-0.835, -0.914 (C-rich)]",,0,0,No PQS found in G4 hunter
CCAT1,prostate cancer,"qPCR, Western blot, Luciferase reporter assay, other",up-regulated,30221381,"Also Known As: CARLO5; CARLo-5; onco-lncRNA-40

Some (older-not checked for PQS) colon cancer associated transcript 1 (CCAT1) RNA ""other"" ncRNA (RNA, complete sequence - HM358356.1) was also there in result.",1,NR_108049.1,9,9,0,0,REVIEWED,2 (C-rich),"['-0.835, -0.914 (C-rich)]",,0,0,No PQS found in G4 hunter
CCAT1,prostate cancer,"qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP",up-regulated,31387890,"Also Known As: CARLO5; CARLo-5; onco-lncRNA-40

Some (older-not checked for PQS) colon cancer associated transcript 1 (CCAT1) RNA ""other"" ncRNA (RNA, complete sequence - HM358356.1) was also there in result.",1,NR_108049.1,9,9,0,0,REVIEWED,2 (C-rich),"['-0.835, -0.914 (C-rich)]",,0,0,No PQS found in G4 hunter
CCAT1,prostate cancer,qPCR etc.,up-regulated,28945760,"Also Known As: CARLO5; CARLo-5; onco-lncRNA-40

Some (older-not checked for PQS) colon cancer associated transcript 1 (CCAT1) RNA ""other"" ncRNA (RNA, complete sequence - HM358356.1) was also there in result.",1,NR_108049.1,9,9,0,0,REVIEWED,2 (C-rich),"['-0.835, -0.914 (C-rich)]",,0,0,No PQS found in G4 hunter
CCAT1,prostate cancer,qPCR etc.,up-regulated,29863242,"Also Known As: CARLO5; CARLo-5; onco-lncRNA-40

Some (older-not checked for PQS) colon cancer associated transcript 1 (CCAT1) RNA ""other"" ncRNA (RNA, complete sequence - HM358356.1) was also there in result.",1,NR_108049.1,9,9,0,0,REVIEWED,2 (C-rich),"['-0.835, -0.914 (C-rich)]",,0,0,No PQS found in G4 hunter
CCAT2,prostate cancer,"qPCR, RNAi, Western blot, Cell proliferation assay etc.",up-regulated,27558961,"Also Known As: NCCP1; LINC00873

Some (older-not checked for PQS) CCAT2 short and long variants ncRNA; ""other"" ncRNA (complete sequence - GQ911591.1 and GQ911592.1 respectively) were also there in result.",1,NR_109834.1,6,6,0,0,REVIEWED,0,0,,0,0,No PQS found in G4 hunter
CRNDE,prostate cancer,"qPCR, Luciferase reporter assay etc",up-regulated,32182608,Also Known As: CRNDEP; PNAS-108; lincIRX5; LINC00180; NCRNA00180,5,"NR_034105.4, NR_034106.3, NR_110453.2, NR_110454.2, NR_170995.1","5, 9, 5, 9, 9","5, 7, 5, 7, 7","0, 2, 0, 2, 2","0, 0, 0, 0, 0",VALIDATED,"0
5 (2-C-rich, 3-3G)
0
5 (2-C-rich, 3-3G)
5 (2-C-rich, 3-3G)","[-0.855, -0.8 (C-rich), 0.898, 0.911, 0.657(3G)] ;

[-0.855, -0.8 (C-rich) 0.898, 0.911, 0.657(3G)]; 

[-0.855, -0.8 (C-rich) 0.898, 0.911, 0.657(3G)]; ","The PQS 2 (3G) of QGRS mapper is similar to / a part of PQS 1 (3G) of G4 hunter, with a left frame shift in G4 hunter.

By looking at all 3 PQS (3G) from G4 hunter, it appears that at a time only 1 PQS can be formed as all the 3 PQS have few common G-tracts due to overlap amongst them.

The above situation is same for all the variants","0,0,0,0,0","0,0,0,0,0",No PQS found in G4 hunter
CTBP1-AS,prostate cancer,"qPCR, Western blot, Northern blot, RIP etc.",up-regulated,23644382,Also Known As:  PCAT10,1,NR_104331.1,52,46,6,0,VALIDATED,"27 (11-2G, 16- C-rich)","[-0.872, -0.911, -0.936, -0.722, 0.848, -0.911, -0.911, 0.99, -0.942, -0.906, -0.75, -0.865, -0.933, 0.957, -0.891, -0.71, 0.823, 1, 0.828, 0.903, 0.911, -0.957, 0.911, 0.911, 0.83]",No similarity to any PQS (2G) from QGRS mapper,2 (3G),"[1.37, 1.282 (3G)]","PQS 1 has no similarity to PQS from QGRS mapper

PQS 2 (3G) from QGRS mapper is similar to / a part of PQS 2 (3G) from G4 hunter

PQS 2 (3G) from G4 Hunter has a left frame-shift as compared to PQS 2 (3G) from QGRS mapper."
DANCR,prostate cancer,"qPCR, Western blot, Luciferase reporter assay, etc.",up-regulated,31486484,"Also Known As: AGU2; ANCR; DANCR; SNHG13; KIAA0114; lncRNA-ANCR

Some (older) transcribed RNA, ANCR, Variant 1, 2 and 3 ""lncRNA"" ncRNA (complete sequence-LC128577.1, LC128578.1 and LC128579.1 respectively) with PQS- 7, 7, 7 respectively, were also there in result. ",3,"NR_024031.2, NR_145129.1, NR_145130.1","6, 7, 7","5, 6, 6 ","1, 1, 1","0, 0, 0",REVIEWED,"3 (3-C-rich)
1 (C-rich)
1 (C-rich)","[-0.62, -0.921, -0.787 (C-rich)];

[-0.62(C-rich)] ;

[-0.62(C-rich)]",No similarity to any PQS (2G) from QGRS mapper,"1(C-rich);
1(C-rich);
1(C-rich);

","[-1.444 (C-rich)] ;

[-1.444 (C-rich)] ;

[-1.444 (C-rich)]",No similarity to any PQS  from QGRS mapper
DANCR,prostate cancer,"qPCR, RNAi, Western blot, ChIP etc.",up-regulated,27191265,"Also Known As: AGU2; ANCR; DANCR; SNHG13; KIAA0114; lncRNA-ANCR

Some (older) transcribed RNA, ANCR, Variant 1, 2 and 3 ""lncRNA"" ncRNA (complete sequence-LC128577.1, LC128578.1 and LC128579.1 respectively) with PQS- 7, 7, 7 respectively, were also there in result. ",3,"NR_024031.2, NR_145129.1, NR_145130.1","6, 7, 7","5, 6, 6 ","1, 1, 1","0, 0, 0",REVIEWED,"3 (3-C-rich)
1 (C-rich)
1 (C-rich)","[-0.62, -0.921, -0.787 (C-rich)];

[-0.62(C-rich)] ;

[-0.62(C-rich)]",No similarity to any PQS (2G) from QGRS mapper,"1(C-rich);
1(C-rich);
1(C-rich);

","[-1.444 (C-rich)] ;

[-1.444 (C-rich)] ;

[-1.444 (C-rich)]",No similarity to any PQS  from QGRS mapper
DANCR,prostate cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",up-regulated,23728290,"Also Known As: AGU2; ANCR; DANCR; SNHG13; KIAA0114; lncRNA-ANCR

Some (older) transcribed RNA, ANCR, Variant 1, 2 and 3 ""lncRNA"" ncRNA (complete sequence-LC128577.1, LC128578.1 and LC128579.1 respectively) with PQS- 7, 7, 7 respectively, were also there in result. ",3,"NR_024031.2, NR_145129.1, NR_145130.1","6, 7, 7","5, 6, 6 ","1, 1, 1","0, 0, 0",REVIEWED,"3 (3-C-rich)
1 (C-rich)
1 (C-rich)","[-0.62, -0.921, -0.787 (C-rich)];

[-0.62(C-rich)] ;

[-0.62(C-rich)]",No similarity to any PQS (2G) from QGRS mapper,"1(C-rich);
1(C-rich);
1(C-rich);

","[-1.444 (C-rich)] ;

[-1.444 (C-rich)] ;

[-1.444 (C-rich)]",No similarity to any PQS  from QGRS mapper
DGCR5,prostate cancer,"RT-qPCR, Western-Blotting",down-regulated,31920375,"Also Known As: DGCR9; DGS-A; DGS-B; DGCR10; LINC00037; POM121L5P; NCRNA00037

2 sequences for DGCR5 (NR_026651.1, NR_024159.1) without any mentioning of transcript variants, while 3 sequences of DGCR5 with clear mentioning of transcipt variants.

PREDICTED REFSEQ (NR_026651.1): This record has not been reviewed and the function is unknown. The reference sequence was derived from BU584104.1, AC000095.5, L77559.1 and BM681417.1.

All transcriprt variants of DGCR5 (NR_002733.2, NR_045121.1, NR_110533.1, NR_026651.1 and NR_024159.1) are reported (Gene Cards - GCID: GC22P019556)

PQS 2 obtained in DGCR5_Variant 2 (NR_045121.1) when search parameter was set to Min G-Group Size: 2 was replaced by another PQS of same score (by shifting G-Group/Quartet frame) when search parameter was set to Min G-Group Size: 3. Rest two PQS were same in both search parameters.
For further consideration, PQS when search parameter was set to Min G-Group Size: 3 was taken.","3 (DGCR5)
+
2 (DGCR5 unknown variants)
=5","DGCR5 (NR_002733.2, NR_045121.1, NR_110533.1)
+
DGCR5 unknown variants (NR_026651.1, NR_024159.1)","32, 32, 11 (DGCR5)
+
7, 28 (DGCR5 unknown variants)","29, 29, 11 (DGCR5)
+
5, 25 (DGCR5 unknown variants)","3, 3, 0 (DGCR5)
+
2, 3 (DGCR5 unknown variants)

PQS 2 of 2nd variant (NR_045121.1) is same to the PQS 2 of 1st variant (NR_002733.2) when search parameter was set to Min G-Group Size: 3 but it is different (but same G-score) from PQS 2 of 1st variant when search parameter was set to Min G-Group Size: 2 (due to shifting of G-Group/Quartet frame).
All PQS of both DGCR5 unknown variants are different from each others and other variants as well.","0, 0, 0 (DGCR5)
+
0, 0 (DGCR5 unknown variants)","VALIDATED (DGCR5)

PREDICTED (DGCR5 unknown variant-NR_026651.1)

VALIDATED (DGCR5 unknown variant-NR_024159.1)","12 (4-C-rich, 8-2G);
12 (4-C-rich, 8-2G)
5 (4-C-rich, 1-2G)
","[-0.894, -0.854, -0.902, -0.933 (C-rich); 0.911, 0.903, 0.86, 0.808, 0.87, 0.915, 0.973 (2G)];

[-0.894, -0.854, -0.902, -0.933 (C-rich); 0.911, 0.903, 0.86, 0.808, 0.87, 0.915, 0.973 (2G)];

[0.911 (2G), -0.894, -0.854, -0.902, -0.933 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,"0,0,0","0,0,0",No PQS found in G4 Hunter
DRAIC,prostate cancer,"qPCR, RIP",down-regulated,31900260,,1,NR_026979.1,10,10,0,0,VALIDATED,3 (C-rich),"[-0.796, -0.873, -0.907 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter
DRAIC,prostate cancer,"qPCR, Western blot etc.",down-regulated,25700553,,1,NR_026979.1,10,10,0,0,VALIDATED,3 (C-rich),"[-0.796, -0.873, -0.907 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter
DUXAP10,prostate cancer,"qRT-PCR , Western blot , in vitro knockdown etc.",down-regulated,31114994,"Homo sapiens double homeobox A pseudogene 10 (DUXAP10), non-coding RNA

transcribed RNA-misc_RNA (mentioned as lncRNA in title of paper; PubMed - 31576658)

Gene type - pseudo

Some LINC01297-DUXAP10-NBEAP6 readthrough (LINC01297-DUXAP10-NBEAP6), transcript variant 1, 2 and 3; ""lncRNA"" ncRNA (NR_164308.1, NR_164309.1 and NR_164310.1 respectively) with PQS-57, 29, 60 respectively were also there in result.

LINC01297-DUXAP10-NBEAP6 readthrough (This locus represents naturally occurring readthrough transcription between the neighboring LINC01297 (long intergenic non-protein coding RNA 1297), DUXAP10 (double homeobox A pseudogene 10) and NBEAP6 (neurobeachin pseudogene 6) genes on chromosome 14. The readthrough transcripts at this locus contain multiple, short ORFs and are unlikely to produce a protein product-provided by RefSeq, Sep 2019).",1,NR_110526.1,12,12,0,0,VALIDATED,0,0,No PQS found in G4 Hunter,0,0,No PQS found in G4 hunter
EGOT,prostate cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",down-regulated,23728290,"Also Known As: EGO, NCRNA00190",1,NR_004428.1,10,9,1,0,VALIDATED,"6 (4 - 2G, 2 - C-rich)
","[-0.911, -0.941 (C-rich), 0.891, 0.816, 0.894, 0.907 (2G)]
",,0,0,No PQS found in G4 Hunter
"FAL1 
FALEC",prostate cancer,"qPCR, RNA pull-down assay etc.",up-regulated,25203321,Also Known As: FALEC; FAL1; ncRNA-a1; LINC00568,1 (FALEC),FALEC (NR_051960.1),8 (FALEC),8 (FALEC),0 (FALEC),0 (FALEC),VALIDATED (FALEC),"3 (2-2G, 1-C-rich)","[0.88, 0.851 (2G), -0.921 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter
FALEC,prostate cancer,"qPCR, Western blot, Luciferase reporter assay etc.",up-regulated,28585762,"Also Known As: FAL1, ncRNA-a1; LINC00568",1,NR_051960.1,8,8,0,0,VALIDATED,"3 (2-2G, 1-C-rich)","[0.88, 0.851 (2G), -0.921 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 Hunter
FENDRR,neuroendocrine prostate cancer,"RNA-seq, Microarray, qPCR etc.",down-regulated,29757368,"Also Known As: FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21

Some (older) FENDRR transcript variant 3 lncRNA ""lncRNA"" ncRNA (complete sequence-MK522493.1) was also there in result.","2 (FENDRR_Variant 1 and 2)
+
1 [FENDRR_Variant 3 (older)]
=3","FENDRR_variant 1 and 2 (NR_033925.1, NR_036444.1)
+
FENDRR_variant 3 (older) MK522493.1","14, 24 (FENDRR_Variant 1 and 2)
+
26 [FENDRR_Variant 3 (older)]","14, 23 (FENDRR_Variant 1 and 2)
+
25 [FENDRR_Variant 3 (older)]","0, 1 (FENDRR_Variant 1 and 2)
+
 1 [FENDRR_Variant 3 (older)]","0, 0 (FENDRR_Variant 1 and 2)
+
 0 [FENDRR_Variant 3 (older)]",REVIEWED (Variant 1 and 2),"3 (1 - 2G, 2- C-rich);
4 (3 - 2G, 1- C-rich);
8 (3 - 2G, 5- C-rich);","[0.803 (2G); -0.982, -0.867 (C-rich)];
[0.803, 0.859, 0.86 (2G), -0.909 (C-rich)];
[0.803, 0.86 (2G), -0.8, -0.911, -0.88, -0.896, 0.859, -0.909 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter
FENDRR,prostate cancer,"qPCR, Luciferase reporter assay, in vitro knockdown",down-regulated,29465000,"Also Known As: FOXF1AS1; FOXF1-AS1; lincFOXF1; TCONS_00024240; onco-lncRNA-21

Some (older) FENDRR transcript variant 3 lncRNA ""lncRNA"" ncRNA (complete sequence-MK522493.1) was also there in result.","2 (FENDRR_Variant 1 and 2)
+
1 [FENDRR_Variant 3 (older)]
=3","FENDRR_variant 1 and 2 (NR_033925.1, NR_036444.1)
+
FENDRR_variant 3 (older) MK522493.1","14, 24 (FENDRR_Variant 1 and 2)
+
26 [FENDRR_Variant 3 (older)]","14, 23 (FENDRR_Variant 1 and 2)
+
25 [FENDRR_Variant 3 (older)]","0, 1 (FENDRR_Variant 1 and 2)
+
 1 [FENDRR_Variant 3 (older)]","0, 0 (FENDRR_Variant 1 and 2)
+
 0 [FENDRR_Variant 3 (older)]",REVIEWED (Variant 1 and 2),"3 (1 - 2G, 2- C-rich);
4 (3 - 2G, 1- C-rich);
8 (3 - 2G, 5- C-rich);","[0.803 (2G); -0.982, -0.867 (C-rich)];
[0.803, 0.859, 0.86 (2G), -0.909 (C-rich)];
[0.803, 0.86 (2G), -0.8, -0.911, -0.88, -0.896, 0.859, -0.909 (C-rich)]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter
FER1L4,prostate cancer,"RT-qPCR, Western blot",down-regulated,32140077,"Homo sapiens fer-1 like family member 4 (pseudogene) (FER1L4), non-coding RNA

Also Known As: C20orf124

transcribed RNA-misc_RNA (mentioned as lncRNA in title of papers; PubMed - 31473323 and 31115514)

Gene type - pseudo",1,NR_119376.1,85,83,2,0,VALIDATED,"20 (10 -2G, 10- C-rich)","[0.947, -0.774, -1.022, -0.911, -0.894, -0.872, 0.741, 0.911, -0.744, -0.902, -0.843, 0.885, 0.833, 0.854, 0.765, -0.796, -0.82, 0.933, 0.911, 0.75]",No similarity to any PQS (2G) from QGRS mapper,0,0,No PQS found in G4 hunter
